q|n|lp|up|id
aluminum foil|Reynolds Wrap Heavy Duty 18" Aluminum Foil, 120 sq. ft., 2 pk.|$21.78|$0.09/sft|15409719345
aluminum foil|Member's Mark Standard Foodservice Aluminum Foil 18" x 500 ft.|$31.58|$0.04/sft|7874226441
aluminum foil|Reynolds Wrap Non-Stick 12" Aluminum Foil 130 sq. ft., 2 pk.|$23.98|$0.09/sft|14169401260
aluminum foil|Member's Mark Foodservice Aluminum Foil 12 in. x 1000 ft., 1,000 ft.|$44.58|$0.04/sft|14196452433
aluminum foil|Member's Mark Standard Foodservice Aluminum Foil, 18" x 400'|$27.18|$0.05/sft|20320210474
aluminum foil|Reynolds Wrap Heavy Duty 18" Aluminum Foil, 150 sq. ft., 2 pk.|$27.78|$0.09/sft|1090000289
aluminum foil|Reynolds Wrap Everyday 12" Aluminum Foil 250 sq. ft., 2 pk.|$28.88|$0.06/sft|1090006052
corn dogs|State Fair Classic Corn Dogs, Frozen, 30 ct.|$13.47||13864923221
corn dogs|State Fair Funnel Cake Mini Corn Dogs|$7.87|$0.30/oz|19932052503
rotisserie chicken|Member's Mark Seasoned Rotisserie Chicken|$4.98||13820153808
rotisserie chicken|Member's Mark Rotisserie Chicken Bites, 2 lbs.|$11.48|$5.74/lb|13613604194
rotisserie chicken|Member's Mark No Antibiotics Ever Rotisserie Seasoned Chicken Breast, Sliced, 1 lb. 6 oz.|$9.57|$6.96/lb|13846822236
rotisserie chicken|Member's Mark Rotisserie Chicken Enchiladas, priced per pound|$15.12|$3.98/lb|13602803605
charcoal briquets|Kingsford Original Charcoal Briquets, 2-Pack, 20 lbs.|$23.48||13893070389
charcoal briquets|Kingsford Match Light Instant Charcoal Briquettes 2 Pack, 16 Lbs. Each|$23.48||13596913476
charcoal briquets|Kingsford Miller Lite Beercoal Charcoal Briquettes, 16 lbs.|$11.98||15689959051
whole pineapple|Pineapple|$2.97||13613070091
whole pineapple|Del Monte Fresh Cut Pineapple Spears 2.5 lbs.|$7.97|$3.19/lb|15209750041
plastic wrap|Glad Press'n Seal Plastic Food Wrap 140 sq. ft./roll, 2 rolls|$8.64|$0.03/sft|1258770460
plastic wrap|stretch-tite Pro Multi-Purpose Professional 18" Food Wrap, 4500 sq. ft.|$23.98|$0.01/sft|16054973871
plastic wrap|Glad Cling ‘N Seal Clear Plastic Food Wrap 400 sq. ft./roll, 2 rolls|$6.98|$0.01/sft|13865573501
plastic wrap|stretch-tite Pro Multi-Purpose Professional 12" Food Wrap, 3000 sq. ft.|$17.98|$0.01/sft|16109206982
cauliflower head|Cauliflower, 1 ct.|$3.82||15389764378
parchment paper|Member's Mark Unbleached Parchment Paper, 205 sq. ft., 2 pk.|$15.52|$0.04/sft|14216962216
parchment paper|Reynolds Kitchens Pop-Up Parchment Paper Sheets, 125 ct.|$10.98|$0.09/ea|15391752102
parchment paper|Reynolds Kitchens Unbleached Parchment Air Fryer Liners, 150 ct.|$9.98|$0.07/ea|15317171035
furniture polish|Pledge Furniture Enhancing Polish Spray, Lemon, 3ct., 29 oz.|$12.52|$4.17/ea|13886404498
furniture polish|Pledge Multisurface Cleaner, Rainshower, 3 ct., 29 oz.|$12.52|$4.17/ea|4650002563
oven cleaner|Sprayway Industrial Strength Oven Cleaner 20 oz., 6 pk.|$29.98|$5.00/ea|13606761740
Reynolds Wrap Heavy Duty 18 Inch Aluminum Foil|Reynolds Wrap Heavy Duty 18" Aluminum Foil, 120 sq. ft., 2 pk.|$21.78|$0.09/sft|15409719345
Reynolds Wrap Heavy Duty 18 Inch Aluminum Foil|Reynolds Wrap Heavy Duty 18" Aluminum Foil, 150 sq. ft., 2 pk.|$27.78|$0.09/sft|1090000289
Reynolds Wrap Heavy Duty 18 Inch Aluminum Foil|Reynolds Wrap Non-Stick 12" Aluminum Foil 130 sq. ft., 2 pk.|$23.98|$0.09/sft|14169401260
Reynolds Wrap Heavy Duty 18 Inch Aluminum Foil|Reynolds Wrap Every Day 12" Aluminum Foil, 200 sq. ft., 2 pk.|$24.98|$0.06/sft|15430907581
Reynolds Wrap Heavy Duty 18 Inch Aluminum Foil|Member's Mark Standard Foodservice Aluminum Foil 18" x 500 ft.|$31.58|$0.04/sft|7874226441
Reynolds Wrap Heavy Duty 18 Inch Aluminum Foil|Member's Mark Foodservice Aluminum Foil 12 in. x 1000 ft., 1,000 ft.|$44.58|$0.04/sft|14196452433
Reynolds Wrap Heavy Duty 18 Inch Aluminum Foil|Member's Mark Standard Foodservice Aluminum Foil, 18" x 400'|$27.18|$0.05/sft|20320210474
Reynolds Wrap Heavy Duty 18 Inch Aluminum Foil|Reynolds Wrap Everyday 12" Aluminum Foil 250 sq. ft., 2 pk.|$28.88|$0.06/sft|1090006052
Vigo Italian Style Bread Crumbs|Vigo Italian Style Bread Crumbs, 5 lbs.|$5.94|$1.19/lb|13803520339
Vigo Italian Style Bread Crumbs|4C Seasoned Bread Crumbs, 46 oz., 2 pk.|$8.12|$0.09/oz|13580074627
Cauliflower|Cauliflower, 1 ct.|$3.82||15389764378
Kingsford Original Charcoal Briquets|Kingsford Original Charcoal Briquets, 2-Pack, 20 lbs.|$23.48||13893070389
Kingsford Original Charcoal Briquets|Kingsford Match Light Instant Charcoal Briquettes 2 Pack, 16 Lbs. Each|$23.48||13596913476
Kingsford Original Charcoal Briquets|Kingsford Miller Lite Beercoal Charcoal Briquettes, 16 lbs.|$11.98||15689959051
Bush's Best Fancy Garbanzo Beans 16 oz.|Bush's Best Fancy Garbanzo Beans 16 oz., 6 pk.|$6.38|$1.06/ea|13620565099
Member's Mark Chili Powder|Member's Mark Chili Powder, 20 oz.|$9.98|$0.50/oz|13598100262
State Fair Classic Corn Dogs|State Fair Classic Corn Dogs, Frozen, 30 ct.|$13.47||13864923221
Clabber Girl Corn Starch|Clabber Girl Corn Starch, 16 oz., 2 pk.|$6.48|$0.20/oz|13608113191
Member's Mark Cream Cheese Brick|Member's Mark Cream Cheese Brick, 48 oz.|$6.63|$0.14/oz|13865569340
Member's Mark Cream Cheese Brick|Philadelphia Original Cream Cheese Blocks, 8 oz., 4 pk.|$7.28|$1.82/ea|13589509183
Member's Mark Cream Cheese Brick|Philadelphia Original Cream Cheese Spread, 16 oz., 2 pk.|$8.97|$0.28/oz|13753702483
Member's Mark Cream Cheese Brick|Member's Mark Pumpkin Cream Cheese Blondies, 9 ct.|$8.62|$0.96/ea|19965214008
Tuttorosso Crushed Tomatoes with Basil|Tuttorosso Crushed Tomatoes with Basil, 28 oz., 8 pk.|$11.98|$1.50/ea|7294075605
Country Pasta Homemade Style Egg Pasta|Country Pasta Homemade Style Egg Pasta 56 oz.|$7.98||13902860744
Pledge Furniture Enhancing Polish Spray, Lemon|Pledge Furniture Enhancing Polish Spray, Lemon, 3ct., 29 oz.|$12.52|$4.17/ea|13886404498
Pledge Furniture Enhancing Polish Spray, Lemon|Pledge Multisurface Cleaner, Rainshower, 3 ct., 29 oz.|$12.52|$4.17/ea|4650002563
Member's Mark Ground Cumin|Member's Mark Ground Cumin, 16 oz.|$8.98|$0.56/oz|13591273997
Member's Mark Ground Cumin|Member's Mark Organic Ground Cumin, 8 oz.|$5.98|$0.75/oz|13884402196
Bush's Dark Red Kidney Beans 16 oz.|Bush's Dark Red Kidney Beans 16 oz., 6 pk.|$6.38|$1.06/ea|3940010735
Bush's Dark Red Kidney Beans 16 oz.|Camellia Red Kidney Beans 4 lbs.|$7.28|$0.11/oz|13766456631
Sprayway Industrial Strength Oven Cleaner 20 oz.|Sprayway Industrial Strength Oven Cleaner 20 oz., 6 pk.|$29.98|$5.00/ea|13606761740
Member's Mark Unbleached Parchment Paper|Member's Mark Unbleached Parchment Paper, 205 sq. ft., 2 pk.|$15.52|$0.04/sft|14216962216
Member's Mark Unbleached Parchment Paper|Reynolds Kitchens Pop-Up Parchment Paper Sheets, 125 ct.|$10.98|$0.09/ea|15391752102
Member's Mark Unbleached Parchment Paper|Reynolds Kitchens Unbleached Parchment Air Fryer Liners, 150 ct.|$9.98|$0.07/ea|15317171035
Pineapple|Del Monte Fresh Cut Pineapple Spears 2.5 lbs.|$7.97|$3.19/lb|15209750041
Pineapple|Pineapple|$2.97||13613070091
Pineapple|Member's Mark Pineapple Spears in Coconut Water, 42 oz.|$7.48|$0.18/oz|13861074313
Pineapple|Golden Farms Organic Pineapple Sauce, Unsweetened, 3.17 oz., 12 pk.|$7.41|$0.62/ea|18666723898
Pineapple|Member's Mark Pineapple Jalapeno Popper Dip, 24 oz.|$7.77|$0.32/oz|13875408716
Pineapple|Member's Mark by FujiSan Salmon Pineapple Roll, 10 pcs.|$9.97||19493012089
Glad Cling 'N Seal Plastic Food Wrap|Glad Press'n Seal Plastic Food Wrap 140 sq. ft./roll, 2 rolls|$8.64|$0.03/sft|1258770460
Glad Cling 'N Seal Plastic Food Wrap|Glad Cling ‘N Seal Clear Plastic Food Wrap 400 sq. ft./roll, 2 rolls|$6.98|$0.01/sft|13865573501
Member's Mark Seasoned Rotisserie Chicken|Member's Mark Seasoned Rotisserie Chicken|$4.98||13820153808
Member's Mark Seasoned Rotisserie Chicken|Member's Mark No Antibiotics Ever Rotisserie Seasoned Chicken Breast, Sliced, 1 lb. 6 oz.|$9.57|$6.96/lb|13846822236
Member's Mark Seasoned Rotisserie Chicken|Member's Mark Rotisserie Chicken Bites, 2 lbs.|$11.48|$5.74/lb|13613604194
Member's Mark Seasoned Rotisserie Chicken|Member's Mark Rotisserie Chicken Enchiladas, priced per pound|$15.12|$3.98/lb|13602803605
Member's Mark Ultra Premium 2-Ply Toilet Paper, 45 Rolls (235 Sheets/Roll)|Member's Mark Ultra Premium 2-Ply Toilet Paper 45 rolls, 235 sheets/roll|$24.76|$0.02/sft|14179359401
Member's Mark Ultra Premium 2-Ply Toilet Paper, 45 Rolls (235 Sheets/Roll)|POM 2-Ply Toilet Paper 45 rolls, 473 sheets/roll|$26.98|$0.01/sft|13888920661
Member's Mark Ultra Premium 2-Ply Toilet Paper, 45 Rolls (235 Sheets/Roll)|Boardwalk Jumbo Roll 2-Ply Toilet Paper 12 rolls, 1000 ft./roll|$48.98|$0.01/sft|13596008895
Member's Mark Ultra Premium 2-Ply Toilet Paper, 45 Rolls (235 Sheets/Roll)|Charmin Ultra Soft 2-Ply Toilet Paper 32 rolls, 215 sheets/roll|$29.98|$0.04/sft|17836403363
Member's Mark Ultra Premium 2-Ply Toilet Paper, 45 Rolls (235 Sheets/Roll)|Quilted Northern Ultra Plush 3-Ply Toilet Paper 36 rolls, 255 sheets/roll|$24.48|$0.03/sft|13611256081
Member's Mark Ultra Premium 2-Ply Toilet Paper, 45 Rolls (235 Sheets/Roll)|Scott 1000 1-Ply Toilet Paper 45 rolls, 1,000 sheets/roll|$30.48|$0.01/sft|5400048554
Member's Mark Ultra Premium 2-Ply Toilet Paper, 45 Rolls (235 Sheets/Roll)|Charmin Ultra Strong 2-Ply Toilet Paper 32 rolls, 231 sheets/roll|$24.98|$0.03/sft|15208221331
Member's Mark Ultra Premium 2-Ply Toilet Paper, 45 Rolls (235 Sheets/Roll)|Marathon Jumbo Roll 2-Ply White Toilet Paper 6 rolls, 1000 ft./roll|$26.77|$0.02/sft|40613121359
Member's Mark Ultra Premium 2-Ply Toilet Paper, 45 Rolls (235 Sheets/Roll)|Quilted Northern Ultra Soft & Strong 2-Ply Toilet Paper 32 rolls, 244 sheets/roll|$20.98|$0.03/sft|13615014592
Member's Mark Ultra Premium 2-Ply Toilet Paper, 45 Rolls (235 Sheets/Roll)|Tork Universal 2-Ply White Jumbo Bath Tissue, 12 rolls, 1,000 ft./roll|$51.74|$0.01/sft|16377950646
Member's Mark Tomato Paste|Member's Mark Tomato Paste, 6 oz., 12 pk.|$7.98|$0.67/ea|7874211804
Member's Mark Tomato Sauce 106 oz.|Member's Mark Tomato Sauce 106 oz.|$5.18|$0.05/oz|13602663979
Member's Mark Tomato Sauce 106 oz.|Member's Mark Tomato Sauce, 15 oz., 12 ct.|$9.68|$0.81/ea|7874225619
Member's Mark Distilled White Vinegar, 1 gal.|Member's Mark Distilled White Vinegar, 1 gal., 2 pk.|$5.98|$0.02/foz|13627365855
