"id","category","unit","store","item","size","per_unit","type","flags"
"jarred-gravy","Canned & Soup","oz","Hy-Vee","Campbell’s Turkey Gravy, 10.5 oz Can","10.5 oz","0.161","everyday","no-link"
"jarred-gravy","Canned & Soup","oz","Family Fare","Jimmy Dean Sausage & Gravy Breakfast Bowl 7 Oz","7 oz","0.5271","everyday","no-link"
"bottled-marinade","Sauces & Condiments","floz","Hy-Vee","A.1. CHICAGO STEAKHOUSE Marinades 16 fl oz.","16 fl oz","0.1869","everyday","no-link"
"bottled-marinade","Sauces & Condiments","floz","Family Fare","Steak + Chop 30 Minute Marinade","12.25 fl oz","0.2278","everyday","no-link"
"minced-garlic","Sauces & Condiments","oz","Hy-Vee","Spice World Minced Garlic","32 oz","0.2809","everyday","no-link"
"minced-garlic","Sauces & Condiments","oz","Family Fare","Dan's Pantry Minced Garlic","8 oz","0.6988","everyday","no-link"
"miracle-whip","Sauces & Condiments","oz","Hy-Vee","That's Smart! Whipped Dressing","30 fl oz","0.1077","everyday","no-link"
"miracle-whip","Sauces & Condiments","oz","Family Fare","Miracle Whip Light Dressing 30 Fl Oz","30 oz","0.233","everyday","no-link"
"pesto","Sauces & Condiments","oz","Hy-Vee","Filippo Berio® Classic Pesto 6.7 oz. Jar","6.7 oz","0.4015","everyday","no-link"
"pesto","Sauces & Condiments","oz","Family Fare","Rana Basil Pesto 7 Oz","7 oz","0.87","everyday","no-link"
"pickled-jalapenos","Sauces & Condiments","oz","Hy-Vee","Hy-Vee Sliced Jalapenos Mild","12 oz","0.1658","everyday","no-link"
"pickled-jalapenos","Sauces & Condiments","oz","Family Fare","Mt Olive Sweet Heat Jalapeno Slices 12 Fl Oz","12 fl oz","0.2742","everyday","no-link"
"horseradish","Sauces & Condiments","oz","Hy-Vee","Silver Spring Horseradish 8 oz","8 oz","0.4988","everyday","no-link"
"horseradish","Sauces & Condiments","oz","Family Fare","Silver Spring Horseradish, Prepared, Coarse Cut 8 Oz","8 oz","0.4988","everyday","no-link"
"rice-vinegar","Sauces & Condiments","floz","Hy-Vee","Marukan Genuine Brewed Rice Vinegar","12 fl oz","0.3908","everyday",""
"rice-vinegar","Sauces & Condiments","floz","Family Fare","Nakano Rice Vinegar, Organic, Natural 12 Fl Oz","12 fl oz","0.4492","everyday",""
"sauerkraut","Canned & Soup","oz","Hy-Vee","That's Smart Shredded Sauerkraut","14.5 oz","0.091","everyday","no-link"
"sauerkraut","Canned & Soup","oz","Family Fare","Our Family Old Fashioned Shredded Sauerkraut 14.4 Oz","14.4 oz","0.1174","everyday","no-link"
"steak-sauce","Sauces & Condiments","floz","Hy-Vee","Heinz Original Steak Sauces & Meat Condiments 20 oz","20 oz","0.3995","everyday","no-link"
"teriyaki-sauce","Sauces & Condiments","floz","Hy-Vee","Lawry's Honey Teriyaki Marinade","12 oz","0.2492","everyday",""
"vegetable-soup","Canned & Soup","oz","Hy-Vee","Amy's Organic Low Fat Chunky Vegetable Soups 14.3 oz","14.3 oz","0.314","everyday","no-link"
"vegetable-broth","Canned & Soup","floz","Hy-Vee","Swanson Vegetable Broth, 32 oz Carton","32 oz","0.0788","everyday","no-link"
"vegetable-broth","Canned & Soup","floz","Family Fare","Our Family Vegetable Stock 32 Fl Oz","32 fl oz","0.0809","everyday","no-link"
