id|name|price|size|url
tortillas|Great Value Medium Soft Taco Flour Tortillas 10 Count|1.98|10 ct|/ip/Great-Value-Medium-Soft-Taco-Flour-Tortillas-17-5-oz-Bag-10-Count-Shelf-Stable/953466267
hamburger-buns|Great Value White Hamburger Buns 8 Count|1.48|8 ct|/ip/Great-Value-Hamburger-Buns-8-Count-11-oz/10450104
bagels|Great Value Pre-Sliced Plain Bagels 6 Count|2.08|6 ct|/ip/Great-Value-Pre-Sliced-Plain-Bagels-RTE-20-oz-6-Count/667056737
rice|Great Value Long Grain Enriched Rice 5-Pound Bag|3.37|5 lb|/ip/Great-Value-Long-Grain-Enriched-Rice-5-lbs/10315395
pasta|Great Value Spaghetti|1.94|32 oz|/ip/Great-Value-Spaghetti-32-oz/10534105
pasta-sauce|Great Value Traditional Pasta Sauce|1.74|24 oz|/ip/Great-Value-Traditional-Pasta-Sauce-24-oz/19758051
mac-and-cheese|Kraft Mac and Cheese Original 5 Boxes|4.88|5 ct|/ip/Kraft-Original-Mac-N-Cheese-Macaroni-and-Cheese-Dinner-5-ct-Pack-7-25-oz-Boxes/14869676
ramen|Maruchan Ramen Noodle Soup Chicken 12 Pack|3.87|12 ct|/ip/Maruchan-Ramen-Noodle-Chicken-Flavor-Soup-3-oz-12-Count-Shelf-Stable-Package/10450904
flour|Great Value All-Purpose Enriched Bleached Wheat Flour 5-Pound Bag|2.38|5 lb|/ip/Great-Value-All-Purpose-Enriched-Flour-5LB-Bag/10403017
sugar|Great Value Pure Granulated Sugar 4-Pound Bag|3.27|4 lb|/ip/Great-Value-Pure-Granulated-Sugar-4-lb/10315162
brown-sugar|Great Value Light Brown Sugar|1.98|32 oz|/ip/Great-Value-Light-Brown-Sugar-32-oz/10315012
olive-oil|Great Value Extra Virgin Olive Oil|5.57|17 fl oz|/ip/Great-Value-Extra-Virgin-Olive-Oil-17-fl-oz/10315102
vegetable-oil|Great Value Vegetable Oil 1 Gallon|8.74|128 fl oz|/ip/Great-Value-Vegetable-Oil-1-Gallon/10451011
cereal|Great Value Honey Nut O's Oat Breakfast Cereal|1.94|12.25 oz|/ip/Great-Value-Honey-Nut-O-s-Oat-Breakfast-Cereal-12-25-oz/108922787
oatmeal|Great Value 100% Whole Grain Old Fashioned Oats|4.18|42 oz|/ip/Great-Value-Instant-100-Whole-Grain-Old-Fashioned-Oats-Cup-42-oz/10314925
jelly|Great Value Concord Grape Jelly|2.74|30 oz|/ip/Great-Value-Concord-Grape-Jelly-30-oz/364924551
honey|Great Value Honey Plastic Bear|2.97|12 oz|/ip/Great-Value-Honey-12-oz-Plastic-Bear/20647992
canned-black-beans|Great Value Black Beans|0.86|15 oz|/ip/Great-Value-Black-Beans-15-oz-Can/10534038
canned-corn|Great Value No Salt Added Golden Sweet Whole Kernel Corn|0.78|15.25 oz|/ip/Great-Value-No-Salt-Added-Golden-Sweet-Whole-Kernel-Corn-15-25-oz/589659824
diced-tomatoes|Great Value Diced Tomatoes in Tomato Juice|0.96|14.5 oz|/ip/Great-Value-Diced-Tomatoes-in-Tomato-Juice-14-5-oz-Can/10450990
chicken-broth|Great Value Chicken Broth Carton|1.50|32 fl oz|/ip/Great-Value-Chicken-Broth-32-oz-Carton-Shelf-Stable-Ambient-Gluten-Free/10899013
ketchup|Great Value Tomato Ketchup|1.97|32 oz|/ip/Great-Value-Tomato-Ketchup-32-oz/172196409
mustard|Great Value Yellow Mustard Squeeze Bottle|1.00|20 oz|/ip/Great-Value-Yellow-Mustard-20-oz-Squeeze-Bottle/43711099
mayonnaise|Great Value Mayonnaise|2.97|30 oz|/ip/Great-Value-Mayonnaise-30-fl-oz/17056888
ranch-dressing|Great Value Classic Ranch Dressing|3.82|36 fl oz|/ip/Great-Value-Classic-Ranch-Dressing-36-fl-oz/22282307
salsa|Great Value Thick and Chunky Salsa Mild|1.97|16 oz|/ip/Great-Value-Thick-and-Chunky-Salsa-Mild-16-oz/1959652540
salt|Great Value Iodized Salt|0.94|26 oz|/ip/Great-Value-Iodized-Salt-26-oz/10448316
black-pepper|Great Value Ground Black Pepper|3.58|3 oz|/ip/Great-Value-Ground-Black-Pepper-3-oz/44662573
tortilla-chips|Great Value Restaurant Style White Corn Tortilla Chips|2.17|13 oz|/ip/Great-Value-Restaurant-Style-White-Corn-Tortilla-Chips-13-oz/12335104
potato-chips|Great Value Original Potato Chips Party Size|2.50|13 oz|/ip/Great-Value-Party-Size-Original-Potato-Chips-13oz-bag/686470097
soda|Sam's Cola Soda Pop 12 Pack Cans|3.97|12 pk 12 fl oz|/ip/Sam-s-Cola-Soda-Pop-12-fl-oz-12-Pack-Cans/10794693
bottled-water|Great Value Purified Drinking Water 24 Count|3.68|24 ct|/ip/Great-Value-Purified-Drinking-Water-16-9-fl-oz-24-Count/13448854
frozen-pizza|Red Baron Four Cheese Classic Crust Frozen Pizza|4.82|each|/ip/Red-Baron-Four-Cheese-Classic-Crust-Frozen-Pizza-21-06-oz/10292879
ice-cream|Great Value Cookies and Cream Ice Cream|2.50|48 fl oz|/ip/Great-Value-Cookies-Cream-Ice-Cream-48-fl-oz/12329735
frozen-vegetables|Green Giant Simply Steam Garden Vegetable Medley|1.87|10 oz|/ip/Green-Giant-Simply-Steam-Garden-Vegetable-Medley-10-oz-Bag-Frozen/14974031
frozen-fries|Great Value Crinkle Cut French Fried Potatoes|2.97|32 oz|/ip/Great-Value-Crinkle-Cut-French-Fried-Potatoes-32-oz-Bag-Frozen/10534212
chicken-nuggets|Great Value Fully Cooked Chicken Nuggets|5.97|32 oz|/ip/Great-Value-Fully-Cooked-Chicken-Nuggets-32-oz-Frozen/51259447
paper-towels|Scott Paper Towels Choose-A-Sheet 6 Double Rolls|6.84|6 ct|/ip/Scott-Paper-Towels-Choose-A-Sheet-6-Double-Rolls/8886020987
toilet-paper|Scott ComfortPlus Toilet Paper 12 Mega Rolls|8.47|12 ct|/ip/Scott-ComfortPlus-Toilet-Paper-12-Mega-Rolls/14944866035
dish-soap|Dawn Ultra Dishwashing Liquid Original|2.94|18 fl oz|/ip/Dawn-Ultra-Liquid-Dish-Soap-Dishwashing-Liquid-Grease-Removal-Original-18oz/1095568875
dishwasher-detergent|Cascade Platinum Plus Dishwasher Pods 57 Count|22.94|57 ct|/ip/Cascade-Platinum-Plus-Dishwasher-Pods-Action-Pacs-Dishwasher-Detergent-Tabs-Fresh-57-Count/8921608735
trash-bags|Great Value 13-Gallon Drawstring Tall Kitchen Trash Bags 40 Count|6.48|40 ct|/ip/Great-Value-13-Gallon-Drawstring-Tall-Kitchen-Trash-Bags-Unscented-40-Bags/344638043
aluminum-foil|Great Value Aluminum Foil 75 sq ft Roll|4.83|each|/ip/Great-Value-75-sq-ft-Aluminum-Foil/121815660
storage-bags|Great Value Freezer Guard Double Zipper Freezer Bags Gallon 40 Count|2.82|40 ct|/ip/Great-Value-Freezer-Guard-Double-Zipper-Freezer-Bags-Gallon-40-Count/808599731
all-purpose-cleaner|Great Value Multi Purpose Cleaner Lemon Scent|2.97|32 fl oz|/ip/Great-Value-Bleach-FREE-Lemon-Scented-All-Purpose-Cleaner-32-floz/2560978912
bleach|Great Value Concentrated Liquid Bleach|5.88|121 fl oz|/ip/Great-Value-Bleach-121-fl-oz/629539844
hand-soap|Equate Liquid Hand Soap Clear Refill|2.97|50 fl oz|/ip/Equate-Clear-Liquid-Hand-Soap-50-fl-oz/1783955214
