Aldi         | Ambiano Electric Kettle or 2-Slice Toaster |  | 
Family Fare  | Lawry's Ground Cumin 2 Oz | 2 oz | $3.49
Family Fare  | Libby's Whole Kernel Sweet Corn 4 Ea | 4 ea | $2.69
Family Fare  | Mc Cormick Chili Powder 4.5 Oz | 4.5 oz | $5.29
Family Fare  | Mc Cormick Dark Chili Powder 7.5 Oz | 7.5 oz | $6.99
Family Fare  | Mc Cormick Garlic Powder 3.12 Oz | 3.12 oz | $6.99
Family Fare  | Mc Cormick Garlic Powder 5.37 Oz | 5.37 oz | $9.79
Family Fare  | Mc Cormick Garlic Powder 8.75 Oz | 8.75 oz | $10.99
Family Fare  | Mc Cormick Gourmet Organic Garlic Powder 2.25 Oz | 2.25 oz | $10.49
Family Fare  | Mc Cormick Ground Cumin 1.5 Oz | 1.5 oz | $3.99
Family Fare  | Mike's Harder Harder Strawberry Pineapple Beer 23.5 Oz | 23.5 oz | $3.69
Family Fare  | Minute Hot Honey Chicken Seasoned Rice 8.8 Oz | 8.8 oz | $2.79
Family Fare  | Mott's 100% Juice, Apple 1 Gal | 1 gal | $8.59
Family Fare  | Mott's 100% Juice, Natural, Apple 64 Oz | 64 oz | $5.39
Family Fare  | Noosa Yoghurt, Finest, Strawberry Rhubarb 8 Oz | 8 oz | $2.89
Family Fare  | Nutrish Natural Adult Whole Health Blend Chunks In Gravy Real Chicken & Veggies Recipe Food For Dogs 13 Oz | 13 oz | $3.49
Family Fare  | Old Orchard 100% Juice, Apple 64 Oz | 64 oz | $3.99
Family Fare  | Orrington Farms Broth Base & Seasoning, Beef Flavored 12 Oz | 12 oz | $5.39
Family Fare  | Ortega Green Chiles, Diced, Fire Roasted, Mild 4 Oz | 4 oz | $2.99
Family Fare  | Our Certified 93% Lean / 7% Fat, Lean Ground Beef Roll, 1 Lb. 16 Oz | 1 lb | $9.29
Family Fare  | Our Family 100% Pure Avocado Oil 20.96 Fl Oz | 20.96 fl oz | $13.99
Family Fare  | Our Family Apple Cider Juice 64 Fl Oz | 64 fl oz | $4.29
Family Fare  | Our Family Beef Bone Broth 32 Fl Oz | 32 fl oz | $2.69
Family Fare  | Our Family Blueberries, Fresh Frozen 12 Oz | 12 oz | $3.99
Family Fare  | Our Family Chili Powder 4.5 Oz | 4.5 oz | $4.49
Family Fare  | Our Family Cumin, Ground 2 Oz | 2 oz | $4.29
Family Fare  | Our Family Garlic Powder 3.12 Oz | 3.12 oz | $2.29
Family Fare  | Our Family Garlic Powder 5.37 Oz | 5.37 oz | $4.99
Family Fare  | Our Family Green Beans, Cut, Fresh Frozen 12 Oz | 12 oz | $1.39
Family Fare  | Our Family Green Beans, Cut, Fresh Frozen 24 Oz | 24 oz | $2.39
Family Fare  | Our Family Green Chiles, Mild, Diced 4 Oz | 4 oz | $1.19
Family Fare  | Our Family Green Chiles, Mild, Diced 7 Oz | 7 oz | $2.19
Family Fare  | Our Family Super Sweet Cream Corn 14.75 Oz | 14.75 oz | $0.99
Family Fare  | Our Family Sweet Corn, Super, Steamable 10 Oz | 10 oz | $1.39
Family Fare  | Our Family Tomatoes, Diced 14.5 Oz | 14.5 oz | $0.99
Family Fare  | Our Family Tomatoes, Diced 28 Oz | 28 oz | $1.99
Family Fare  | Our Family Tomatoes, Diced, Chili Ready 14.5 Oz | 14.5 oz | $0.99
Family Fare  | Our Family Tomatoes, Diced, Petite 14.5 Oz | 14.5 oz | $0.99
Family Fare  | Our Family Tomatoes, Diced, Petite 28 Oz | 28 oz | $1.99
Family Fare  | Our Family Tomatoes, With Green Chiles, Diced 10 Oz | 10 oz | $1.19
Family Fare  | Our Family Tomatoes, With Green Chiles, Diced 14.5 Oz | 14.5 oz | $0.99
Family Fare  | Our Family Tomatoes, With Green Chiles, Diced 28 Oz | 28 oz | $1.99
Family Fare  | Our Family Tomatoes, With Green Chiles, Mild, Diced 10 Oz | 10 oz | $1.19
Family Fare  | Pacific Foods Organic Beef Bone Broth 32.000 Oz | 32.000 oz | $7.89
Family Fare  | Panda Express Sauce, Mandarin Teriyaki 20.5 Oz | 20.5 oz | $6.99
Family Fare  | Pop Corners Kettle Corn Sweet & Salty Popped Corn Snacks 7 Oz | 7 oz | $4.99
Family Fare  | Powerade Zero Sugar Watermelon Enhanced Water Bottle 20 Fl Oz | 20 fl oz | $1.89
Family Fare  | Push Pop Cherry Watermelon Jumbo Candy 1.06 Oz | 1.06 oz | $2.99
Family Fare  | Ro Tel Fire Roasted Diced Tomatoes & Green Chilies 10 Oz | 10 oz | $1.69
Family Fare  | Ro Tel Mild Diced Tomatoes And Green Chilies 10 Oz | 10 oz | $1.69
Family Fare  | Ruffles Cheddar & Sour Cream Flavored Potato Chips 8 Oz |  | 
Family Fare  | San Marcos Original Recipe Chipotles Peppers In Adobo Sauce 7.5 Oz | 7.5 oz | $1.99
Family Fare  | Seasoned Chicken Thighs | lb | $3.99
Family Fare  | Simply Spiked Bolder Strawberry Lemonade Mini Beer 12 Ea | 12 ea | $11.99
Family Fare  | Simply Watermelon Juice Drink Bottle 52 Fl Oz | 52 oz | $3.49
Family Fare  | Snack Pack Banana Cream Pie Pudding 4 Ea | 4/3.5 oz | $1.79
Family Fare  | Soy Vay Veri Veri Teriyaki Marinade & Sauce 21 Oz | 21 oz | $5.99
Family Fare  | Sparkling Ice Zero Sugar Watermelon Lemonade Flavored Sparkling Water 16 Fl Oz | 16 fl oz | $1.79
Family Fare  | Spice Supreme Chili Powder 2.75 Oz | 2.75 oz | $5.0
Family Fare  | Spice Supreme Spice Chili Powder Sauce Mix | 1 oz | $5.0
Family Fare  | Spice Supreme Spices Garlic Powder | 1.75 oz | $5.0
Family Fare  | Standard Pride 80%/20% 100% Pure Ground Beef 48 Oz Discount Limit 2 | 48 oz | $19.99
Family Fare  | Steel Reserve Malt Beverage, Spiked, Strawberry 24 Fl Oz | 24 fl oz | $2.79
Family Fare  | Stonefire Hot Honey Flavored Naan 2 Ea | 2 ea | $4.49
Family Fare  | Swanson® Sipping Beef Bone Broth 10.750 Oz | 10.750 oz | $3.59
Family Fare  | Sweet Baby Ray's Buffalo Wing Wing Sauce 16 Fl Oz | 16 fl oz | $4.99
Family Fare  | Sweet Baby Ray's Mild Buffalo Wing Sauce 16 Fl Oz | 16 fl oz | $4.99
Family Fare  | Sweet Baby Ray's Sauce & Marinade, Sweet Teriyaki 16 Fl Oz | 16 fl oz | $4.99
Family Fare  | Sweet Yellow Corn | 1 ct | $0.69
Family Fare  | Teriyaki Sauce Our Family | 10 oz | $2.29
Family Fare  | That's Smart Spices Chili Powder Seasoning | 2.75 oz | $1.69
Family Fare  | That's Smart! Garlic Powder | 2.5 oz | $1.39
Family Fare  | Tone's Ground Cumin | 0.6 oz | $1.99
Family Fare  | Tones Mild Chili Powder | 0.65 oz | $1.99
Family Fare  | Tyson Boneless Skinless Chicken Breasts (Frozen) 2.5 Lb | 2.5 lb | $12.99
Family Fare  | Tyson Chicken Thighs, Bone In (Frozen) 2.5 Lb | 2.5 lb | $3.99
Family Fare  | Tyson Skinless Boneless Chicken Breasts 32 Oz | 32 oz | $8.99
Family Fare  | V8® Hot Honey 100% Vegetable Juice 46.000 Fl Oz | 46.000 fl oz | $4.99
Family Fare  | Watermelon Liqueur, Liquor | 50 | $0.99
Family Fare  | Welch's Juice, Concord Grape 64 Fl Oz | 64 oz | $6.89
Family Fare  | Welch's Juice, Red Grape 64 Fl Oz | 64 fl oz | $6.89
Family Fare  | Yellow Nectarines |  | 
Family Fare  | Yoplait Dairy Snack, Strawberry Banana 5.6 Oz | 5.6 oz | $1.39
Family Fare  | Yoplait Reduced Fat Cherry Cheesecake Yogurt 4 Oz |  | 
Family Fare  | Zoup! Beef Bone Broth 32 Oz | 32 oz | $8.99
Hy-Vee       | 1919 root beer, 12 pk. cans 16 fl. oz., $16.99 |  | 
Hy-Vee       | 1st Phorm bar, buy one, get one 50% off regular price, |  | 
Hy-Vee       | 1st Phorm mini sticks, buy one, get one 50% off regular price, |  | 
Hy-Vee       | 4 Hy-Vee Midwest Pork seasoned America's cut pork chop 8 oz. & 1 Coca-Cola soda 10 pk. mini cans 7.5 fl. oz. or 1 Gold Peak tea 6 pk. bottles 16.9 fl. oz., 2.00 off regular price with purchase of 4 Hy-Vee Midwest Pork seasoned America's cut pork chop 8 oz. & 1 Coca-Cola soda 10 pk. mini cans 7.5 fl. oz. or 1 Gold Peak tea 6 pk. bottles 16.9 fl. oz., |  | 
Hy-Vee       | 4" Rose plant, This miniature rose plant features vibrant blooms, nestled in a natural clay pot. Offers a timeless, garden-inspired look., $10.99 |  | 
Hy-Vee       | AE Dairy dip or sour cream, 16 oz., $2.77 |  | 
Hy-Vee       | Ahi tuna or swordfish steak, previously frozen, 8 oz., $5.99 |  | 
Hy-Vee       | Alessi balsamic reduction or sundried tomatoes, 8.5 fl. oz. or 7 oz., $4.97 |  | 
Hy-Vee       | All free & clear laundry detergent, FUEL SAVER EARN 5¢ OFF PER GALLON, $16.99 |  | 
Hy-Vee       | Always Discreet products, -3.00 off with manufacturer's digital coupon, FUEL SAVER EARN 3¢ OFF PER GALLON, $11.97 |  | 
Hy-Vee       | Annie's deluxe pasta & cheese, 6 to 11.3 oz., $3.49 |  | 
Hy-Vee       | Argentina shrimp scampi dinner, $14.99 lb. |  | 
Hy-Vee       | Aussie haircare, -3.00 off 2 with manufacturer's digital coupon, 2/ $6.94 |  | 
Hy-Vee       | Bacardi rum, 1.75 liter, $23.99 |  | 
Hy-Vee       | Bacon wrapped asparagus, $6.99 lb. |  | 
Hy-Vee       | Bacon wrapped chicken griller, 8 oz., $4.99 |  | 
Hy-Vee       | Bai antioxidant beverage 6 pk. bottles 14 fl. oz. or Core water 6 pk. bottles 16.9 fl. oz., $5.99 |  | 
Hy-Vee       | Bakery-fresh angel food cake, 10 oz., $3.49 |  | 
Hy-Vee       | Bakery-fresh breakfast bar coffee cake, 18 oz., $4.99 |  | 
Hy-Vee       | Bakery-fresh brownies or bars, EARN 5¢ OFF PER GALLON, $6.99 |  | 
Hy-Vee       | Bakery-fresh gourmet cinnamon rolls, 4 ct., $6.99 |  | 
Hy-Vee       | Bakery-fresh mini dessert loaves, 6 to 20 oz., 2/ $5 |  | 
Hy-Vee       | Bakery-fresh sourdough bread, FUEL SAVER EARN 5¢ OFF PER GALLON, $4.99 |  | 
Hy-Vee       | Band-Aid first aid products, .50 off regular price, |  | 
Hy-Vee       | Banquet Brown'N Serve sausage, $1.67 each, 3/ $5 each |  | 
Hy-Vee       | Barilla pesto or pasta sauce, 6.2 to 24 oz. Select varieties included., 2/ $5 |  | 
Hy-Vee       | Bar-S Classic Franks 12oz | 12 oz | $1.28
Hy-Vee       | Bar-S jumbo franks, 16 oz., $1.77 |  | 
Hy-Vee       | Batiste dry shampoo, 20% off regular price, |  | 
Hy-Vee       | Bear & Burton's sauce, buy one, get one FREE, |  | 
Hy-Vee       | BelGioioso burrata or stracciatella, 8 oz., $4.99 |  | 
Hy-Vee       | BelGioioso cheese wedge, 5 or 8 oz., $5.99 |  | 
Hy-Vee       | BelGioioso fresh mozzarella snacking cheese, 6 oz., $4.48 |  | 
Hy-Vee       | BelGioioso fresh mozzarella, 8 oz., 2/ $6 |  | 
Hy-Vee       | BelGioioso fresh mozzarella, prosciutto & basil roll, 8 oz., $7.99 |  | 
Hy-Vee       | BelGioioso marinated fresh mozzarella cup, 12 oz., $6.99 |  | 
Hy-Vee       | BelGioioso smoked fresh mozzarella, 8 oz., $4.99 |  | 
Hy-Vee       | Bellissima body care, 20% off regular price, |  | 
Hy-Vee       | Ben & Jerry's bars 4 ct., ice cream, Talenti gelato or sorbetto 10.7 to 16 fl. oz., $4.79 |  | 
Hy-Vee       | Birds Eye vegetables, 5 to 17 oz., $2.99 |  | 
Hy-Vee       | Blue Moon, 6 pk. bottles or cans 12 fl. oz., $9.99 |  | 
Hy-Vee       | Bob Evans sausage links 14 ct., patties 8 ct. or ground 16 oz. roll, SAVE! .50, $4.49 PERKS PRICES. NON-MEMBER PRICE $4.99 |  | 
Hy-Vee       | BodyArmor Flash I.V. drink mix, 6 ct., $6.99 |  | 
Hy-Vee       | BodyArmor SportWater, 700 ml., 5/ $5 |  | 
Hy-Vee       | Budget Saver assorted twin pops, 18 ct., $3.48 |  | 
Hy-Vee       | Bug soother natural insect repellent, 5% off regular price, |  | 
Hy-Vee       | Bunzi tea, SAVE! 1.00, $4.99 PERKS PRICES. NON-MEMBER PRICE 5.99 |  | 
Hy-Vee       | Busch or Busch Light, 18 pk. cans 12 fl. oz., $15.99 |  | 
Hy-Vee       | By The Sea seafood & veggie air fryer meal, 10 to 18 oz., $8.99 |  | 
Hy-Vee       | Cacique oaxaca, cotija or panela cheese, 10 oz., $5.99 |  | 
