WINNER apples           <= [apples > limes]  'Busch Light apple or lime, 30 pk. cans 12 fl. oz., $27.99'
WINNER shredded-cheese  <= [shredded-cheese > parmesan]  'Bel Gioioso Parmesan Freshly Shredded Cheese 8 Oz'
WINNER shredded-cheese  <= [shredded-cheese > parmesan]  'Fareway Parmesan Fancy Shredded Cheese'
WINNER strawberries     <= [strawberries > blueberries > raspberries > frozen-fruit]  'Nothing But The Truth blueberries, raspberries, strawberries or berry medley, SAVE! .50, $2.99 PERLS PRICES. NON-MEMBER PRICE $3.49'
WINNER strawberries     <= [strawberries > blueberries]  'Fresh Strawberries & Blueberries Fresh Divide'
WINNER strawberries     <= [strawberries > grapes > popsicles]  'Bomb Pop Pops, Strawberry, Watermelon & Grape, Nerds Candy 12 Ea'
WINNER sugar            <= [sugar > applesauce]  'Mott's No Sugar Added Applesauce'
WINNER sugar            <= [sugar > soda]  'Pepsi Cola, Zero Sugar 2.1 Qt'
WINNER sugar            <= [sugar > soda]  'Pepsi Cola, Zero Sugar 12 Ea'
WINNER sweet-corn       <= [sweet-corn > kielbasa]  'Our own ready to cook crab boil, Snow crab clusters, Zatarain's andouille smoked sausage, mini sweet corn cobs & Old Bay cajun spices, 64 oz., $39.99'
WINNER sweet-corn       <= [sweet-corn > frozen-corn]  'Birds Eye Super Sweet Corn 10 Oz'
WINNER tomatoes         <= [tomatoes > crackers]  'Simple Mills Almond Flour Crackers, Tomato & Basil, Sun Dried 4.25 Oz'
WINNER tomatoes         <= [tomatoes > olive-oil]  'Alessi Tomatoes, Sun Dried, In Extra Virgin Olive Oil 7 Oz'
WINNER yogurt           <= [yogurt > peaches]  'Noosa Yoghurt, Finest, Peach 8 Oz'
WINNER yogurt           <= [yogurt > bananas]  'El Mexicano Yogurt Drink, Strawberry Banana 7 Fl Oz'
WINNER yogurt           <= [yogurt > bananas]  'Chobani Strawberry Banana On The Bottom Reduced Fat Greek Yogurt 5.3 Oz'
WINNER yogurt           <= [yogurt > oranges]  'Yoplait Reduced Fat Orange Creme Yogurt 4 Oz'
WINNER yogurt           <= [yogurt > bananas]  'Yoplait Low Fat Strawberry Banana Yogurt 6 Oz'
