"Slug","Item","Buy","Grams","Ratio","Verdict","Evidence"
"cheeseburger-rice-bowls","Worcestershire Sauce","1 Tbsp","50","2.94","unverifiable","cited source https://www.budgetbytes.com/cheeseburger-rice/ returns HTTP 404"
"cheesy-zucchini-beef-rice-skillet","Rice","1 lb","1000","2.2","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"chicken-parmesan-pasta","Butter","3 tbsp","100","2.38","unverifiable","spec carries no source_url"
"chicken-parmesan-pasta","Garlic","3 tsp minced","35","4.17","unverifiable","spec carries no source_url"
"chicken-parmesan-pasta","Garlic Powder","1 tsp","7","2.26","unverifiable","spec carries no source_url"
"chicken-parmesan-pasta","Italian Seasoning","2 tsp","10","3.57","unverifiable","spec carries no source_url"
"chicken-parmesan-pasta","Olive Oil","2 tbsp","60","2.22","unverifiable","spec carries no source_url"
"curry-ground-turkey-bowls","Olive Oil","1 tsp EVOO","16","3.56","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"curry-ground-turkey-bowls","Salt","3/4 tsp kosher","16","3.56","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"ground-beef-and-broccoli-bowls","Rice","1 lb","981","2.16","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"ground-beef-fried-rice-bowls","Rice","1 lb","1020","2.25","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"ground-beef-fried-rice-bowls","Vegetable Oil","2 Tbsp","100","3.57","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"ground-beef-gyro-bowls","Black Pepper","1/2 tsp","4","3.48","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"ground-beef-gyro-bowls","Cucumber","3/4 cup grated (tzatziki)","300","3.85","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"ground-beef-gyro-bowls","Dried Dill","2 tbsp (tzatziki)","18","3","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"ground-beef-gyro-bowls","Dried Oregano","1 tsp","7","7","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"ground-beef-gyro-bowls","Dried Thyme","1 tsp","4","4","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"ground-beef-gyro-bowls","Feta Cheese","1/4 cup crumbled (tzatziki)","113","4.04","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"ground-beef-gyro-bowls","Ground Nutmeg","1/4 tsp","2","3.64","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"ground-beef-gyro-bowls","Lemon Juice","1/2 tbsp (tzatziki)","21","2.8","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"ground-beef-gyro-bowls","Rice","1 lb","1201","2.65","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"ground-beef-gyro-bowls","Salt","1 tsp meat + 1/2 tsp tzatziki","20","3.33","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"ground-beef-shawarma-bowls","Rice","1 lb","1120","2.47","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"ground-beef-stroganoff-pasta","All-Purpose Flour","3 tbsp","72","3","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"ground-beef-stroganoff-pasta","Worcestershire Sauce","1 tsp","15","2.63","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"ground-beef-teriyaki-bowls","Black Pepper","1/4 tsp","2","3.48","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"ground-beef-teriyaki-bowls","Olive Oil","1 tbsp","42","3.11","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"ground-beef-teriyaki-bowls","Red Pepper Flakes","1/4 tsp","2","4.44","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"ground-beef-teriyaki-bowls","Rice","1 lb","1031","2.27","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"ground-beef-teriyaki-bowls","Rice Vinegar","1 tsp","15","3","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"ground-turkey-enchilada-skillet-bowls","Black Pepper","1/8 tsp","1","3.48","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"ground-turkey-enchilada-skillet-bowls","Ground Cumin","1/4 tsp","2","3.81","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"ground-turkey-enchilada-skillet-bowls","Salt","1/4 tsp","5","3.33","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"ground-turkey-enchilada-skillet-bowls","Yellow Onion","1/2 cup diced","275","4.78","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"ground-turkey-stir-fry-bowls","Rice Vinegar","1 tbsp vinegar","52","3.47","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"ground-turkey-stir-fry-bowls","Sesame Oil","2 tsp toasted","35","3.89","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"korean-ground-beef-rice-bowls","Red Pepper Flakes","1 tsp","8","4.44","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"korean-ground-beef-rice-bowls","Roasted Red Peppers","3 oz, from a jar","300","3.53","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"korean-ground-turkey-bowls","Ground Ginger","1/4 tsp","2","4.44","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"korean-ground-turkey-bowls","Red Pepper Flakes","1/4 tsp crushed","2","4.44","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"loaded-beef-taco-skillet-bowls","Dried Oregano","1 tsp","5","5","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"loaded-beef-taco-skillet-bowls","Garlic Powder","1 tsp","9","2.9","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"loaded-beef-taco-skillet-bowls","Paprika","1/2 tsp","5","4.35","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"loaded-beef-taco-skillet-bowls","Red Bell Pepper","1/2 cup diced","260","5.65","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"loaded-beef-taco-skillet-bowls","Red Pepper Flakes","1/4 tsp","2","4.44","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"loaded-beef-taco-skillet-bowls","Salt","1/4 tsp","5","3.33","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"loaded-beef-taco-skillet-bowls","Vegetable Oil","2 tsp","30","3.33","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"loaded-beef-taco-skillet-bowls","Yellow Onion","1/2 cup diced","280","4.87","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"mediterranean-ground-turkey-bowls","Black Pepper","1/4 tsp cracked","2","3.48","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"mediterranean-ground-turkey-bowls","Dried Dill","1/4 tsp","2","8","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"mediterranean-ground-turkey-bowls","Dried Oregano","1/2 tsp","4","8","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"mediterranean-ground-turkey-bowls","Garlic Powder","1/4 tsp","3","3.87","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"mediterranean-ground-turkey-bowls","Lemon Juice","1 Tbsp","50","3.33","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"mediterranean-ground-turkey-bowls","Salt","1/2 tsp + 1/4 tsp (turkey + sauce)","16","5.33","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"mongolian-ground-beef-bowls","Beef Broth","1/4 cup (or water)","210","3.5","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"mongolian-ground-beef-bowls","Black Pepper","1/4 tsp","2","3.48","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"mongolian-ground-beef-bowls","Cornstarch","1 Tbsp","28","3.5","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"mongolian-ground-beef-bowls","Green Onions","1/4 cup, thinly sliced","40","3.2","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"mongolian-ground-beef-bowls","Hoisin Sauce","1 Tbsp","52","3.25","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"mongolian-ground-beef-bowls","Olive Oil","1 Tbsp","50","3.7","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"mongolian-ground-beef-bowls","Red Pepper Flakes","1/4 tsp","2","4.44","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"mongolian-ground-beef-bowls","Rice","1 lb","1031","2.27","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"mongolian-ground-beef-bowls","Rice Vinegar","1 tsp","17","3.4","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"mongolian-ground-beef-bowls","Sesame Oil","1 tsp","16","3.56","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"philly-cheesesteak-skillet-bowls","Black Pepper","1/2 tsp","6","5.22","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"philly-cheesesteak-skillet-bowls","Olive Oil","1 1/2 tbsp","45","2.22","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"philly-cheesesteak-skillet-bowls","Rice","1 lb","1188","2.62","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"philly-cheesesteak-skillet-bowls","Salt","2 tsp","25","2.08","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"salisbury-steak-potato-bowls","Dijon Mustard","1 tsp","18","3.6","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"salisbury-steak-potato-bowls","Garlic Powder","1/2 tsp","5","3.23","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"salisbury-steak-potato-bowls","Onion Powder","1/2 tsp","5","4.17","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"salisbury-steak-potato-bowls","Worcestershire Sauce","1 tsp (patties) + 1/2 tsp (gravy)","25","4.39","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"sloppy-joe-rice-bowls","Apple Cider Vinegar","1 tbsp","30","2","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"sloppy-joe-rice-bowls","Black Pepper","1/4 tsp","3","5.22","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"sloppy-joe-rice-bowls","Olive Oil","2 tsp (beef) + oil for base","20","2.22","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"sloppy-joe-rice-bowls","Paprika","1/2 tsp","3","2.61","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"sloppy-joe-rice-bowls","Rice","1 lb","1050","2.31","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"sloppy-joe-rice-bowls","Salt","1 tsp","15","2.5","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-apple-cider-pork-bowls","Black Pepper","1/2 tsp","3","2.61","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-apple-cider-pork-bowls","Dried Thyme","1/2 tsp","2","4","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-apple-cider-pork-bowls","Ground Coriander","1/2 tsp","3","3.33","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-balsamic-pork-bowls","Chili Powder","1/4 tsp","2","2.96","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-balsamic-pork-bowls","Garlic Powder","1/2 tsp","4","2.58","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-balsamic-pork-bowls","Ground Cumin","1/2 tsp","4","3.81","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-barbacoa-bowl","Apple Cider Vinegar","2 tbsp","60","2","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-barbacoa-bowl","Black Pepper","1 tsp","5","2.17","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-barbacoa-bowl","Dried Oregano","1 tbsp","10","3.33","label-near-source","label 1 tbsp, source 1/2 tablespoon"
"slow-cooker-bbq-pulled-chicken-bowls","Black Pepper","1/2 tsp","4","3.48","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-bbq-pulled-chicken-bowls","Rice","1 lb","950","2.09","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"slow-cooker-bbq-pulled-chicken-bowls","Salt","1/2 tsp","10","3.33","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-brown-sugar-sesame-pork-bowls","Ground Ginger","3/4 tsp","4","2.96","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-buffalo-chicken-bowl","Butter","1/4 cup melted","180","3.17","own-addition","source is a 3-ingredient recipe (chicken, ranch mix, buffalo sauce) - no butter"
"slow-cooker-buffalo-chicken-bowl","Rice","1 lb","1000","2.2","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"slow-cooker-buffalo-chicken-bowl","Salt","1/2 tsp","10","3.33","own-addition","source states no salt"
"slow-cooker-butter-chicken-rice-bowls","Cayenne Pepper","1/2 tsp","4","4.44","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-butter-chicken-rice-bowls","Chili Powder","1 tsp","6","2.22","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-butter-chicken-rice-bowls","Garam Masala","2 tsp","12","3","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-butter-chicken-rice-bowls","Ginger","1 tbsp minced","35","5.83","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-butter-chicken-rice-bowls","Ground Cumin","1 tsp","6","2.86","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-butter-chicken-rice-bowls","Lemon Juice","2 tsp","23","2.3","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-butter-chicken-rice-bowls","Rice","1 lb","980","2.16","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"slow-cooker-char-siu-pork-bowls","Five-Spice Powder","1/2 tsp","3","2.61","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-char-siu-pork-bowls","Garlic","2 tsp minced","18","3.21","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-char-siu-pork-bowls","Ginger","2 tsp grated fresh","10","2.5","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-char-siu-pork-bowls","Ketchup","3 tbsp","115","2.25","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-char-siu-pork-bowls","Sesame Oil","1 tsp dark sesame oil","10","2.22","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-adobo-rice-bowls","Black Pepper","1 tsp peppercorns","5","2.17","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-cacciatore-pasta","Balsamic Vinegar","1 tbsp + 1/2 tsp","40","2.5","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-cacciatore-pasta","Black Pepper","1/2 tsp","3","2.61","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-cacciatore-pasta","Italian Seasoning","2 tsp","12","4.29","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-cacciatore-pasta","Salt","1 tsp kosher salt","12","2","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-curry-rice-bowls","Black Pepper","1/2 tsp","5","4.35","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-curry-rice-bowls","Rice","1 lb","1020","2.25","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"slow-cooker-chicken-curry-rice-bowls","Salt","2 tsp","36","3","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-gyro-bowls","Black Pepper","1 tsp","6","2.61","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-gyro-bowls","Dried Basil","1 1/2 tsp","5","3.33","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-gyro-bowls","Dried Dill","1 1/2 tsp","4","2.67","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-gyro-bowls","Dried Oregano","1 1/2 tsp","7","4.67","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-gyro-bowls","Salt","1 tsp","14","2.33","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-korma-rice-bowls","Garam Masala","2 tsp","12","3","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-korma-rice-bowls","Ginger","3 tsp chopped","35","5.83","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-korma-rice-bowls","Ground Cinnamon","1 tsp","6","2.31","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-korma-rice-bowls","Ground Cumin","1 tsp","6","2.86","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-korma-rice-bowls","Ground Turmeric","1 tsp","6","2","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-korma-rice-bowls","Rice","1 lb","920","2.03","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"slow-cooker-chicken-korma-rice-bowls","Salt","1 tsp","14","2.33","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-pozole-bowls","Chili Powder","1 tbsp","16","2","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-pozole-bowls","Dried Oregano","1 tbsp Mexican oregano","6","2","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-pozole-bowls","Ground Cumin","2 tsp","10","2.38","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-pozole-bowls","Salt","1 tsp","12","2","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-saag-rice-bowls","Cayenne Pepper","1/8 tsp","1","4.44","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-saag-rice-bowls","Garam Masala","1 tbsp","18","3","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-saag-rice-bowls","Ground Coriander","1 tbsp","15","2.78","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-saag-rice-bowls","Ground Cumin","1 tbsp","18","2.86","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-saag-rice-bowls","Rice","1 lb","950","2.09","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"slow-cooker-chicken-saag-rice-bowls","Salt","1.5 tsp","23","2.56","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-shawarma-bowls","Curry Powder","1/2 tsp","4","4","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-shawarma-bowls","Dried Parsley","1 tsp","4","8","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-shawarma-bowls","Ground Cinnamon","1/4 tsp","2","3.08","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-shawarma-bowls","Ground Coriander","1/4 tsp","2","4.44","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-shawarma-bowls","Ground Cumin","1 1/2 tsp","12","3.81","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-shawarma-bowls","Paprika","1 tsp","8","3.48","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-tacos-rice-bowls","Black Pepper","1/4 tsp","2","3.48","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-tacos-rice-bowls","Chili Powder","1/4 tsp","2","2.96","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-tacos-rice-bowls","Garlic","1 tbsp minced","20","2.35","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-tacos-rice-bowls","Ground Coriander","1/2 tsp","2","2.22","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-tacos-rice-bowls","Ground Cumin","1 tsp","5","2.38","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-tacos-rice-bowls","Paprika","1 tsp","5","2.17","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-tagine-bowls","Carrots","1 lb","120","0.26","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
