"ticket","why","commodity","store","board_item","board_per_unit","found_product","found_price","found_pack","ratio","note","verdict"
"FDB0AF3391","review-price","Green Beans (fresh)","Fareway","Pero Family Farms Snipped Green Beans","2.9400","Pero Family Farms Fresh Snipped Green Beans","5.3200","12 oz bag","1.810","$3.99 (no sale), page shows $0.33/oz = $5.32/lb; Pickup - Omaha; only fresh green bean item found (no loose by-the-lb listing); Fareway Steamables 12 oz $1.44 appears to be frozen, not counted",""
"812F50C382","review-price","Bell Peppers","Fareway","Green Bell Pepper","0.7700","Green Bell Pepper","1.1700","1 each","1.519","$1.17 each (no sale); Pickup - Omaha; red/orange/yellow bell pepper $1.50 each; 3-pepper pack $4.88",""
"961B81AE7B","review-price","Turkey Breast (raw)","Fareway","Fareway Bone-In Turkey Breast","2.9900","Fareway Bone-In Turkey Breast (sold by weight)","3.4900","about 5.0 lb/package (est. $17.45/pkg)","1.167","$3.49/lb, final cost by weight; Pickup - Omaha; page does not state raw vs cooked explicitly but it is a meat-case bone-in breast, not a deli/roasted item; bone-in basis. Fareway Boneless Turkey $5.99/lb (~5 lb pkg, $29.95 est.); Butterball roasted/deli breasts $9.99/lb are cooked, not counted",""
"1500C77577","review-price","Sugar Snap Peas","Fareway","Pero Family Farms Sugar Snap Peas","0.4988","Pero Family Farms Sugar Snap Peas","0.4350","8 oz","0.872","$3.48 each (reg $3.99), also Buy 2 for $4.96 multi-buy (= $2.48 ea, 0.31/oz); page shows $0.44/oz; URL slug says 15 oz but page reads 8 oz; Pickup - Omaha; only snap pea item found",""
"0A882B45BA","review-price","Toilet Bowl Cleaner","Fareway","Lysol Bam Tw Toilet Bowl Cleaner","0.1456","Clorox Toilet Bowl Cleaner, Clinging Bleach Gel, Ocean Mist","0.1238","24 fl oz","0.850","$2.97 sale (reg $3.99), page shows $0.12/fl oz; Pickup - Omaha; 2x24 fl oz $6.18 = 0.1288, Lysol 24 fl oz $2.99",""
"9648FF4AB4","review-price","Cayenne Pepper (ground)","Fareway","Badia Spices Cayenne Pepper","1.4229","Badia Spices Cayenne Pepper","0.9600","1.75 oz","0.675","$1.68 sale (reg $2.49), page shows $0.96/oz; Pickup - Omaha; McCormick ground cayenne 1 oz $3.99",""
"43324A670C","review-price","Dijon Mustard","Fareway","Fareway Dijon Mustard","0.2492","Fareway Dijon Mustard","0.1567","12 oz","0.629","$1.88 sale (reg $2.99, sale ends in ~20 hrs), page shows $0.16/oz; Pickup - Omaha; Fareway stone ground dijon 12 oz also $1.88; Grey Poupon 10 oz $3.97",""
"51E6677F49","review-price","Large Eggs (dozen)","Hy-Vee","Hy Vee Grade A Large Eggs 18 Count","1.5867","That's Smart! Large Eggs","1.6700","1 dz","1.052","shelf $1.67 / 1 dozen Grade A large; Omaha #02, NE; others: Country Daybreak Farm Fresh 60 ct $8.99 = 1.80/dz (size not stated in title), Hy-Vee 18 ct $2.79 = 1.86/dz, Country Daybreak Large 30 ct $4.69 = 1.88/dz, Hy-Vee 12 ct $1.89",""
"21C5886348","review-price","Brussels Sprouts","Hy-Vee","That's Smart! Brussels Sprouts","1.8533","Brussels Sprouts (fresh loose)","3.4900","per lb (sold by weight)","1.883","page shows $3.49/lb (35c ea. at 0.10 lb est.); Omaha #02, NE; fresh bagged Bud by Dole 12 oz $2.99 and 24 oz $5.99 both = 3.99/lb. FROZEN That's Smart! Brussels Sprouts 12 oz $1.29 = 1.72/lb is cheaper if frozen counts",""
"7D1660DB84","review-price","Apple Juice","Hy-Vee","Motts 100 Apple Juice","0.0700","Hy-Vee No Sugar Added 100% Apple Juice","0.0489","96 fl oz","0.699","shelf $4.69 / 96 fl oz; Omaha #02, NE; 100% juice chosen. Cheaper NON-100% option: That's Smart! Apple Juice Cocktail 64 fl oz $1.99 = 0.0311/floz (a cocktail, not juice). Next 100%: Juicy Juice 128 fl oz $6.99 = 0.0546",""
"D864EC63BA","review-price","Black Olives (canned, ripe)","Hy-Vee","That's Smart! Large Pitted Ripe Olives","0.3283","That's Smart! Large Pitted Ripe Olives","0.2917","6 oz","0.889","shelf $1.75 / 6 oz can; store shown Omaha #02, NE (hy-vee.com Aisles Online); next cheapest Pearls sliced ripe 5.6 oz $1.69 = 0.302/oz",""
"A49493444F","review-price","Caesar Salad Kit","Sam's Club","Taylor Farms Ultimate Caesar Salad Kit, 16.9 oz.","0.2331","Taylor Farms Ultimate Caesar Salad Kit, 16.9 oz.","0.2036","16.9 oz","0.873","$3.44 / 16.9 oz; club 13130 L St, pickup IN_STOCK; Earthbound Organic Caesar kit 16.9 oz $5.25 dearer",""
"606885B103","review-price","Disinfecting Wipes","Sam's Club","Clorox Disinfecting Cleaning Wipes Limited Edition Back to School Variety Pack, Bleach Free, Fresh Scent and Crisp Lemon, Pack of 5, 425 Wipes Total","0.0400","Member's Mark Disinfecting Wipes, Variety Pack, 4 pk., 312 ct.","0.0352","312 ct","0.880","$10.98 / 312; club 13130 L St, pickup IN_STOCK; Clorox 5 pk 425 ct $18.78 = 0.0442",""
"3A9056BEA0","review-price","Corn Dogs (frozen)","Sam's Club","State Fair Classic Corn Dogs, Frozen","0.4490","State Fair Classic Corn Dogs, Frozen, 30 ct.","0.3823","30 ct","0.851","$11.47 / 30; club 13130 L St, pickup IN_STOCK; only corn dog found",""
"C411FA437F","review-price","Sweetened Condensed Milk","Sam's Club","Magnolia Sweetened Condensed Milk, 14 oz., 6 pk.","0.1426","Nestle La Lechera Sweetened Condensed Milk, 14 oz., 6 pk.","0.1605","84 oz (6x14 oz)","1.126","$13.48 / 84 oz; club 13130 L St, pickup IN_STOCK; Magnolia 6x14 oz $11.98 (0.1426) and Eagle Brand 4x14 oz $9.48 are shipping-only (pickup NOT_AVAILABLE)",""
"35057B57A5","review-price","Gelatin (Jell-O)","Walmart","Great Value Cherry Gelatin Dessert, 3 oz","0.9200","Great Value Strawberry Gelatin Dessert, 3 oz","0.9800","1 box (3 oz)","1.065","$0.98 per 3 oz box; pickup IN_STOCK 5361; all GV 3 oz flavours $0.98. Jell-O brand 3 oz box $1.48. GV unflavored gelatin 4 ct $2.23 not counted (not Jell-O style dessert)",""
"B2FF0F2129","review-price","Razors (disposable)","Walmart","Equate 2-Blade Disposable Razors, Blue, 12 Count","0.1633","Equate 2-Blade Disposable Razors, Blue, 12 Count","0.1767","12 count","1.082","$2.12 shelf / 12 razors; page unit 17.7c/count; pickup IN_STOCK 5361",""
"19280F64D4","review-price","Baked Beans","Walmart","(12 pack) Great Value Original Baked Beans, 28 oz","0.0657","Great Value Country Style Baked Beans, 15 oz Can","0.0747","15 oz","1.137","$1.12 shelf; page unit 7.5c/oz; pickup IN_STOCK 5361. GV Sweet and Spicy 15 oz same price",""
"4FDF8E9FD6","review-price","Baby Food (jars/pouches)","Walmart","Parent's Choice Stage 2 Baby Food Breakfast Blend Variety Pack, 4 oz Pouches, 12 Count","0.1546","Parent's Choice Stage 1 Baby Food Banana Puree, 4 oz Cups, 2 Pack","0.1838","2 x 4 oz","1.189","$1.47 shelf for 2 x 4 oz = 8 oz; page unit 18.4c/oz; pickup IN_STOCK 5361. Same price for other Parent's Choice Stage 1 flavours. Cheapest Gerber was 23.4c/oz",""
"E4EC03AF75","review-product","Green chilli","Aldi","Burman S Green Chili Squeeze Aioli 10 OZ","3.9200","Freshire Farms Jalapeno Peppers","1.9800","8 oz","0.505","$0.99 shelf, 8 oz bag on product page (page unit $0.12/oz); ALDI OLA 42 Omaha, In-Store; jalapeno is the only fresh green chili listed (no serrano/Thai/Indian green chili found); canned Pueblo Lindo Chopped Green Chiles 4 oz $0.85 exists but is canned",""
"D5A9A2196C","review-product","Mushrooms (white / baby bella)","Aldi","Crimini Brown Mushroom Package 8 OZ","0.1612","Baby Bella Mushrooms","0.1613","8 oz","1.001","$1.29 shelf, 8 oz on product page (page unit $0.16/oz); ALDI OLA 42 Omaha, In-Store; white whole 8 oz $1.49, sliced white 8 oz $1.59",""
"F636D6148D","review-product","Coffee Creamer","Aldi","Friendly Farms Half & Half Creamer","0.0747","Barissimo French Vanilla Coffee Creamer","0.0841","32 fl oz","1.126","$2.69 shelf, 32 fl oz on product page (page unit $0.08/fl oz); ALDI OLA 42 Omaha, In-Store; several Barissimo 32 fl oz flavors tie at $2.69",""
"925A4CBA17","review-product","White Onion","Aldi","White Onion Bag 2 Lbs","1.0950","White Onions (2 lb bag)","1.0950","2 lb","1.000","$2.19 shelf, 2 lb bag on product page (page unit $0.07/oz); ALDI OLA 42 Omaha, In-Store; only white onion size listed",""
"273DD2B2B8","review-product","Hand Soap (liquid)","Fareway","Dial Antibacterial Defense Power Berries Scent Foaming Hand Soap, 7.5 fl oz","0.5987","Softsoap Antibacterial Liquid Hand Soap Refill, White Tea & Berry","0.1194","50 fl oz","0.199","$5.97 sale (reg $6.99), page shows $0.12/fl oz; Pickup - Omaha; refill jug; cheapest pump bottle is Bright Essentials 10.8 fl oz $2.54 = 0.2352/fl oz; Dial refill 52 fl oz $6.97 = 0.134",""
"E3DD5388AD","review-product","Yellow / Yukon Gold Potatoes","Hy-Vee","B-Size Gold Potatoes","1.2667","Green Giant Klondike Golddust Potatoes","1.1980","5 lb bag","0.946","shelf $5.99 / 5 lb (gold/yellow flesh); Omaha #02, NE; loose B-Size Gold Potatoes $1.49/lb; no Hy-Vee-brand gold bag found (searched yellow potatoes, gold potatoes, yukon)",""
"5EE49EC63C","review-product","Dish Sponges","Sam's Club","Scrub Daddy Sponge Daddy Cleaning Sponges, Multi-Color, 12 ct.","0.7483","Scotch-Brite Heavy Duty Scrub Sponges, Individually Wrapped 24 ct.","0.6433","24 ct","0.860","$15.44 / 24; club 13130 L St, pickup IN_STOCK; Zero Scratch 24 ct same price but pickup NOT_AVAILABLE; Scrub Daddy 12 ct $8.98 = 0.75",""
"40F00907A9","review-product","Baby Food (jars/pouches)","Sam's Club","Gerber 2nd Foods Fruit & Veggie Variety Pack, 4 oz., 30 ct.","0.1998","HappyTOT Organics Love My Veggies, Variety Pack, Stage 4 Pouch, 4.22 oz., 12 ct.","0.2958","50.64 oz (12x4.22 oz)","1.480","$14.98 / 50.64 oz; club 13130 L St, pickup IN_STOCK; Stage 4 toddler pouch. Cheapest infant option at club: HappyBABY Clearly Crafted Fruit & Oat 12x4 oz $14.98 = 0.3121, pickup IN_STOCK. Gerber 2nd Foods 30x4 oz $23.98 (0.1998) and Beech-Nut Stage 2 pouches $14.48 are shipping-only (pickup NOT_AVAILABLE)",""
"B3247E92CE","review-product","Kielbasa / Smoked Sausage","Sam's Club","Eckrich Hardwood Smoked Sausage Family Pack 42 oz.","2.2781","Hillshire Farm Beef Smoked Sausage Bundle Pack 48 oz.","3.7600","48 oz","1.650","$11.28 / 3 lb; club 13130 L St, pickup IN_STOCK; Lit'l Smokies 3 lb $9.97 (3.32/lb) excluded as cocktail links; Hillshire turkey polska kielbasa 42 oz $7.57 = 2.88/lb is turkey (see C08FB10291)",""
"94EC5372FE","review-product","Block Cheese","Sam's Club","Member's Mark Sharp Cheddar Cheese Block 2 lbs.","0.1762","Member's Mark Part-Skim Mozzarella Cheese 5 lbs.","0.1521","5 lb (80 oz) block","0.863","$12.17 / 80 oz; low-moisture mozzarella BLOCK (page: block can be cut into chunks); club 13130 L St, pickup IN_STOCK. If board means cheddar-type: MM Colby & Monterey Jack chunk 2 lb $5.48 = 0.1713/oz; MM Sharp Cheddar block 2 lb $5.73 = 0.1791/oz, both pickup IN_STOCK",""
"BD5AD9D8DA","review-product","Frozen Brussels Sprouts","Walmart","Green Giant Season Brussel Sprout Intro","0.1430","Great Value Brussels Sprouts, 12 oz Bag (Frozen)","0.1267","12 oz","0.886","$1.52 shelf; page unit 12.7c/oz; pickup IN_STOCK 5361",""
"1108F70446","review-product","Floor Cleaner","Walmart","OdoBan No Rinse Neutral pH Floor Cleaner Concentrate, 1 Gallon","0.0778","Great Value Multi-Purpose Cleaner & Floor Cleaner 2x Concentrated, Watermelon, 56 fl oz","0.0600","56 fl oz","0.771","$3.36 shelf; page unit 6.0c/fl oz; pickup IN_STOCK Omaha L St Supercenter 5361; 2x concentrate. Next cheapest Fabuloso 2X at 7.0c/fl oz",""
