id,commodity,unit,hyvee_everyday,hyvee_ad,hyvee_ad_from,hyvee_ad_to,hyvee_shown,aldi_everyday,aldi_ad,aldi_ad_from,aldi_ad_to,aldi_shown,familyfare_everyday,familyfare_ad,familyfare_ad_from,familyfare_ad_to,familyfare_shown,fareway_everyday,fareway_ad,fareway_ad_from,fareway_ad_to,fareway_shown,bakers_everyday,bakers_ad,bakers_ad_from,bakers_ad_to,bakers_shown,sams_everyday,sams_ad,sams_ad_from,sams_ad_to,sams_shown,walmart_everyday,walmart_ad,walmart_ad_from,walmart_ad_to,walmart_shown
ground-pork,Ground Pork,lb,,,,,,3.29,,,,3.29,4.49,,,,4.49,3.99,,,,3.99,6,,,,6,2.98,,,,2.98,3.9467,,,,3.9467
papaya,Papaya,each,,,,,,,,,,,,,,,,,,,,,,,,,,3.27,,,,3.27,,,,,
oven-cleaner,Oven Cleaner,oz,0.4131,,,,0.4131,,,,,,0.5855,,,,0.5855,0.4131,0.3779,2026-08-11,2026-09-10,0.3779,0.4683,,,,0.4683,0.2498,,,,0.2498,0.2794,,,,0.2794
pita-bread,Pita Bread,each,0.615,,,,0.615,,,,,,0.9975,,,,0.9975,0.798,,,,0.798,0.4983,,,,0.4983,0.4927,,,,0.4927,0.87,,,,0.87
paper-towels,Paper Towels,each,0.9933,,,,0.9933,0.5825,,,,0.5825,1.4988,,,,1.4988,2.2475,2.3267,,,2.2475,1.4983,1.665,2026-09-02,2026-09-09,1.4983,1.7488,,,,1.7488,1.14,,,,1.14
string-cheese,String Cheese,oz,,,,,,0.2575,,,,0.2575,0.3992,,,,0.3992,0.349,,,,0.349,0.229,0.4167,2026-08-12,2026-09-23,0.229,0.1973,,,,0.1973,0.2567,,,,0.2567
feminine-pads,Feminine Pads,each,0.3395,,,,0.3395,,,,,,0.1246,,,,0.1246,0.2081,0.1942,2026-08-09,2026-09-08,0.1942,0.1085,,,,0.1085,0.1216,,,,0.1216,0.0829,0.2044,2026-08-31,2026-09-30,0.0829
grits,Grits (quick),oz,0.1662,,,,0.1662,,,,,,0.1871,,,,0.1871,0.1246,,,,0.1246,0.1662,,,,0.1662,0.0449,,,,0.0449,0.135,,,,0.135
nectarines,Nectarines,lb,2.9818,,,,2.9818,1.845,,,,1.845,3.99,,,,3.99,,,,,,2.995,,,,2.995,2.1925,,,,2.1925,2.485,,,,2.485
plums,Plums,lb,2.99,,,,2.99,1.945,,,,1.945,3.49,,,,3.49,,,,,,2.6633,,,,2.6633,1.9886,,,,1.9886,2.735,,,,2.735
frosting,Frosting,oz,0.1212,,,,0.1212,0.1094,,,,0.1094,0.1431,,,,0.1431,0.1556,0.1244,2026-08-09,2026-09-08,0.1244,0.1244,0.1556,2026-09-02,2026-09-23,0.1244,0.0989,,,,0.0989,0.1099,,,,0.1099
toothbrushes,Toothbrushes,each,1,,,,1,0.975,,,,0.975,0.9317,,,,0.9317,1.245,,,,1.245,0.8225,,,,0.8225,1.6212,,,,1.6212,0.1667,,,,0.1667
cherries,Cherries (fresh),lb,6.99,,,,6.99,2.49,,,,2.49,,,,,,5.32,3.9867,2026-09-06,2026-10-06,3.9867,5.995,,,,5.995,3.74,,,,3.74,6.9689,,,,6.9689
white-wine,White Wine,floz,,,,,,0.1558,,,,0.1558,0.3365,,,,0.3365,,,,,,0.1571,0.2562,2026-08-20,2026-09-30,0.1571,0.2736,,,,0.2736,0.1561,,,,0.1561
shaving-cream,Shaving Cream,oz,0.3131,,,,0.3131,,,,,,0.3738,,,,0.3738,0.3173,0.2718,2026-08-11,2026-09-10,0.2718,0.279,,,,0.279,0.3361,,,,0.3361,0.198,,,,0.198
red-wine,Red Wine,floz,,,,,,0.1558,,,,0.1558,0.2756,,,,0.2756,,,,,,0.2358,0.4327,2026-08-20,2026-09-30,0.2358,0.2736,,,,0.2736,0.1364,0.8269,2026-08-31,2026-09-30,0.1364
tampons,Tampons,each,0.2827,,,,0.2827,,,,,,0.1998,,,,0.1998,0.3244,0.305,2026-08-09,2026-09-08,0.305,0.1886,,,,0.1886,0.1456,,,,0.1456,0.1661,0.2846,2026-08-31,2026-09-30,0.1661
whole-cloves,Whole cloves,oz,9.592,,,,9.592,,,,,,2.99,,,,2.99,,,,,,4.392,,,,4.392,1.0891,,,,1.0891,2.4923,,,,2.4923
shelled-edamame,Shelled Edamame,oz,,,,,,0.1556,,,,0.1556,,,,,,,,,,,0.3495,,,,0.3495,,,,,,0.2086,,,,0.2086
gruyere,Gruyere Cheese,oz,0.7129,,,,0.7129,0.3362,,,,0.3362,0.9988,,,,0.9988,1.7488,,,,1.7488,1.0612,,,,1.0612,,,,,,0.3814,,,,0.3814
sauerkraut,Sauerkraut (canned/jarred),oz,0.091,,,,0.091,0.0579,,,,0.0579,0.1174,,,,0.1174,0.1028,,,,0.1028,0.0959,0.0716,2026-08-08,2026-09-16,0.0716,,,,,,0.0767,,,,0.0767
relish,Sweet Relish,oz,0.259,,,,0.259,0.1056,,,,0.1056,0.199,,,,0.199,0.2181,0.1862,2026-08-09,2026-09-08,0.1862,0.1454,0.1878,2026-06-09,2026-09-07,0.1454,,,,,,0.155,0.172,2026-08-31,2026-09-30,0.155
banana-peppers,Banana Peppers / Pepperoncini,oz,0.2492,,,,0.2492,0.1556,,,,0.1556,0.2056,,,,0.2056,0.2056,0.18,2026-08-09,2026-09-08,0.18,0.1872,0.1869,2026-07-15,2026-09-09,0.1869,,,,,,0.1475,,,,0.1475
shaved-beef-steak,Shaved Beef Steak,lb,,,,,,7.3714,,,,7.3714,,,,,,,,,,,9.1314,,,,9.1314,8.735,,,,8.735,,,,,
cilantro,Cilantro (bunch),each,0.99,,,,0.99,0.89,,,,0.89,0.99,,,,0.99,1.49,,,,1.49,0.99,,,,0.99,,,,,,1.78,,,,1.78
red-wine-vinegar,Red Wine Vinegar,floz,0.1869,,,,0.1869,0.1769,,,,0.1769,0.1556,,,,0.1556,0.2355,0.1704,2026-08-11,2026-09-10,0.1704,0.1869,0.1681,2026-07-13,2026-09-07,0.1681,,,,,,0.18,,,,0.18
sazon-seasoning,Sazon Seasoning,oz,,,,,,0.5633,,,,0.5633,,,,,,,,,,,1.1986,,,,1.1986,,,,,,0.7289,,,,0.7289
canned-green-chilies,Canned Diced Green Chilies,oz,0.2557,,,,0.2557,0.2125,,,,0.2125,0.2975,,,,0.2975,0.4475,0.37,2026-08-09,2026-09-08,0.37,0.2475,0.3119,2026-07-22,2026-09-30,0.2475,,,,,,0.25,,,,0.25
mandarin-oranges,Canned Mandarin Oranges,oz,0.1327,,,,0.1327,0.0993,,,,0.0993,,,,,,0.1527,0.1293,2026-08-09,2026-09-08,0.1293,0.1327,,,,0.1327,,,,,,0.1231,,,,0.1231
grape-juice,Grape Juice,floz,0.067,,,,0.067,0.0461,,,,0.0461,0.0623,,,,0.0623,0.0702,0.0622,2026-08-11,2026-09-10,0.0622,0.0514,,,,0.0514,,,,,,0.0464,,,,0.0464
clam-chowder,Clam Chowder (canned),oz,0.1941,,,,0.1941,0.1319,,,,0.1319,,,,,,,,,,,0.159,,,,0.159,,,,,,0.132,0.2445,2026-08-31,2026-09-30,0.132
prunes,Prunes / Dried Plums,oz,0.4994,,,,0.4994,0.3328,,,,0.3328,0.4806,,,,0.4806,0.4579,0.4162,2026-08-11,2026-09-10,0.4162,0.3747,0.3328,2026-08-24,2026-10-19,0.3328,,,,,,0.1588,,,,0.1588
bacon-bits,Bacon Bits,oz,1.0878,,,,1.0878,0.78,,,,0.78,,,,,,,,,,,,,,,,,,,,,1.16,,,,1.16
ricotta,Ricotta Cheese,oz,0.2184,,,,0.2184,0.166,,,,0.166,0.1872,,,,0.1872,0.2184,0.1872,2026-08-09,2026-09-08,0.1872,0.183,,,,0.183,,,,,,0.1638,,,,0.1638
balsamic-vinegar,Balsamic Vinegar,floz,0.2361,,,,0.2361,0.1769,,,,0.1769,0.3914,,,,0.3914,0.2355,0.1704,2026-08-11,2026-09-10,0.1704,0.2806,0.2361,2026-08-26,2026-09-07,0.2361,,,,,,0.2425,,,,0.2425
caesar-dressing,Caesar Dressing,floz,0.1612,,,,0.1612,0.3075,,,,0.3075,0.1744,,,,0.1744,0.2175,0.1827,2026-08-11,2026-09-10,0.1827,0.1744,0.1244,2026-09-02,2026-09-09,0.1244,,,,,,0.1827,0.6212,2026-08-31,2026-09-30,0.1827
frozen-corn,Frozen Corn,oz,0.0783,,,,0.0783,0.0808,,,,0.0808,0.139,,,,0.139,0.1825,0.12,2026-08-09,2026-09-08,0.12,0.0915,,,,0.0915,,,,,,0.0775,,,,0.0775
radishes,Radishes,oz,0.1556,,,,0.1556,0.1181,,,,0.1181,0.1869,,,,0.1869,0.1244,,,,0.1244,0.1244,,,,0.1244,,,,,,0.362,,,,0.362
portobello-mushrooms,Portobello Mushrooms,lb,,,,,,6.64,,,,6.64,,,,,,,,,,,,,,,,,,,,,8.32,,,,8.32
canned-mixed-vegetables,Canned Mixed Vegetables,oz,0.064,,,,0.064,0.169,,,,0.169,,,,,,,,,,,0.0727,,,,0.0727,,,,,,0.064,,,,0.064
red-onion,Red Onions,lb,1.28,,,,1.28,1.095,,,,1.095,1.99,,,,1.99,,,,,,1.33,,,,1.33,,,,,,1.2867,,,,1.2867
jalapenos,Jalapeno Peppers,lb,2.99,,,,2.99,1.98,,,,1.98,2.49,,,,2.49,2.99,,,,2.99,1.99,,,,1.99,,,,,,1.96,1.76,2026-08-31,2026-09-30,1.76
garlic,Garlic (fresh),each,0.79,,,,0.79,0.5633,,,,0.5633,0.79,,,,0.79,0.6633,,,,0.6633,0.498,,,,0.498,,,,,,0.58,,,,0.58
celery,Celery,each,1.88,,,,1.88,1.99,,,,1.99,2.79,,,,2.79,1.99,2.99,,,1.99,2.59,,,,2.59,,,,,,2.37,,,,2.37
sugar-snap-peas,Sugar Snap Peas,oz,0.2325,,,,0.2325,0.3113,,,,0.3113,,,,,,0.4988,,,,0.4988,0.4056,,,,0.4056,,,,,,0.3162,,,,0.3162
fresh-ginger,Ginger Root,lb,5.99,,,,5.99,3.98,,,,3.98,4.99,,,,4.99,3.99,,,,3.99,3.9867,,,,3.9867,,,,,,3.6255,,,,3.6255
miracle-whip,Miracle Whip (Salad Dressing Spread),oz,0.1077,,,,0.1077,0.0963,,,,0.0963,0.233,,,,0.233,0.2327,0.1993,2026-08-11,2026-09-10,0.1993,,,,,,,,,,,,,,,
dijon-mustard,Dijon Mustard,oz,0.2075,,,,0.2075,0.1242,,,,0.1242,0.1825,,,,0.1825,0.2492,,,,0.2492,0.1575,0.4167,2026-08-19,2026-09-23,0.1575,,,,,,0.1433,,,,0.1433
italian-sausage,Italian Sausage,lb,4.88,,,,4.88,2.4842,,,,2.4842,4.49,,,,4.49,5.0442,,,,5.0442,3.5467,4.2105,2026-08-08,2026-09-16,3.5467,,,,,,3.92,,,,3.92
mangoes,Mangoes,each,2.5,,,,2.5,1.15,,,,1.15,2.99,,,,2.99,1.5,,,,1.5,1,,,,1,,,,,,1.27,1,2026-09-05,2026-10-05,1
white-onion,White Onion,lb,,,,,,1.095,,,,1.095,1.39,,,,1.39,,,,,,1.2633,,,,1.2633,,,,,,1.3797,,,,1.3797
spaghetti-squash,Spaghetti Squash,lb,1.4917,,,,1.4917,1.29,,,,1.29,1.99,,,,1.99,,,,,,1.49,,,,1.49,,,,,,1.54,,,,1.54
ranch-seasoning-mix,Ranch Seasoning Mix (packet),oz,0.66,,,,0.66,0.55,,,,0.55,0.7054,,,,0.7054,1.49,0.98,2026-08-11,2026-09-10,0.98,0.6725,1.2,2026-07-29,2026-09-23,0.6725,,,,,,0.53,,,,0.53
potato-gnocchi,Potato Gnocchi,oz,0.1869,,,,0.1869,0.1074,,,,0.1074,0.3119,,,,0.3119,0.2494,0.2369,2026-08-09,2026-09-08,0.2369,0.1869,,,,0.1869,,,,,,0.1642,,,,0.1642
coconut-milk-canned,Canned Coconut Milk,floz,0.2215,,,,0.2215,,,,,,,,,,,0.2215,,,,0.2215,0.1474,,,,0.1474,0.1371,,,,0.1371,0.1467,,,,0.1467
lotion,Body Lotion,floz,0.4994,,,,0.4994,0.2217,,,,0.2217,0.4757,,,,0.4757,0.4281,0.3805,2026-08-09,2026-09-08,0.3805,0.2064,0.449,2026-08-19,2026-09-09,0.2064,0.2598,,,,0.2598,0.1808,0.1775,2026-08-31,2026-09-30,0.1775
high-fiber-tortillas,High Fiber Tortillas (burrito size),each,,,,,,,,,,,,,,,,0.8317,,,,0.8317,0.7817,,,,0.7817,0.598,,,,0.598,0.745,,,,0.745
fruit-cocktail,Canned Fruit Cocktail,oz,0.097,,,,0.097,0.1043,,,,0.1043,,,,,,0.1263,0.0997,2026-08-09,2026-09-08,0.0997,0.1097,,,,0.1097,0.1064,,,,0.1064,0.0927,,,,0.0927
tea-bags,Tea Bags,each,0.0449,,,,0.0449,0.0621,,,,0.0621,0.0699,,,,0.0699,0.0738,0.0598,2026-08-09,2026-09-08,0.0598,0.0239,0.0718,2026-08-17,2026-10-12,0.0239,0.0376,,,,0.0376,0.0224,0.2788,2026-08-31,2026-09-30,0.0224
sponges,Dish Sponges,each,0.9967,,,,0.9967,0.53,,,,0.53,,,,,,0.7475,0.67,2026-08-09,2026-09-08,0.67,,,,,,0.7483,,,,0.7483,0.485,,,,0.485
donuts,Donuts,each,,,,,,0.3125,,,,0.3125,0.5317,,,,0.5317,0.3325,0.24,2026-08-09,2026-09-08,0.24,0.3992,,,,0.3992,0.6933,,,,0.6933,0.3983,,,,0.3983
iced-tea,Iced Tea (bottled/gallon),floz,0.0507,,,,0.0507,0.0304,,,,0.0304,,,,,,0.039,0.0311,2026-08-09,2026-09-08,0.0311,0.0257,0.0234,2026-08-19,2026-09-09,0.0234,0.0287,,,,0.0287,0.0255,,,,0.0255
cottage-cheese,Cottage Cheese,oz,0.1325,,,,0.1325,0.1188,,,,0.1188,0.1538,,,,0.1538,0.1642,,,,0.1642,0.1206,0.2181,2026-08-03,2026-09-28,0.1206,0.1512,,,,0.1512,0.1138,,,,0.1138
curry-powder,Curry Powder,oz,3.9943,,,,3.9943,,,,,,1.395,,,,1.395,2.8514,,,,2.8514,1.69,,,,1.69,0.4989,,,,0.4989,0.9144,,,,0.9144
chili-powder,Chili Powder,oz,0.4545,,,,0.4545,0.396,,,,0.396,0.6145,,,,0.6145,0.6244,0.4994,2026-08-23,2026-09-22,0.4994,0.6313,1.7086,2026-08-19,2026-09-30,0.6313,0.499,,,,0.499,0.36,,,,0.36
hot-cocoa,Hot Cocoa Mix,each,0.239,,,,0.239,,,,,,0.369,,,,0.369,,,,,,0.333,,,,0.333,0.1956,,,,0.1956,0.299,,,,0.299
dried-arbol-chiles,Dried Arbol Chiles,oz,5.98,,,,5.98,,,,,,0.83,,,,0.83,,,,,,,,,,,0.4975,,,,0.4975,,,,,
red-potatoes,Red Potatoes,lb,0.798,1.29,,,0.798,0.858,,,,0.858,1.198,,,,1.198,,,,,,1.598,,,,1.598,0.865,,,,0.865,1.368,,,,1.368
tater-tots,Tater Tots,oz,,,,,,0.0903,,,,0.0903,0.2028,,,,0.2028,0.1869,0.1553,2026-08-11,2026-09-10,0.1553,,,,,,0.0732,,,,0.0732,0.092,,,,0.092
whole-chicken,Whole Chicken,lb,1.99,1.49,2026-08-31,2026-09-27,1.49,1.8107,,,,1.8107,1.79,,,,1.79,2.49,,,,2.49,1.49,,,,1.49,2.38,,,,2.38,1.32,,,,1.32
chicken-thighs,Chicken Thighs / Drumsticks,lb,1.77,,,,1.77,1.5495,,,,1.5495,1.99,,,,1.99,1.9867,,,,1.9867,1.99,4.49,2026-08-19,2026-09-16,1.99,0.98,,,,0.98,0.984,,,,0.984
drain-cleaner,Drain Cleaner,floz,0.1559,,,,0.1559,,,,,,0.1434,,,,0.1434,0.1403,0.1247,2026-08-11,2026-09-10,0.1247,0.0936,,,,0.0936,0.0804,,,,0.0804,0.0428,0.2573,2026-08-31,2026-09-30,0.0428
almonds,Almonds,oz,0.7483,,,,0.7483,0.425,,,,0.425,0.5408,,,,0.5408,0.6244,0.5612,2026-08-27,2026-09-26,0.5612,0.6869,,,,0.6869,0.2871,,,,0.2871,0.3588,,,,0.3588
chocolate-milk,Chocolate Milk,floz,,,,,,0.0289,,,,0.0289,0.0312,,,,0.0312,0.0778,,,,0.0778,0.0327,,,,0.0327,0.0832,,,,0.0832,0.0244,,,,0.0244
pistachios,Pistachios,oz,,,,,,0.4056,,,,0.4056,0.4698,,,,0.4698,,,,,,0.4684,0.4579,2026-08-19,2026-09-16,0.4579,0.3538,,,,0.3538,0.4567,,,,0.4567
walnuts,Walnuts,oz,0.4994,,,,0.4994,0.3488,,,,0.3488,0.6988,,,,0.6988,0.6869,,,,0.6869,0.6247,,,,0.6247,0.265,,,,0.265,0.6212,,,,0.6212
teriyaki-sauce,Teriyaki Sauce / Marinade,floz,0.2376,,,,0.2376,,,,,,0.229,,,,0.229,0.2369,0.2181,2026-08-11,2026-09-10,0.2181,0.199,0.1856,2026-09-02,2026-09-23,0.1856,0.1738,,,,0.1738,0.1653,,,,0.1653
alfredo-sauce,Alfredo Sauce,oz,0.1544,,,,0.1544,0.1167,,,,0.1167,0.2056,,,,0.2056,0.2268,0.1814,2026-09-06,2026-10-06,0.1814,0.1244,,,,0.1244,0.1453,,,,0.1453,0.1127,0.3731,2026-08-25,2026-09-24,0.1127
disinfectant-spray,Disinfectant Spray,oz,0.6152,,,,0.6152,,,,,,0.5784,,,,0.5784,0.7192,,,,0.7192,0.2188,0.1996,2026-08-10,2026-10-05,0.1996,0.2737,,,,0.2737,0.2511,,,,0.2511
floor-cleaner,Floor Cleaner,floz,0.3196,,,,0.3196,,,,,,0.1639,,,,0.1639,0.1656,,,,0.1656,0.1666,0.1509,2026-08-10,2026-09-07,0.1509,0.0545,,,,0.0545,0.0778,,,,0.0778
raisins,Raisins,oz,0.266,,,,0.266,0.1995,,,,0.1995,0.2995,,,,0.2995,0.2745,0.2495,2026-08-11,2026-09-10,0.2495,0.2408,0.2817,2026-07-27,2026-09-21,0.2408,0.163,,,,0.163,0.2178,,,,0.2178
couscous,Couscous,oz,,,,,,,,,,,,,,,,,,,,,0.3392,,,,0.3392,0.1495,,,,0.1495,0.2355,,,,0.2355
rice-arborio,Arborio Risotto Rice,oz,,,,,,,,,,,,,,,,,,,,,0.1869,,,,0.1869,0.1662,,,,0.1662,0.2384,,,,0.2384
dish-soap,Dish Soap (liquid),floz,0.1121,,,,0.1121,0.0785,,,,0.0785,0.0888,,,,0.0888,0.1541,0.1024,2026-08-30,2026-09-29,0.1024,0.0711,,,,0.0711,0.088,,,,0.088,0.0619,0.149,2026-08-31,2026-09-30,0.0619
dishwasher-detergent,Dishwasher Detergent (pacs),each,0.1832,,,,0.1832,,,,,,0.2788,,,,0.2788,0.2556,0.2197,2026-08-30,2026-09-29,0.2197,0.2649,0.2499,2026-08-22,2026-09-23,0.2499,0.1236,,,,0.1236,0.1212,,,,0.1212
adobo-seasoning,Adobo seasoning,oz,,,,,,,,,,,0.3129,,,,0.3129,,,,,,0.3113,,,,0.3113,0.1332,,,,0.1332,0.3782,,,,0.3782
dried-guajillo-chiles,Dried Guajillo Chiles,oz,,,,,,,,,,,0.83,,,,0.83,,,,,,2.145,,,,2.145,0.4317,,,,0.4317,0.6033,,,,0.6033
dried-parsley,Parsley (dried),oz,3.9867,,,,3.9867,3.96,,,,3.96,5.58,,,,5.58,3.33,2.6633,2026-08-09,2026-09-08,2.6633,2.5,,,,2.5,2.0125,,,,2.0125,2.2667,,,,2.2667
air-freshener,Air Freshener,oz,0.2178,,,,0.2178,0.4247,,,,0.4247,0.3137,,,,0.3137,0.4096,0.2027,2026-08-09,2026-09-08,0.2027,0.2452,,,,0.2452,0.2463,,,,0.2463,0.2027,,,,0.2027
cinnamon-stick,Cinnamon Sticks,oz,,,,,,,,,,,1.33,,,,1.33,,,,,,4.3267,7.32,2026-08-19,2026-09-30,4.3267,1.0457,,,,1.0457,1.3338,,,,1.3338
glass-cleaner,Glass Cleaner,floz,0.1247,,,,0.1247,,,,,,0.0812,,,,0.0812,0.1244,0.0919,2026-08-11,2026-09-10,0.0919,0.1073,,,,0.1073,0.07,,,,0.07,0.0713,,,,0.0713
sandwich-bags,Sandwich Bags,each,0.034,,,,0.034,0.016,,,,0.016,0.0186,,,,0.0186,0.0596,0.0496,2026-08-11,2026-09-10,0.0496,0.0232,0.0444,2026-08-19,2026-09-09,0.0232,0.0168,,,,0.0168,0.0193,0.01,2026-08-31,2026-09-30,0.01
popsicles,Popsicles / Ice Pops,each,0.2483,,,,0.2483,0.2292,,,,0.2292,0.219,,,,0.219,0.4067,,,,0.4067,0.1495,0.5408,2026-09-02,2026-09-23,0.1495,0.1919,,,,0.1919,0.0825,,,,0.0825
refrigerated-biscuits,Refrigerated Biscuit Dough,oz,0.172,,,,0.172,0.1181,,,,0.1181,0.2141,,,,0.2141,0.2448,0.1834,2026-08-11,2026-09-10,0.1834,0.1244,,,,0.1244,0.1454,,,,0.1454,0.1087,,,,0.1087
mouthwash,Mouthwash,floz,0.1757,,,,0.1757,0.147,,,,0.147,0.0973,,,,0.0973,0.1476,0.1175,2026-08-09,2026-09-08,0.1175,0.0766,,,,0.0766,0.0787,,,,0.0787,0.0688,0.212,2026-08-31,2026-09-30,0.0688
sweet-potatoes,Sweet Potatoes,lb,1.49,,,,1.49,1.19,,,,1.19,1.79,,,,1.79,1.49,,,,1.49,1.33,,,,1.33,0.974,,,,0.974,1.48,,,,1.48
quart-storage-bags,Food Storage Bags (quart),each,,,,,,0.0438,,,,0.0438,0.0848,,,,0.0848,0.2495,0.1995,2026-08-09,2026-09-08,0.1995,0.0895,0.1041,2026-07-29,2026-09-09,0.0895,0.052,,,,0.052,0.0489,0.0796,2026-08-31,2026-09-30,0.0489
frozen-lasagna,Frozen Lasagna,oz,0.284,,,,0.284,0.1576,,,,0.1576,,,,,,0.1782,0.1639,2026-08-11,2026-09-10,0.1639,0.1532,,,,0.1532,0.156,,,,0.156,0.1652,,,,0.1652
block-cheese,Block Cheese,oz,0.2809,,,,0.2809,0.2188,,,,0.2188,0.2494,,,,0.2494,,,,,,0.2306,,,,0.2306,0.1762,,,,0.1762,0.2103,,,,0.2103
instant-coffee,Instant Coffee,oz,,,,,,0.6988,,,,0.6988,1.1326,,,,1.1326,1.3738,1.2488,2026-08-09,2026-09-08,1.2488,0.7129,0.9575,2026-07-16,2026-09-09,0.7129,0.83,,,,0.83,0.7067,,,,0.7067
hummus,Hummus,oz,0.3738,,,,0.3738,0.259,,,,0.259,0.449,,,,0.449,0.4362,0.3738,2026-08-11,2026-09-10,0.3738,0.2941,0.5408,2026-08-19,2026-09-16,0.2941,0.1395,,,,0.1395,0.287,,,,0.287
lemon-juice,Lemon Juice,floz,0.1247,,,,0.1247,0.0684,,,,0.0684,0.1247,,,,0.1247,0.1341,0.1138,,,0.1138,0.1028,,,,0.1028,0.0675,,,,0.0675,0.07,,,,0.07
egg-whites,Liquid Egg Whites,floz,0.23,,,,0.23,0.1497,,,,0.1497,,,,,,0.2497,0.215,2026-08-09,2026-09-08,0.215,0.2122,,,,0.2122,0.1585,,,,0.1585,0.1522,,,,0.1522
toasted-sesame-seeds,Sesame Seeds,oz,2.3506,,,,2.3506,,,,,,2.69,,,,2.69,0.6244,,,,0.6244,1.5354,,,,1.5354,0.438,,,,0.438,0.7789,,,,0.7789
