"ticket","why","commodity","store","board_item","board_per_unit","found_product","found_price","found_pack","ratio","note","verdict"
"1FEF6B7407","review-price","Syrup (pancake / maple)","Walmart","Great Value Original Syrup, 36 fl oz","0.0867","Country Kitchen Original Pancake Syrup, 36 fl oz Bottle","0.0789","$2.84 / 36 fl oz","0.910","Verified ONLINE_AND_STORE IN_STOCK. Beats Great Value Original Syrup 36 fl oz $3.12 = $0.0867/fl oz. This is pancake (table) syrup, NOT pure maple - if the commodity means real maple the cheapest is far higher. https://www.walmart.com/ip/Country-Kitchen-Original-Pancake-Syrup-36-fl-oz-Bottle/20918570",""
"EB74511E66","review-price","Sweetened Condensed Milk","Walmart","Great Value Fat Free Sweetened Condensed Milk, 14 oz","0.1593","Great Value Sweetened Condensed Milk, 14 oz","0.1764","$2.47 / 14 oz","1.107","CLOSE CALL: Great Value FAT FREE Sweetened Condensed Milk 14 oz is cheaper at $2.23 = $0.1593/oz. I chose the full-fat regular as the commodity since fat-free behaves differently in recipes; if the board accepts fat-free, the cheapest is $0.1593. Eagle Brand 14 oz $2.87 = $0.2050/oz. https://www.walmart.com/ip/Great-Value-Sweetened-Condensed-Milk-14-oz/10534165",""
"4F11034F3E","review-price","Tortilla Chips","Walmart","(3 pack) Great Value Bite Size Tortilla Chips, 32 oz","0.0834","Mama Lupe's White Corn Tortilla Chips, 10 Oz","0.1430","$1.43 / 10 oz","1.715","STORE_ONLY IN_STOCK. Near-tie with Great Value Restaurant Style Tortilla Chips Party Size 17 oz $2.44 = $0.1435/oz. EXCLUDED as online-only bundle: (3 pack) GV Bite Size Tortilla Chips 32 oz $8.01 = $0.0834/oz - no single 32 oz bag is listed at this store and $2.67/32oz contradicts the $2.67/18oz party-size shelf price. https://www.walmart.com/ip/Mama-Lupe-s-White-Corn-Tortilla-Chips-10-Oz/116676576",""
"92A019B19C","review-price","Asparagus","Walmart","Great Value Asparagus Cut Spears, 14.5 oz","2.8248","Marketside Fresh Asparagus Spears, 10 oz","6.3520","$3.97 / 0.625 lb","2.249","STORE_ONLY IN_STOCK. Cheapest FRESH asparagus with a stated weight. IMPORTANT: 'Fresh Green Whole Asparagus Bunch' is $2.97 and would likely be cheaper per lb, but Walmart publishes NO weight for it (no unit price, no weight field, nothing in the PDP payload) so I refuse to derive a per-lb price from it. Non-fresh forms are much cheaper: GV Asparagus Cut Spears 14.5 oz CANNED $2.56 = $2.8248/lb (drained weight unknown); GV Asparagus Spears 8 oz FROZEN $3.24 = $6.4800/lb. https://www.walmart.com/ip/Marketside-Fresh-Asparagus-Spears-10-oz/44391242",""
"5F4B6E79CC","review-price","Ranch Seasoning Mix (packet)","Walmart","Great Value Classic Ranch Salad Dressing & Recipe Mix, 8 oz Canister","0.4525","Great Value Classic Ranch Salad Dressing & Recipe Mix, 1 oz Packets, 4 Count","0.5300","$2.12 / 4 oz","1.171","Priced on the PACKET form because the commodity label says (packet). Verified ONLINE_AND_STORE IN_STOCK. If the board allows the bulk canister the cheapest is Great Value Classic Ranch Salad Dressing & Recipe Mix 8 oz Canister $3.62 = $0.4525/oz. Single 1 oz packet $0.58 = $0.5800/oz. Hidden Valley 8 oz $8.87 = $1.1100/oz. https://www.walmart.com/ip/Great-Value-Classic-Ranch-Salad-Dressing-Recipe-Mix-1-oz-Packets-4-Count/932968525",""
"1583949A8B","review-price","Paper Plates","Walmart","Great Value Seasonal Disposable Paper Plates, 10 in, 30 Count","0.0348","Great Value Uncoated Paper Plates, 9 in, 300 Count","0.0376","$11.27 / 300 ct","1.080","Basis = per plate. Cheapest single shelf pack; PDP confirms ONLINE_AND_STORE IN_STOCK, $3.76/100ct. EXCLUDED as online-only bundle: (6 pack) GV Economy 6 in Paper Plates 90 count $12.72 = $0.0236/plate - no single-pack listing of that item exists at this store. Also excluded GV Seasonal 10 in 30 Count $3.48: Walmart's unit price implies 100 ct but the NAME says 30 ct (derived-size conflict, name wins = $0.116/plate). https://www.walmart.com/ip/Great-Value-Uncoated-Paper-Plates-9-300ct/11303939",""
"48E8FFAE0E","review-price","Ramen Noodles","Walmart","Nissin Foods Cup Noodles Ramen Noodle Soup, Chicken Flavor, 2.25 oz Cup, Shelf-Stable, 6 Pack","0.4950","Maruchan Ramen Noodle Soup, Chicken Flavor Instant Noodles, 3 oz, pack of 12","0.3225","$3.87 / 12 ct","0.652","Basis = per 3 oz ramen pack. 12-count sleeve beats the single pack at $0.50 ea. Rate independently confirmed by the 24-ct ($7.74) and 48-ct ($15.48) listings, all $0.3225/pack. No Great Value ramen exists. WARNING for the pipeline: Walmart's unitPrice on the 24/48-ct listings is broken (quotes 0.9 c/oz, ~12x too low). https://www.walmart.com/ip/Maruchan-Ramen-Noodle-Chicken-Flavor-Soup-3-oz-12-Count-Shelf-Stable-Package/10450904",""
"AD60F99BF3","review-product","Corn Chips (Fritos class)","Aldi","Mexican Style Street Corn Chip Dippers","0.2043","Clancy's Corn Chips, 9.25 oz","0.2043","$1.89 / 9.25 oz","1.000","In-Store mode. Fritos-class corn chip. Clancy's Original Corn Chip Dippers 9.25 oz and Mexican Style Street Corn Chip Dippers 9.25 oz are the same $1.89 (exact tie). TORTILLA chips deliberately excluded as a different commodity even though Clancy's Gluten Free Nacho Cheese Tortilla Chips 9.25 oz $1.79 is nominally cheaper. URL: https://www.aldi.us/store/aldi/products/ (slug: clancy-s-corn-chips-9-25-oz)",""
"F53AF4332E","review-product","Tomatoes (fresh)","Aldi","Tomatoes Roma Per LB","0.9500","Sunset Brands Tomatoes On the Vine, 24 oz","1.9267","$2.89 / 1.5 lb (24 oz)","2.028","Mode confirmed In-Store (header reads ""In-Store - open 9am - 8pm"" + ""ALDI - OLA 42 - Omaha""; no Pickup/Delivery elements present, so this is the active mode not an open menu). Cheapest fresh tomato per lb. Fixed-weight package, NOT a by-weight estimate (product page carries no ""each (est.)"" and no ""$X / lb"" line). Runners-up: Beefsteak Tomatoes 1 lb $2.99 = $2.99/lb; Snacking Tomatoes on the Vine 1 lb $3.49; Gourmet Medley 12 oz $2.99 = $3.99/lb. No loose Roma or per-lb bulk tomato exists in this store's catalog (searched tomatoes / roma tomatoes / vine tomatoes). URL: https://www.aldi.us/store/aldi/products/16324902-sunset-tomatoes-on-the-vine-each",""
"DF293B6EE7","review-product","Vegetable / Vegetable Beef Soup (canned)","Baker's","Progresso Vegetable Classics Vegetable Canned Soup","0.1574","Kroger(R) Vegetable Beef Condensed Soup - 10.5 oz","0.1190","$1.25 / 10.5 oz","0.756","REGULAR price, no promo. Cheapest canned vegetable/vegetable beef soup at this store. Campbell's Condensed Vegetable Beef and Vegetarian Vegetable are both $1.99 / 10.5 oz = $0.1895/oz; Progresso/Campbell's Chunky vegetable soups run $2.99 / 18.5-19 oz = ~$0.1616/oz. Broths, stocks and Kroger Frozen Vegetable Soup Mix (a dry/frozen vegetable blend, not soup) were excluded per the commodity note. Priced on the can's as-sold net weight, not reconstituted volume. https://www.bakersplus.com/p/kroger-vegetable-beef-condensed-soup/0001111083710",""
"B4C7861F05","review-product","Nectarines","Baker's","California Yellow or White Nectarines","1.8800","Kroger(R) Nectarines 2 Pound Bag - 2 lb","2.9950","$5.99 / 2 lb","1.593","REGULAR price (no promo field). Kroger API locationId 61500319 = Baker's Saddlecreek, 888 S Saddle Creek Rd, Omaha NE. Cheapest per lb of the genuine nectarine SKUs. Loose Fresh Yellow/White Nectarine are $3.99/lb (soldBy=WEIGHT). Simple Truth Organic 2 lb bag ties at $5.99 but is organic. Organic Yellow Nectarine loose is $4.99/lb reg (a $2.99 promo was live and was NOT used). https://www.bakersplus.com/p/kroger-nectarines-2-pound-bag/0001111018177",""
"535132E556","review-product","Protein Bars","Family Fare","Builders Chocolatey Peanut Butter Protein Bars 6 Ea","2.1650","Our Family Protein Peanut Almond Dark Chocolate Chewy Bars 5 Ea","0.7980","$3.99 / 5 ea","0.369","Per-each basis: $3.99 box divided by 5 bars (Freshop servings_per_container=5, serving_size=1). Store private label; listed in dept protein_energy_meal_bars, Aisle 8. Next cheapest per bar was Kind Protein Bars Breakfast PB Banana Dark Chocolate 6 Ea $5.29 = $0.8817/bar. Single bars run $2.39-$3.69 each. https://www.shopfamilyfare.com/shop/health_beauty/adult_nutrition/protein_energy_meal_bars/our_family_protein_peanut_almond_dark_chocolate_chewy_bars_5_ea/p/7081195",""
"FAF111D7D4","review-product","Deodorant","Family Fare","Brut Antiperspirant & Deodorant, Classic 6 Oz","0.6650","Mennen Speed Stick Men's Deodorant, Regular 3 Oz","1.0633","$3.19 / 3 oz","1.599","Cheapest solid stick per oz with a stated ounce size, swept all 141 deodorant SKUs. Ties with Speed Stick Power Fresh 3 Oz, Power Sport 3 Oz and Ocean Surf 3 Oz, all $3.19. Excluded aerosols/dry sprays/body sprays and roll-ons per stick-only rule (e.g. Brut 6 oz $3.99 is aerosol). CAVEAT: twin packs Speed Stick Irish Spring 2 Ea $5.99 and Mennen Regular 2 Ea $5.99 could beat this if each stick is 3 oz ($0.9983/oz), but Freshop states no ounce size for them so I did not compute it. No Our Family/Full Circle deodorant is carried. https://www.shopfamilyfare.com/shop/health_beauty/grooming_hygiene/deodorant_personal_scents/mennen_speed_stick_men_s_deodorant_regular_3_oz/p/18155",""
"229CA0DA09","review-product","Frozen Pizza","Fareway","Jack's Original Thin Supreme Pizza Pepperoni Sausage Onion Pizza Frozen","3.3300","Totino's Party Pizza Pepperoni Thin Crust Frozen Pizza 10.2 oz","1.7900","$1.79 / 1 pizza","0.538","Cheapest frozen pizza on the site; all eight Totino's Party/Ultimate varieties are $1.79 each. No frozen pizza item priced under $1.79. Next: Jack's Thin Crust Pepperoni 15.4 oz $3.33. /store/fareway-meat-grocery/products/42556-totino-s-pepperoni-party-pizza-frozen-pizza-10-200-oz",""
"7EF91645E3","review-product","Shampoo","Hy-Vee","Dove Nutritive Solutions Intensive Repair Shampoo","0.4158","Suave Essentials Daily Clarifying Cleansing Shampoo 22.5 fl oz","0.0876","$1.97 / 22.5 fl oz","0.211","REGULAR price (price 1.97 = basePrice 1.97, onSale false). Two sibling SKUs tie exactly: Suave Ocean Breeze Refreshing Shampoo Family Size 22.5 fl oz $1.97 (id 4185468) and Suave Sun-Ripened Strawberry 22.5 fl oz $1.97 (id 4188655) - all verified regular. Next: Alberto VO5 15 fl oz $1.99 = 0.1327/floz. Excluded dry shampoos (sold by weight oz) and 2-in-1 shampoo+conditioner/body-wash combos. https://www.hy-vee.com/aisles-online/p/4185809",""
"3A39978065","review-product","Baked Beans","Hy-Vee","Hy-Vee Pork & Beans in Tomato Sauce","0.0556","Hy-Vee Original Baked Beans 28 oz","0.0757","$2.12 / 28 oz","1.362","REGULAR price (2.12 = basePrice, onSale false). Four Hy-Vee 28 oz baked-bean variants all price at $2.12 (Original 58078, Country Style 58081, Homestyle 24691, Maple Cured Bacon 24692, Brown Sugar Hickory 4113327) so 0.0757/oz is the store-brand floor. CLOSE CALL: Hy-Vee Pork & Beans in Tomato Sauce 16 oz $0.89 = 0.0556/oz (id 58076) and Van Camp's Pork and Beans 15 oz $1.08 = 0.0720/oz are cheaper, but pork-and-beans in tomato sauce is a distinct product from baked beans, so I excluded them. No That's Smart! baked bean SKU. https://www.hy-vee.com/aisles-online/p/58078",""
"30E86A5915","review-product","Beef Jerky","Sam's Club","Old trapper Hot & Spicy Beef Jerky, 18 oz.","1.1100","Jack Link's Original Beef Jerky, 16 oz.","1.0550","$16.88 / 16 oz","0.950","CLUB price with INSTANT SAVINGS: now $16.88, was $18.88, $2 off, limit 5, ends Sep 06. At regular $18.88 = $1.1800/oz, still the cheapest IN-CLUB jerky (Jack Link's Teriyaki 16 oz same price; Member's Mark Organic 12 oz $14.98 = $1.2483/oz). Old Trapper 18 oz $19.98 = $1.1100/oz is cheaper but is SHIPPING-ONLY at Omaha. Beef/meat STICKS run cheaper ($0.81-0.92/oz) but are a different product class. https://www.samsclub.com/ip/1708287772",""
"A6EA67F60F","review-product","Frozen Breakfast Sandwiches","Sam's Club","Jimmy Dean Sausage, Egg, and Cheese Croissant Sandwiches, Frozen, 12ct.","1.1650","Jimmy Dean Sweet Maple Griddle Cake Breakfast Sandwich, Frozen, 12 ct.","1.0517","$12.62 / 12 ct","0.903","12 count. CLUB price with INSTANT SAVINGS: now $12.62, was $14.87. Pickup shows OUT OF STOCK today (shipping not offered). At the regular $14.87 = $1.2392/ea, Jimmy Dean Sausage Egg & Cheese Croissant 12 ct $13.98 = $1.1650/ea would be cheaper (that one has no promo, also pickup out of stock). Member's Mark Uncured Ham & Swiss Croissant $12.36 = $1.54/ea. https://www.samsclub.com/ip/13597109671",""
"66C7E06E7E","review-product","Laundry Stain Remover","Sam's Club","Clorox 2 for Colors Max Performance Stain Remover, 4 in 1, 112.75 fl. oz.","0.1169","Shout Advanced Action Gel Laundry Stain Remover, 22 oz. Trigger & 60 oz. refill","0.1401","$11.49 / (22 + 60 = 82 fl oz)","1.198","Club price, pickup available, no promo. Cheaper on paper is Clorox 2 For Colors Stain Remover 112.75 fl oz $13.18 = $0.1169/floz BUT that item is SHIPPING-ONLY at Omaha (pickup Not available), so it is not an in-club price. OxiClean Odor Blasters is a powder ($1.63/lb) and has no floz basis. https://www.samsclub.com/ip/18338800077",""
"9E46708FB8","review-product","Energy Drinks","Sam's Club","NOS High Performance Energy Drink, 16 fl. oz., 24 pk.","0.0911","Alani Nu Energy Drink Variety Pack, 12 fl. oz., 18 pk.","0.0768","$16.58 / (18 x 12 fl oz = 216 fl oz)","0.843","CLUB price with INSTANT SAVINGS: now $16.58, was $22.58, $6 off, limit 10, ends Aug 16. At the regular $22.58 the per-floz is 0.1045 and V8 Energy Zero Sugar 8 fl oz 24 pk $14.98/192 floz = $0.0780 would be the cheaper in-club option (V8 pickup shows out of stock). NOS 16 oz 24 pk $34.98/384 = $0.0911, pickup available. https://www.samsclub.com/ip/19707820853",""
"0552EF9B43","review-product","Frozen Fruit / Berries","Sam's Club","Member's Mark Triple Berry Blend, Frozen, 64 oz.","0.1634","Member's Mark Organic Mango Chunks, Frozen, 4 lbs.","0.1306","$8.36 / (4 lbs = 64 oz)","0.799","Club price $8.36 ($2.09/lb), no promo, shipping not offered, PICKUP shows OUT OF STOCK today. CLOSE CALL: this is the ONLY frozen fruit product in the Omaha online catalog. Searched frozen fruit / frozen berries / frozen mixed berries / frozen berry blend / triple berry blend / frozen strawberries / wild blueberries frozen - every berry hit was FRESH produce (Blueberries 18 oz $7.23, Raspberries 12 oz $2.97, Organic Strawberries 2 lbs $5.76). If the board's commodity means frozen BERRIES specifically, Sam's Omaha appears not to carry one online. https://www.samsclub.com/ip/19335956734",""
"00F1235EB8","review-product","Italian Dressing","Sam's Club","Member's Mark Food Service Italian Dressing, 128 oz.","0.0741","Olive Garden Signature Italian Dressing, 24 oz., 2 pk.","0.1663","$7.98 / (2 x 24 fl oz = 48 fl oz)","2.244","Club price, pickup available, no promo. CLOSE CALL: Member's Mark Food Service Italian Dressing 128 fl oz $9.48 = $0.0741/floz and Wish-Bone Italian 36 oz 2 pk $7.98 = $0.1108/floz are both cheaper but BOTH are SHIPPING-ONLY at Omaha (Pickup Not available), so Olive Garden is the cheapest genuinely in-club Italian dressing. The MM Food Service SSR JSON also shows a $9.24 pickup price on an unavailable channel. https://www.samsclub.com/ip/7020083821",""
"803521DC0C","review-product","Brussels Sprouts","Walmart","Green Giant Season Brussel Sprout Intro","2.2080","Fresh Whole Brussels Sprouts 1lb Bag, Fresh Produce","3.0200","$3.02 / 1 lb","1.368","Verified ONLINE_AND_STORE IN_STOCK. Priced as FRESH produce because the unit is lb. If the board's row accepts frozen, Great Value Brussels Sprouts 12 oz Bag frozen is $1.52 = $2.0267/lb (verified STORE_ONLY IN_STOCK) and would be the cheapest qualifying item by a wide margin - flag this row for a basis check. Fresh organic 16 oz $4.27 = $4.2700/lb. https://www.walmart.com/ip/Fresh-Brussels-Sprouts-1-lb-Bag/51259385",""
"1B72DE95D6","review-product","Laundry Stain Remover","Walmart","Spray 'n Wash Pre-Treatment Laundry Stain Remover Solution Refill Bottle, 60oz","0.0862","Cloralen Liquid Laundry Stain Remover Detergent, 60.8 fl oz","0.0653","$3.97 / 60.8 fl oz","0.758","CLOSE CALL: name carries the word 'Detergent' - it is marketed as a laundry stain remover but may be adjudged a detergent rather than a pre-treat. PDP verified ONLINE_AND_STORE IN_STOCK at $3.97 / 6.5 c per fl oz. If the commodity is strictly a pre-treat spray, the store-brand answer is Great Value Laundry Stain Remover Spray 22 fl oz $2.24 = $0.1018/fl oz (verified in stock); OxiClean Refill 56 fl oz $5.68 = $0.1014/fl oz. https://www.walmart.com/ip/Cloralen-Liquid-Laundry-Stain-Remover-Detergent/21268941",""
"4830F4E339","review-product","Diced / Cubed Ham","Walmart","Farmland Diced Ham 16oz","0.3100","Farmland, Cooked Cubed Ham, 1 lb","0.3100","$4.96 / 16 oz","1.000","STORE_ONLY IN_STOCK. The cheaper Sugardale Cubed Hickory Smoked Ham 1 lb at $4.88 = $0.3050/oz is verified OUT_OF_STOCK at this store today, so I did not use it. Also John Morrell Diced Ham 8 oz $3.46 = $0.4325/oz; GV Smoked Diced Ham 5 oz can $1.72 = $0.3440/oz (canned). Sliced deli ham is cheaper still (FUD Sliced Cooked Ham 32 oz $9.98 = $0.3119/oz) but that is not diced/cubed ham. https://www.walmart.com/ip/Farmland-Cooked-Cubed-Ham-1-lb/10403361",""
"47EF9066FE","review-product","Dish Sponges","Walmart","Great Value Non-Scratch Scrub Sponges, 8 Count","0.4850","Great Value Heavy Duty Scrub Sponges, 8 Count","0.4850","$3.88 / 8 ct","1.000","Basis = per sponge. Exact tie with Brillo Basics Estracell Heavy Duty Scrub Sponges 2 Count $0.97 = $0.4850 ea. No cheaper plain-cellulose GV sponge exists at this store. https://www.walmart.com/ip/Great-Value-Heavy-Duty-Scrub-Sponges-8-Count/3342234359",""
"239EA18CC7","review-product","Muffins (bakery)","Walmart","Marketside Baked Blueberry Muffins, 14 oz, 9 Count (Shelf Stable)","0.5522","Freshness Guaranteed Blueberry Muffins, 12 oz, 12 Count","0.3725","$4.47 / 12 ct","0.675","Basis = per muffin. STORE_ONLY IN_STOCK (Walmart's in-store bakery brand). These are ~1 oz mini muffins. If the board means a JUMBO bakery muffin the basis differs sharply: Marketside Baked Blueberry Muffins 14 oz 9 Count $4.97 = $0.5522 ea; Marketside Blueberry Streusel 14 oz 4 Pack $4.46 = $1.1150 ea. https://www.walmart.com/ip/Freshness-Guaranteed-Blueberry-Muffin-12x12oz/18382403011",""
