"ticket","why","commodity","store","board_item","board_per_unit","found_product","found_price","found_pack","ratio","note","verdict"
"1436D3FA11","review-product","Russet Potatoes","Aldi","Russet Potato Bag 10 Lbs","0.4090","Russet Potatoes, 10 lb bag","0.4090","","1.000","10 lb $4.09 in-store (PDP unit line $0.03/oz); OLA 48 Omaha In-Store mode; card+PDP say OUT OF STOCK today but catalog price is live. Next cheapest russet: Farmer's Promise Baking Potatoes (Cal-Ore) 5 lb $3.19 = 0.638/lb, also OOS",""
"D9AE20B461","review-product","Almond Milk","Aldi","Friendly Farms Vanilla Almond Milk","0.0358","Friendly Farms Original Unsweetened Almondmilk, 64 fl oz","0.0358","","1.000","64 fl oz $2.29 in-store (PDP unit line $0.04/fl oz); all Friendly Farms 64 fl oz variants $2.29",""
"0F44D91FC3","review-product","Plums","Aldi","Plum Bag 2 Lbs","1.8950","Dayka & Hackett Plums, 2 lb bag","1.8950","","1.000","2 lb $3.79 in-store; only plum SKU carried",""
"57ED48BF5D","review-product","Cat Food (dry)","Aldi","Heart TO Tail Indoor Formula Premium Adult Cat Food 3.15 LB","1.1714","Heart To Tail Special Medley Dry Cat Food, 3.15 lb","1.1714","","1.000","3.15 lb $3.69 in-store; Indoor Formula 3.15 lb $3.69 ties; no larger bag carried at OLA 48",""
"1EFEF1909D","review-product","Sea salt","Aldi","Simply Nature Organic Sea Salt Pop Corn 6 OZ","0.5483","Stonemill Sea Salt Grinder, 3.53 oz","0.4504","","0.821","3.53 oz $1.59 in-store; only true SEA salt SKU at this store. Stonemill Iodized Salt 26 oz $0.79 is table salt, not sea salt, so excluded",""
"15EFB5EF5C","review-product","Oregano (dried)","Baker's","Kroger Oregano Leaves Shaker","1.6959","Tampico Oregano Ground, 1 oz","1.6900","","0.997","1 oz jar $1.69 = $1.69/oz; near-tie runner-up Kroger Oregano Leaves Shaker 1.94 oz $3.29 = $1.696/oz; Smart Way 0.63 oz $1.25 = $1.98/oz",""
"0D3315AAB0","review-product","Body Wash","Baker's","Suave Wild Cherry Blossom Body Wash","0.1828","Suave Essentials Body Wash (Cocoa Butter & Shea / Ocean Breeze / Milk & Honey), 18 fl oz","0.1828","","1.000","18 fl oz $3.29 = $0.1828/fl oz; Kroger Sensitive Skin 33.8 fl oz $6.49 = $0.192/fl oz. Excluded Kroger Soapy Safari kids 3-in-1 shampoo+conditioner+body wash 22.5 fl oz $2.99 = $0.133/fl oz as a combo product, not plain body wash",""
"591361F4AF","review-product","Lemonade","Family Fare","Minute Maid Lemonade 59 Oz","0.0422","Old Orchard Lemonade, Country Style 64 fl oz","0.0389","","0.922","64 fl oz $2.49 in-store = $0.0389/floz; next Minute Maid Lemonade 59 oz $2.49 = $0.0422; Riveridge Lemonade Shelf Stable 128 oz $6.99 = $0.0546; Our Family Lemonade w/ Pulp 52 oz $2.69 = $0.0517",""
"B08B4E7CA2","review-product","Cheddar cheese curds","Family Fare","Arthur Bay Mixed Cheese Curd","0.6242","Ellsworth Cooperative Creamery Ranch Cheddar Cheese Curds 5 oz (tie: Ellsworth Cheddar Garlic Cheese Curds 5 oz)","0.6980","","1.118","5 oz $3.49 in-store; these are the ONLY cheese curds in the Family Fare 6401 catalog and both are flavored cheddar curds - no plain cheddar curd listed",""
"23B93184C9","review-product","Shampoo","Fareway","Suave Ocean Breeze Refreshing Shampoo with Sea Algae Extract & Vitamin E, Cleanses, Softens & Shines For All Hair Types, 22.5 FL OZ","0.0876","Suave Daily Clarifying Cleansing Shampoo, 22.5 fl oz","0.0876","","1.000","22.5 fl oz $1.97 in-store (reg $2.49 = 0.1107/floz, 21% off). Cheapest per fl oz of 9 shampoos the search returned; next = TRESemme 28 fl oz $5.97 = 0.2132. In-store mode.",""
"79E4D6DAC2","review-product","Broccoli (fresh)","Hy-Vee","Hy Vee Chopped Broccoli","1.8533","Broccoli Florettes (fresh, sold by lb, id 8801)","2.6900","","1.451","sold by weight $2.69/lb; store price API storeId 1465 price=2.69 soldBy=LB. Fresh Broccoli Crowns (id 93513) $2.99/lb (was $3.99/lb)",""
"A37CC65388","review-product","Fruit Cups","Sam's Club","Member's Mark Diced Peach Cups, 4 oz., 24 ct.","0.4575","Summer Is Inside Organic Diced Peaches in Fruit Juice, 4 oz., 24 pk.","0.2463","","0.538","24 ct $5.91; site $0.25/ea. Odd price ending suggests a markdown. Next cheapest true fruit cup: Orchard Natural Cherry Mixed Fruit in Juice 4 oz 24 ct $9.98 = $0.4158/ea; Member's Mark Diced Peach Cups 4 oz 24 ct $10.98 = $0.4575/ea",""
"C7F8443776","review-product","Grape Juice","Walmart","Great Value Zero Sugar Cranberry Grape Juice, 64 fl oz","0.0397","Welch's 100% Grape Juice, Concord Grape, 96 fl oz Bottle","0.0726","","1.829","96 fl oz $6.97; PDP 7.3c/fl oz; 64 fl oz $4.98 = 0.078. Hawaiian Punch 1 gal $3.22 = 0.025 is a juice DRINK, not grape juice - excluded",""
"833EF9A3A4","review-product","Frozen Meatballs","Walmart","Banquet MEGA Bowls Dynamite Penne with Meatballs, 24g Protein, Frozen Meal, 14 oz.","0.2129","Great Value Italian Style Meatballs, Family Size, 80 oz (Frozen)","0.2340","","1.099","80 oz bag $18.72; PDP 23.4c/oz; next: GV Homestyle 48 oz $11.47 = 0.239",""
"86ACAC8BF5","review-product","Pita Bread","Walmart","Joseph's White Greek Style Pocketless Pita 4 Count 14 oz","0.8700","Josephs Low Net Carb Flax Pita Bread, 1 Pack, 6 Count","0.5450","","0.626","6 count 8 oz $3.27 = $0.545 each; next Joseph's White Greek Pocketless 4 ct $3.48 = 0.87 ea",""
"7ECA2BB2D4","review-product","Canned Coconut Milk","Walmart","(6 pack) Mae Ploy Coconut Milk, 19 fl oz","0.1358","Imperial Dragon Coconut Milk, 13.5 fl oz","0.1570","","1.156","13.5 fl oz can $2.12; PDP 15.7c/fl oz; cheaper only as bundles: Savia 2-pk 13.5 oz $3.96 = 0.147, GV 4-pk $9.28 = 0.172",""
"376624730E","review-product","Croissants","Walmart","Marketside All Butter Baked Mini Croissants, 10.9 oz, 11 Count","0.4527","Freshness Guaranteed Mini Croissants, 10 oz, 12 Count","0.3320","","0.733","12 ct 10 oz $3.98 = $0.332 each; cheapest WHOLE croissant is Marketside All Butter 9.5 oz 6 ct $4.98 = 0.83 ea",""
"1A4E8F4398","review-product","Chinese Five Spice","Walmart","Spice Supreme oriental five spices, 3.5-oz. plastic shaker","0.2790","McCormick Gourmet Kosher Chinese Five Spice Blend, 1.75 oz","4.7940","","17.183","1.75 oz $8.39; PDP $4.79/oz; seller Walmart.com. Cheaper Frontier Co-op 1.92 oz $4.38 is a 3rd-party marketplace seller (K Boone Enterprise), excluded",""
"1056FB538F","review-product","Toaster Pastries","Walmart","Great Value Frosted Chocolate Fudge Toasted Pastries, 20.3 oz, 12 Count","0.1692","Great Value Frosted Cherry Toaster Pastries, 20.3 oz, 12 Count","0.1692","","1.000","12 ct $2.03 = $0.169 each; GV 6 ct 10.1 oz $1.16 = 0.193 ea; Pop-Tarts 16 ct $4.97 = 0.311 ea",""
