canned-corn | Canned Corn | Family Fare | Green Giant Whole Kernal Sweet Corn | 0.1305/oz
celery | Celery | Walmart | Fresh Whole Celery Stalk | 2.37/each
celery | Celery | Family Fare | Fresh Celery | 2.49/each
celery | Celery | Baker's | Sleeved Celery | 2.59/each
charcoal | Charcoal Briquets | Walmart | Kingsford Original Charcoal Briquettes | 0.6825/lb
charcoal | Charcoal Briquets | Hy-Vee | Hy-Vee Charcoal Briquets | 0.7779/lb
charcoal | Charcoal Briquets | Fareway | Kingsford Original Charcoal Briquettes, BBQ Charcoal for Grilling | 0.9925/lb
cheese-crackers | Cheese Crackers | Aldi | Savoritz Family Size Cheese Crackers | 0.1805/oz
cheese-crackers | Cheese Crackers | Walmart | Great Value Cheese Crackers | 0.2029/oz
cheese-crackers | Cheese Crackers | Hy-Vee | Family Size Cheez-It, Club, Toasted or Town House crackers, 12 to 21 oz., $4.99 | 0.2376/oz
cheese-crackers | Cheese Crackers | Fareway | Stauffers Whales Baked Cheddar Cheese Crackers | 0.2543/oz
cheese-crackers | Cheese Crackers | Family Fare | Cheez It Cheese Crackers, Original 12.4 Oz | 0.3379/oz
cherries | Cherries (fresh) | Aldi | Red Cherries, Bag | 2.49/lb
cherries | Cherries (fresh) | Walmart | Fresh Red Cherries | 2.5/lb
cherries | Cherries (fresh) | Hy-Vee | Fresh Red Cherries | 3.99/lb
cherries | Cherries (fresh) | Baker's | Fresh Red Cherries in Bag | 3.99/lb
cherries | Cherries (fresh) | Fareway | Red Cherries | 4.99/lb
chicken-broth | Chicken Broth / Stock | Aldi | Chef's Cupboard Chicken Broth | 0.0391/floz
chicken-broth | Chicken Broth / Stock | Walmart | Great Value Chicken Broth Carton | 0.0469/floz
chicken-broth | Chicken Broth / Stock | Baker's | Kroger 99% Fat Free Chicken Broth | 0.0497/floz
chicken-broth | Chicken Broth / Stock | Family Fare | Our Family Reduced Sodium Chicken Broth 32 Fl Oz | 0.0528/floz
chicken-broth | Chicken Broth / Stock | Fareway | Fareway Fat Free Chicken Broth | 0.0575/floz
chicken-broth | Chicken Broth / Stock | Hy-Vee | Hy-Vee Chicken Broth, Fat Free, Gluten Free | 0.0622/floz
chicken-noodle-soup | Chicken Noodle Soup (canned) | Aldi | Chef's Cupboard Chunky Chicken Noodle Soup | 0.0909/oz
chicken-noodle-soup | Chicken Noodle Soup (canned) | Fareway | Fareway Condensed Chicken Noodle Soup | 0.0933/oz
chicken-noodle-soup | Chicken Noodle Soup (canned) | Walmart | Campbell's Condensed Chicken Noodle Soup | 0.1191/oz
chicken-noodle-soup | Chicken Noodle Soup (canned) | Hy-Vee | Campbell's Condensed Chicken Noodle Soup, 10.75 oz Can | 0.1191/oz
chicken-thighs | Chicken Thighs / Drumsticks | Aldi | Kirkwood Family Pack Bone-In Chicken Thighs, per lb | 1.55/lb
chicken-thighs | Chicken Thighs / Drumsticks | Walmart | Tyson Fresh Chicken Thighs, Family Pack (bone-in) | 1.77/lb
chicken-thighs | Chicken Thighs / Drumsticks | Hy-Vee | Fresh chicken drumsticks or thighs, 100% natural, value pack No antibiotics ever., $1.77 lb. | 1.77/lb
chicken-thighs | Chicken Thighs / Drumsticks | Baker's | Heritage Farm Bone In Skin On Chicken Thighs | 1.99/lb
chicken-thighs | Chicken Thighs / Drumsticks | Fareway | Bone-In Chicken Thighs | 1.99/lb
chicken-thighs | Chicken Thighs / Drumsticks | Family Fare | Chicken Thighs, Family Pack Gold N Plump | 1.99/lb
chicken-wings | Chicken Wings | Baker's | Heritage Farm Bone In Skin On Chicken Wings | 2.29/lb
chicken-wings | Chicken Wings | Aldi | Kirkwood Family Pack Chicken Wings | 2.49/lb
chicken-wings | Chicken Wings | Walmart | Tyson All Natural Fresh Chicken Wings Family Pack | 2.64/lb
chicken-wings | Chicken Wings | Fareway | Fresh Cut Chicken Wings | 2.99/lb
chicken-wings | Chicken Wings | Hy-Vee | Fresh chicken wings, FUEL SAVER EARN 3¢ OFF PER GALLON, $3.99 lb. | 3.99/lb
chickpeas | Chickpeas / Garbanzo Beans (canned) | Aldi | Dakota's Pride Garbanzo Beans | 0.0548/oz
chickpeas | Chickpeas / Garbanzo Beans (canned) | Walmart | Great Value Garbanzos Chick Peas, 15.5 oz | 0.0555/oz
chickpeas | Chickpeas / Garbanzo Beans (canned) | Family Fare | Our Family Beans, Garbanzo 15.5 Oz | 0.0639/oz
chickpeas | Chickpeas / Garbanzo Beans (canned) | Baker's | Kroger Garbanzo Beans 15.5 oz | 0.0645/oz
chickpeas | Chickpeas / Garbanzo Beans (canned) | Hy-Vee | Hy-Vee Garbanzo Beans | 0.066/oz
chickpeas | Chickpeas / Garbanzo Beans (canned) | Sam's Club | Bush's Best Fancy Garbanzo Beans 16 oz., 6 pk. | 0.0665/oz
chickpeas | Chickpeas / Garbanzo Beans (canned) | Fareway | Bush's Best Reduced Sodium Chick Peas 16 oz | 0.1056/oz
chili-powder | Chili Powder | Walmart | Great Value Chili Powder, 3 oz | 0.36/oz
chili-powder | Chili Powder | Aldi | Stonemill Chili Powder 2.5 oz | 0.396/oz
chili-powder | Chili Powder | Hy-Vee | That's Smart Chili Powder 2.75 oz | 0.4545/oz
chili-powder | Chili Powder | Sam's Club | Member's Mark Chili Powder, 20 oz. | 0.499/oz
chili-powder | Chili Powder | Family Fare | That's Smart Spices Chili Powder Seasoning | 0.6145/oz
chili-powder | Chili Powder | Baker's | Smart Way Chili Powder | 0.6313/oz
chili-powder | Chili Powder | Fareway | Badia Spices Chili Powder 2.5 oz | 0.996/oz
chocolate-chips | Chocolate Chips | Aldi | Baker's Corner Semi Sweet Chocolate Morsels | 0.3042/oz
chocolate-chips | Chocolate Chips | Fareway | Fareway Semi-Sweet Real Chocolate Chips | 0.31/oz
chocolate-chips | Chocolate Chips | Walmart | Great Value Semi-Sweet Chocolate Baking Chips | 0.3217/oz
chocolate-chips | Chocolate Chips | Hy-Vee | Hershey's Kitchens Semi-Sweet Chocolate Chips | 0.385/oz
chocolate-milk | Chocolate Milk | Aldi | Friendly Farms Chocolate Milk | 0.0302/floz
chocolate-milk | Chocolate Milk | Walmart | Great Value 1% Low-Fat Chocolate Milk | 0.0303/floz
chocolate-milk | Chocolate Milk | Hy-Vee | Hiland Premium Chocolate Milk, Pint, 16 Fl Oz | 0.0781/floz
chocolate-milk | Chocolate Milk | Fareway | Hiland Dairy Chocolate Milk | 0.0988/floz
chuck-roast | Chuck Roast | Walmart | Chuck Roast Choice Angus Beef | 7.97/lb
chuck-roast | Chuck Roast | Baker's | Choice Beef Chuck Roast | 7.99/lb
chuck-roast | Chuck Roast | Aldi | USDA Choice Black Angus Chuck Roast | 7.99/lb
chuck-roast | Chuck Roast | Fareway | USDA Choice Boneless Chuck Roast | 8.99/lb
chuck-roast | Chuck Roast | Hy-Vee | Hy-Vee Choice Reserve Boneless Chuck Roast | 8.99/lb
chuck-roast | Chuck Roast | Family Fare | Fresh Beef Chuck Roast, Boneless | 10.99/lb
cilantro | Cilantro (bunch) | Aldi | Cilantro, Package | 0.89/each
cilantro | Cilantro (bunch) | Hy-Vee | Cilantro | 0.99/each
cilantro | Cilantro (bunch) | Baker's | Cilantro | 0.99/each
cilantro | Cilantro (bunch) | Fareway | Cilantro | 1.49/each
cilantro | Cilantro (bunch) | Walmart | Fresh Cut Cilantro Clamshell | 1.78/each
clementines | Clementines / Mandarins | Aldi | Mandarins | 0.9967/lb
clementines | Clementines / Mandarins | Walmart | Fresh Mandarin Oranges | 1.59/lb
clementines | Clementines / Mandarins | Baker's | Seedless Mandarin Clementine Oranges in 3-Pound Bag | 1.6633/lb
clementines | Clementines / Mandarins | Hy-Vee | Kings River Poppies Mandarins | 1.6633/lb
clementines | Clementines / Mandarins | Fareway | Mandarin Clementine | 1.9967/lb
cocoa-powder | Cocoa Powder (baking) | Walmart | Great Value Baking Unsweetened Cocoa Powder | 0.5825/oz
cocoa-powder | Cocoa Powder (baking) | Fareway | Toll House Baking Cocoa | 0.685/oz
cocoa-powder | Cocoa Powder (baking) | Hy-Vee | Hy-Vee Baking Cocoa | 0.6862/oz
coconut-oil | Coconut Oil | Walmart | LouAna 100% Pure Coconut Oil | 0.37/oz
coconut-oil | Coconut Oil | Aldi | Simply Nature Organic Coconut Oil | 0.3707/oz
coconut-oil | Coconut Oil | Hy-Vee | Hy-Vee Virgin Coconut Oil | 0.6421/oz
cod | Cod Fillets | Hy-Vee | Cape Cod chips, 6.5 to 8 oz., $2.99 ea. with purchase of 2 | 5.98/lb
cod | Cod Fillets | Aldi | Fremont Fish Market Value Pack Cod Fillets | 7.625/lb
cod | Cod Fillets | Baker's | Kroger Wild Caught Pacific Cod Fillets Frozen | 9.495/lb
cod | Cod Fillets | Fareway | Supreme Choice Cod, Boneless, Fillets | 10.99/lb
cod | Cod Fillets | Walmart | Marketside Skinless Wild Caught Cod Fillet | 13.97/lb
coffee | Coffee (ground/beans) | Aldi | Beaumont Classic Roast Coffee | 0.403/oz
coffee | Coffee (ground/beans) | Fareway | Fareway Coffee, Ground, Classic Roast, Medium Roast Style | 0.4243/oz
coffee | Coffee (ground/beans) | Hy-Vee | Maxwell House or Yuban coffee, 23.1 to 27.9 oz., $11.98 | 0.4294/oz
coffee | Coffee (ground/beans) | Walmart | Folgers Classic Roast Ground Coffee | 0.44/oz
coffee | Coffee (ground/beans) | Baker's | Kroger Original Medium Roast Ground Coffee | 0.4997/oz
coffee | Coffee (ground/beans) | Family Fare | Folgers Med Dark Gourmet Supreme Ground Coffee 9.6 Oz | 1.0406/oz
coffee-creamer | Coffee Creamer | Aldi | Barissimo French Vanilla Coffee Creamer | 0.0841/floz
coffee-creamer | Coffee Creamer | Walmart | Great Value French Vanilla Coffee Creamer | 0.0888/floz
coffee-creamer | Coffee Creamer | Fareway | International Delight Caramel Macchiato Coffee Creamer, Refrigerated Flavored Creamer, Lactose Free and Gluten Free, 32 fl oz Bottle | 0.1212/floz
coffee-creamer | Coffee Creamer | Hy-Vee | Coffee mate Cafe Mocha Flavored Coffee Creamer, Non-Dairy, Gluten-Free, 32 Servings | 0.2181/floz
coffee-pods | Coffee Pods (K-Cups) | Aldi | Barissimo Donut Store Blend Coffee Cups | 0.3125/each
coffee-pods | Coffee Pods (K-Cups) | Walmart | Great Value Donut Shop Medium Roast Coffee Pods | 0.3431/each
coffee-pods | Coffee Pods (K-Cups) | Hy-Vee | Dunkin' Donuts Original Blend K-Cup 10 Count | 0.949/each
coffee-pods | Coffee Pods (K-Cups) | Fareway | Caribou Coffee Caribou Blend Medium Roast Coffee K-Cup Pods | 0.999/each
cookies | Cookies (packaged) | Fareway | Fareway Chocolate Chip Cookies | 0.1658/oz
cookies | Cookies (packaged) | Aldi | Benton's Chocolate Chip Cookies | 0.1992/oz
cookies | Cookies (packaged) | Hy-Vee | CHIPS AHOY! Original Chocolate Chip Cookies 13 oz | 0.2692/oz
cookies | Cookies (packaged) | Walmart | Chips Ahoy Original Chocolate Chip Cookies | 0.2977/oz
cookies | Cookies (packaged) | Family Fare | Chips Ahoy! Original Cookies 18.2 Oz | 0.3016/oz
cooking-spray | Cooking Spray | Aldi | Carlini Canola Cooking Spray | 0.3113/oz
cooking-spray | Cooking Spray | Walmart | Great Value Original Cooking Spray | 0.315/oz
cooking-spray | Cooking Spray | Hy-Vee | Hy-Vee cooking spray, 8 oz., $3.29 | 0.4112/oz
cooking-spray | Cooking Spray | Fareway | Fareway Non-Stick Canola Oil Cooking Spray | 0.4362/oz
cooking-spray | Cooking Spray | Family Fare | Pam Avocado Oil Non Gmo Cooking Spray 5 Oz | 1.198/oz
corn-dogs | Corn Dogs (frozen) | Walmart | State Fair Classic Corn Dogs | 0.8067/each
corn-dogs | Corn Dogs (frozen) | Fareway | State Fair Fully Cooked Classic Corn Dogs, Frozen, 6 Count | 0.8317/each
corn-dogs | Corn Dogs (frozen) | Hy-Vee | State Fair Classic Corn Dogs 6 Ct | 0.8317/each
cornstarch | Cornstarch | Aldi | Baker's Corner Corn Starch | 0.1181/oz
cornstarch | Cornstarch | Walmart | Great Value Corn Starch, 16 oz | 0.12/oz
cornstarch | Cornstarch | Baker's | Maizena Corn Starch 14.1 oz | 0.1411/oz
cornstarch | Cornstarch | Fareway | Fareway 100% Pure Corn Starch 16 oz | 0.1556/oz
cornstarch | Cornstarch | Hy-Vee | Hy-Vee 100% Corn Starch | 0.1556/oz
cornstarch | Cornstarch | Family Fare | 100% Pure Corn Starch Our Family | 0.1681/oz
cornstarch | Cornstarch | Sam's Club | Clabber Girl Corn Starch, 16 oz., 2 pk. | 0.2025/oz
cottage-cheese | Cottage Cheese | Aldi | Friendly Farms Cottage Cheese | 0.1188/oz
cottage-cheese | Cottage Cheese | Walmart | Great Value 4% Small Curd Cottage Cheese | 0.1196/oz
cottage-cheese | Cottage Cheese | Baker's | Kroger 4% Milkfat Small Curd Cottage Cheese | 0.1206/oz
cottage-cheese | Cottage Cheese | Hy-Vee | That's Smart! Small Curd Cottage Cheese | 0.1325/oz
cottage-cheese | Cottage Cheese | Family Fare | Our Family Cottage Cheese, Large Curd, 4% Milkfat Minimum 24 Oz | 0.1538/oz
cottage-cheese | Cottage Cheese | Fareway | Fareway Cottage Cheese, Small Curd | 0.1662/oz
cotton-swabs | Cotton Swabs | Aldi | Welby Cotton Swabs | 0.0043/each
cotton-swabs | Cotton Swabs | Walmart | Equate 100% Pure Cotton Swabs | 0.0044/each
cotton-swabs | Cotton Swabs | Hy-Vee | Q-tips Cotton Swabs Vanity Tub | 0.0133/each
cotton-swabs | Cotton Swabs | Fareway | Q-tips Cotton Swabs | 0.0146/each
crackers | Crackers (saltine/buttery) | Aldi | Savoritz Saltine Crackers | 0.1156/oz
crackers | Crackers (saltine/buttery) | Walmart | Great Value Saltine Crackers | 0.1175/oz
crackers | Crackers (saltine/buttery) | Hy-Vee | That's Smart! Saltine Crackers | 0.1175/oz
crackers | Crackers (saltine/buttery) | Fareway | Fareway Saltines Crackers | 0.1244/oz
crackers | Crackers (saltine/buttery) | Family Fare | Our Family Unsalted Tops Saltine Crackers 16 Oz | 0.1556/oz
cranberry-juice | Cranberry Juice | Walmart | Great Value Cranberry Juice Cocktail | 0.0464/floz
cranberry-juice | Cranberry Juice | Fareway | Fareway Cranberry Juice Cocktail | 0.0466/floz
cranberry-juice | Cranberry Juice | Aldi | Nature's Nectar Cranberry 100% Juice | 0.0508/floz
cranberry-juice | Cranberry Juice | Hy-Vee | Ocean Spray Cranberry Juice Cocktail | 0.0545/floz
cream-cheese | Cream Cheese | Walmart | Great Value Cream Cheese Brick (2 pk) | 0.1856/oz
cream-cheese | Cream Cheese | Aldi | Happy Farms Cream Cheese | 0.1862/oz
cream-cheese | Cream Cheese | Baker's | Kroger Original Cream Cheese (2 ct / 8 oz each) | 0.2056/oz
cream-cheese | Cream Cheese | Fareway | Fareway Cream Cheese, Original | 0.2488/oz
cream-cheese | Cream Cheese | Family Fare | Cream Cheese Spread, Soft Our Family | 0.2908/oz
cream-cheese | Cream Cheese | Hy-Vee | Hy-Vee Cream Cheese | 0.3113/oz
cream-of-chicken-soup | Cream of Chicken Soup | Hy-Vee | That's Smart! Cream of Chicken Condensed Soup | 0.0667/oz
cream-of-chicken-soup | Cream of Chicken Soup | Aldi | Chef's Cupboard Condensed Cream of Chicken Soup | 0.0695/oz
cream-of-chicken-soup | Cream of Chicken Soup | Walmart | Great Value Cream of Chicken Condensed Soup | 0.0705/oz
cream-of-chicken-soup | Cream of Chicken Soup | Fareway | Fareway Condensed Cream of Chicken Soup | 0.0933/oz
cream-of-mushroom-soup | Cream of Mushroom Soup | Hy-Vee | That's Smart! Cream of Mushroom Condensed Soup | 0.0667/oz
cream-of-mushroom-soup | Cream of Mushroom Soup | Aldi | Chef's Cupboard Condensed Cream of Mushroom Soup | 0.0695/oz
cream-of-mushroom-soup | Cream of Mushroom Soup | Walmart | Great Value Cream of Mushroom Condensed Soup | 0.0705/oz
cream-of-mushroom-soup | Cream of Mushroom Soup | Fareway | Fareway Condensed Cream of Mushroom Soup | 0.0933/oz
croissants | Croissants | Aldi | Bake Shop Large Croissants | 0.465/each
croissants | Croissants | Hy-Vee | Croissants 6 Count | 0.9983/each
croissants | Croissants | Walmart | Marketside All Butter Whole Croissants | 1.245/each
croissants | Croissants | Fareway | Bakery Fresh Croissants | 1.6633/each
crushed-tomatoes | Crushed Tomatoes (canned) | Aldi | Happy Harvest Crushed Tomatoes | 0.0532/oz
crushed-tomatoes | Crushed Tomatoes (canned) | Sam's Club | Tuttorosso Crushed Tomatoes with Basil, 28 oz., 8 pk. | 0.0535/oz
crushed-tomatoes | Crushed Tomatoes (canned) | Walmart | Great Value Crushed Tomatoes with Puree, 28 oz | 0.0543/oz
crushed-tomatoes | Crushed Tomatoes (canned) | Family Fare | Our Family Crushed Tomatoes | 0.066/oz
crushed-tomatoes | Crushed Tomatoes (canned) | Baker's | Kroger Crushed Tomatoes in Puree 28 oz | 0.0675/oz
crushed-tomatoes | Crushed Tomatoes (canned) | Hy-Vee | Hy-Vee Crushed Tomatoes in Puree | 0.0711/oz
crushed-tomatoes | Crushed Tomatoes (canned) | Fareway | Fareway Crushed Tomatoes in Puree 28 oz | 0.0889/oz
cucumbers | Cucumbers | Aldi | Cucumber | 0.65/each
cucumbers | Cucumbers | Walmart | Fresh Cucumber | 0.76/each
cucumbers | Cucumbers | Baker's | Cucumber | 0.89/each
cucumbers | Cucumbers | Hy-Vee | Cucumber | 0.99/each
cucumbers | Cucumbers | Fareway | Cucumber | 1.17/each
cucumbers | Cucumbers | Family Fare | Sunset Mini Cucumbers Bag | 2.5/each
deodorant | Deodorant | Fareway | Suave Invisible Solid Powder Antiperspirant Deodorant | 1.3423/oz
deodorant | Deodorant | Aldi | Old Spice Pure Sport Deodorant | 1.3533/oz
deodorant | Deodorant | Walmart | Suave 48hr Protection Antiperspirant Deodorant | 1.65/oz
deodorant | Deodorant | Hy-Vee | Secret Invisible Solid Antiperspirant and Deodorant, Powder Fresh, 2.6 oz | 1.9192/oz
diapers | Diapers | Walmart | Parent's Choice Dry & Gentle Diapers Size 4 | 0.1426/each
diapers | Diapers | Aldi | Little Journey Club Pack Diapers Size 4 | 0.1499/each
diapers | Diapers | Hy-Vee | Luvs Platinum Protection Diapers, Bluey, Size 4 (22-37-Pound) | 0.2668/each
diapers | Diapers | Fareway | Luvs Platinum Protection Baby Diapers, Size 5 | 0.3112/each
dinner-rolls | Dinner Rolls | Aldi | L'oven Fresh Hawaiian Sweet Rolls | 0.2042/each
dinner-rolls | Dinner Rolls | Walmart | Great Value Sweet Hawaiian Rolls | 0.2233/each
dinner-rolls | Dinner Rolls | Fareway | King's Hawaiian Original Hawaiian Sweet Rolls | 0.4158/each
dinner-rolls | Dinner Rolls | Hy-Vee | King's Hawaiian Original Hawaiian Sweet Rolls 12Ct | 0.4158/each
dish-soap | Dish Soap (liquid) | Aldi | Power Force Original Blue Dishwashing Liquid | 0.0871/floz
dish-soap | Dish Soap (liquid) | Fareway | Bright Essentials Original Scent Dish Soap | 0.1024/floz
dish-soap | Dish Soap (liquid) | Baker's | Ajax Ultra Triple Action Orange Scent Liquid Dish Soap | 0.1121/floz
dish-soap | Dish Soap (liquid) | Hy-Vee | Simply Done Fresh Scent Dish Soap | 0.1387/floz
dish-soap | Dish Soap (liquid) | Walmart | Dawn Ultra Dishwashing Liquid Original | 0.1633/floz
sponges | Dish Sponges | Aldi | Power Force Non Scratch Scrub Sponges | 0.53/each
sponges | Dish Sponges | Walmart | Great Value Non-Scratch Scrub Sponges | 0.545/each
sponges | Dish Sponges | Fareway | Scotch-Brite Ocelo Handy Sponge, Assorted Colors | 0.62/each
sponges | Dish Sponges | Hy-Vee | Hy-Vee Heavy Duty Scrubber Sponges | 0.9967/each
dishwasher-detergent | Dishwasher Detergent (pacs) | Fareway | Bright Essentials Dishwasher Pacs, Fresh Scent, Triple Action | 0.147/each
dishwasher-detergent | Dishwasher Detergent (pacs) | Hy-Vee | Hy-Vee dishwasher detergent, 60 ct., $9.99 | 0.1665/each
dishwasher-detergent | Dishwasher Detergent (pacs) | Aldi | Power Force Triple Chamber Dishwasher Pacs | 0.1883/each
