# BLIND verification worklist for the 2026-08-06 board. Fill in verdict/found_product/found_price.
# verdict must be one of: ok | wrong-product | wrong-price | wrong-size | missing | unverifiable
#   ok            the board names the cheapest qualifying product at this store and its price is right
#   wrong-product the product on the board is not this commodity at all (the cat-food-as-salmon class)
#   wrong-price   right product, wrong number
#   wrong-size    right product, but the size/pack basis makes the per-unit wrong
#   missing       the store does not sell this commodity at all
#   unverifiable  bot wall, sign-in wall, or the store site would not answer. NOT a defect and NOT a pass;
#                 these are dropped from the denominator and reported separately.
# DO NOT open out\verification-sample-2026-08-06.json until every verdict is filled in.
ticket,seq,commodity,unit,store,verdict,found_product,found_price,note
"2DC75D1078",24,"Grapes","lb","Fareway",,,,
"C4CD858D8B",25,"Garden Salad Blend (bagged)","oz","Walmart",,,,
"2EFCB3323A",26,"Crackers (saltine/buttery)","oz","Aldi",,,,
"4113C1AC41",27,"Chuck Roast","lb","Hy-Vee",,,,
"029E045316",28,"Turkey Bacon","oz","Aldi",,,,
"C0E1E9A751",29,"Tilapia Fillets","lb","Walmart",,,,
"178D4E8676",30,"Tahini (Sesame Paste)","oz","Walmart",,,,
"8CA0395B67",31,"Instant Mashed Potatoes","oz","Hy-Vee",,,,
"707368F81E",32,"Cranberry Juice","floz","Aldi",,,,
"15CE68D31D",33,"English Muffins","each","Walmart",,,,
"E094819A88",34,"Diced / Cubed Ham","oz","Family Fare",,,,
"5AB68BBDA6",35,"Dill Weed (dried)","oz","Walmart",,,,
"DC2F94FCB7",36,"Beef Jerky","oz","Walmart",,,,
"085EA8DB56",37,"Energy Drinks","floz","Aldi",,,,
"E8F7DACD40",38,"Instant Mashed Potatoes","oz","Sam's Club",,,,
"DF456CB7CC",39,"Mustard Greens (bunch)","each","Baker's",,,,
"E10FF33C3F",40,"Cheese Tortellini","oz","Aldi",,,,
"2A24E946BA",41,"Pomegranate","each","Baker's",,,,
"4E4FB6B27A",42,"Canned Peaches","oz","Hy-Vee",,,,
"76F3B773DC",43,"Red Onions","lb","Aldi",,,,
"91D63E88A1",44,"Cajun / Creole Seasoning","oz","Hy-Vee",,,,
"FC9D0817F6",45,"Canned Peaches","oz","Sam's Club",,,,
"DA54ED5437",46,"Prepared Horseradish","oz","Walmart",,,,
"A4C65AE880",47,"Butter","lb","Walmart",,,,
"659AE39FCB",48,"Bagels","each","Walmart",,,,
"EB9A9F643C",49,"Rye Bread (loaf)","oz","Walmart",,,,
"E6F67CBA3C",50,"Green Olives (stuffed)","oz","Walmart",,,,
"34F288A362",51,"Cottage Cheese","oz","Fareway",,,,
"8984687706",52,"Cottage Cheese","oz","Baker's",,,,
"513ED2C51E",53,"Teriyaki Sauce / Marinade","floz","Aldi",,,,
"495F12C1A8",54,"Ground Pork","lb","Hy-Vee",,,,
"55F2F14BEA",55,"Pretzels","oz","Aldi",,,,
"D5B3E3823F",56,"Ice Cream","floz","Walmart",,,,
"133A0BDF3B",57,"Worcestershire Sauce","floz","Hy-Vee",,,,
"03ED965D8D",58,"Pickles (dill)","oz","Fareway",,,,
"69942B54EF",59,"Cabbage (green)","lb","Aldi",,,,
"7D1084884C",60,"Oregano (dried)","oz","Walmart",,,,
"1F7EDBC07A",61,"Popsicles / Ice Pops","each","Walmart",,,,
"2DB301BDF9",62,"Hot Cocoa Mix","each","Sam's Club",,,,
"7A3B715CC3",63,"Frozen Fruit / Berries","oz","Walmart",,,,
"44A67442B5",64,"Paper Napkins","each","Sam's Club",,,,
"63A6C7C12C",65,"Cat Litter","lb","Walmart",,,,
"A163C8917E",66,"Blackberries","oz","Aldi",,,,
"9B8323BA9D",67,"Taco Seasoning (packet)","oz","Hy-Vee",,,,
"99891B24DF",68,"Ramen Noodles","each","Sam's Club",,,,
"E98EB1E662",69,"Oat Milk","floz","Aldi",,,,
"A9559BCE99",70,"Chuck Roast","lb","Aldi",,,,
"0A5253E022",71,"Shower / Bathroom Cleaner","floz","Baker's",,,,
"A58CE0EA56",72,"Curry Powder","oz","Sam's Club",,,,
"77EA4B0910",73,"Hummus","oz","Aldi",,,,
"8C201D0C79",74,"Red Pepper Flakes","oz","Aldi",,,,
"6E9D82B2D9",75,"Oranges","lb","Baker's",,,,
"278740876B",76,"Rotisserie Chicken","each","Sam's Club",,,,
"75D50667D3",77,"Canned Tuna","oz","Baker's",,,,
"75A4B4B789",78,"Hoisin Sauce","floz","Walmart",,,,
"D99A7553B7",79,"Garlic Powder","oz","Aldi",,,,
"6E0966125B",80,"Chocolate Chips","oz","Aldi",,,,
"064DAEB06B",81,"Canned Tuna","oz","Walmart",,,,
"11B17DFA23",82,"Marshmallows","oz","Walmart",,,,
"538495186D",83,"Bratwurst","lb","Aldi",,,,
"05F72353A6",84,"Furniture Polish / Dusting Spray","oz","Family Fare",,,,
"60DDDF1F24",85,"Tortilla Chips","oz","Walmart",,,,
"8B193DA1AB",86,"Pork Chops","lb","Aldi",,,,
"D0D63F1E22",87,"Hummus","oz","Walmart",,,,
"CCE39436EA",88,"Hot Sauce","floz","Baker's",,,,
"BDBF05B5F9",89,"Coffee Pods (K-Cups)","each","Family Fare",,,,
"55CCF220A2",90,"Jelly / Jam","oz","Sam's Club",,,,
"97F0844113",91,"Vegetable / Canola Oil","floz","Baker's",,,,
"D14DADCEA9",92,"Frozen Meatballs","oz","Baker's",,,,
"422D15A04C",93,"Furniture Polish / Dusting Spray","oz","Hy-Vee",,,,
"2AB26C9AF7",94,"BBQ Sauce","oz","Fareway",,,,
"FA393906FD",95,"Tomato Soup (canned)","oz","Walmart",,,,
"0EFF4C356C",96,"Yellow Mustard","oz","Aldi",,,,
"CD46548A26",97,"Coffee Pods (K-Cups)","each","Fareway",,,,
"C091F8A47E",98,"Collard Greens (bunch)","each","Hy-Vee",,,,
"E85C2E1CBE",99,"Baby Wipes","each","Walmart",,,,
"4700FC3582",100,"Breakfast Cereal","oz","Family Fare",,,,
