id,commodity,unit,hyvee_everyday,hyvee_ad,hyvee_ad_from,hyvee_ad_to,hyvee_shown,aldi_everyday,aldi_ad,aldi_ad_from,aldi_ad_to,aldi_shown,familyfare_everyday,familyfare_ad,familyfare_ad_from,familyfare_ad_to,familyfare_shown,fareway_everyday,fareway_ad,fareway_ad_from,fareway_ad_to,fareway_shown,bakers_everyday,bakers_ad,bakers_ad_from,bakers_ad_to,bakers_shown,sams_everyday,sams_ad,sams_ad_from,sams_ad_to,sams_shown,walmart_everyday,walmart_ad,walmart_ad_from,walmart_ad_to,walmart_shown
frozen-cauliflower-rice,Frozen Cauliflower Rice,oz,,,,,,0.1492,,,,0.1492,,,,,,,,,,,,,,,,,,,,,0.1867,,,,0.1867
shelled-edamame,Shelled Edamame,oz,,,,,,0.1556,,,,0.1556,,,,,,,,,,,0.3495,0.2995,2026-09-08,2026-10-04,0.2995,,,,,,0.2086,,,,0.2086
canned-mushrooms,Canned Mushrooms,oz,0.2908,,,,0.2908,0.3625,,,,0.3625,0.2231,,,,0.2231,,,,,,0.3738,,,,0.3738,,,,,,0.2338,,,,0.2338
vegetable-broth,Vegetable Broth / Stock,floz,,,,,,0.0528,,,,0.0528,0.0809,,,,0.0809,0.1091,0.0619,2026-09-21,2026-09-26,0.0619,0.0497,0.0625,2026-09-08,2026-11-10,0.0497,,,,,,0.0469,,,,0.0469
ricotta,Ricotta Cheese,oz,,,,,,0.166,,,,0.166,0.1872,,,,0.1872,,,,,,0.183,0.2527,2026-09-14,2026-11-08,0.183,,,,,,0.1638,,,,0.1638
black-olives,"Black Olives (canned, ripe)",oz,,,,,,0.265,,,,0.265,,,,,,,,,,,0.3317,,,,0.3317,,,,,,0.3283,,,,0.3283
brown-lentils,Brown Lentils,lb,,,,,,3.184,,,,3.184,,,,,,,,,,,,,,,,,,,,,1.92,,,,1.92
quinoa-uncooked,Uncooked Quinoa,oz,,,,,,0.2094,,,,0.2094,,,,,,,,,,,0.2494,0.3632,2026-08-24,2026-10-18,0.2494,,,,,,0.215,,,,0.215
refried-beans,Refried Beans,oz,0.0619,,,,0.0619,0.0619,,,,0.0619,0.0835,,,,0.0835,,,,,,0.0744,0.0938,2026-09-09,2026-10-06,0.0744,,,,,,0.0675,0.1013,2026-08-31,2026-09-30,0.0675
bacon-bits,Bacon Bits,oz,,,,,,0.78,,,,0.78,,,,,,,,,,,,,,,,,,,,,1.16,,,,1.16
canned-beets,Canned Beets,oz,,,,,,0.1119,,,,0.1119,,,,,,,,,,,0.0727,0.2588,2026-08-24,2026-10-18,0.0727,,,,,,0.052,,,,0.052
ground-nutmeg,Nutmeg (ground),oz,,,,,,1.3267,,,,1.3267,3.0613,,,,3.0613,1.245,,,,1.245,2.3189,,,,2.3189,,,,,,1.64,,,,1.64
yukon-gold-potatoes,Yellow / Yukon Gold Potatoes,lb,,,,,,1.86,,,,1.86,,,,,,,,,,,1.5967,,,,1.5967,0.745,,,,0.745,1.4133,,,,1.4133
sweet-potatoes,Sweet Potatoes,lb,1.49,,,,1.49,1.19,,,,1.19,1.79,,,,1.79,,,,,,1.33,,,,1.33,0.974,,,,0.974,1.48,,,,1.48
breakfast-sandwiches,Frozen Breakfast Sandwiches,each,,,,,,,,,,,1.7488,,,,1.7488,1.6238,1.2488,2026-09-21,2026-09-26,1.2488,1.3738,1.7475,2026-09-16,2026-09-29,1.3738,0.9775,,,,0.9775,1.2462,,,,1.2462
curry-powder,Curry Powder,oz,,,,,,,,,,,1.395,,,,1.395,2.8514,,,,2.8514,1.599,,,,1.599,0.4989,,,,0.4989,1.06,,,,1.06
ground-turmeric,Ground Turmeric,oz,2.0966,,,,2.0966,1.4526,,,,1.4526,1.345,,,,1.345,2.937,,,,2.937,1.9559,,,,1.9559,0.5832,,,,0.5832,0.8339,,,,0.8339
cotton-swabs,Cotton Swabs,each,0.015,,,,0.015,0.0043,,,,0.0043,0.0056,,,,0.0056,0.016,0.0106,2026-09-21,2026-09-26,0.0106,0.0047,,,,0.0047,0.0053,,,,0.0053,0.0033,,,,0.0033
feta,Feta Cheese,oz,,,,,,0.37,,,,0.37,1.1238,,,,1.1238,,,,,,0.8317,1.015,2026-07-20,2026-10-11,0.8317,0.3033,,,,0.3033,0.5733,,,,0.5733
eggs,Large Eggs (dozen),dozen,,,,,,1.66,,,,1.66,2.356,,,,2.356,1.65,,,,1.65,1.75,5.99,2026-09-14,2026-10-11,1.75,1.9707,,,,1.9707,1.624,,,,1.624
cranberry-juice,Cranberry Juice,floz,0.0545,,,,0.0545,0.0405,,,,0.0405,0.053,,,,0.053,0.0592,0.0467,2026-09-22,2026-09-26,0.0467,0.0467,,,,0.0467,0.0431,,,,0.0431,0.0464,,,,0.0464
onion-powder,Onion Powder,oz,,,,,,0.3779,,,,0.3779,0.7511,,,,0.7511,0.42,,,,0.42,0.7143,,,,0.7143,0.4276,,,,0.4276,0.3323,,,,0.3323
walnuts,Walnuts,oz,,,,,,0.3488,,,,0.3488,0.6988,,,,0.6988,,,,,,0.6247,1,2026-09-16,2026-10-13,0.6247,0.2488,,,,0.2488,0.6362,,,,0.6362
floor-cleaner,Floor Cleaner,floz,0.3316,,,,0.3316,,,,,,0.1639,,,,0.1639,0.1656,,,,0.1656,0.1666,,,,0.1666,0.0545,,,,0.0545,0.0778,,,,0.0778
fresh-ginger,Ginger Root,lb,5.99,,,,5.99,3.98,,,,3.98,4.99,,,,4.99,,,,,,3.99,,,,3.99,3.4114,,,,3.4114,3.9714,,,,3.9714
blueberries,Blueberries,oz,,,,,,0.2056,,,,0.2056,0.3883,,,,0.3883,0.8153,0.6,2026-09-20,2026-09-26,0.6,0.3883,1.1089,2026-09-21,2026-11-15,0.3883,0.5461,,,,0.5461,0.4344,,,,0.4344
egg-whites,Liquid Egg Whites,floz,0.2369,,,,0.2369,0.1497,,,,0.1497,,,,,,0.2497,,,,0.2497,0.2122,,,,0.2122,0.1558,,,,0.1558,0.1522,,,,0.1522
drain-cleaner,Drain Cleaner,floz,,,,,,,,,,,0.1434,,,,0.1434,0.1403,,,,0.1403,0.0936,,,,0.0936,0.0632,,,,0.0632,0.0428,,,,0.0428
feminine-pads,Feminine Pads,each,0.3395,,,,0.3395,,,,,,0.1246,,,,0.1246,0.2081,0.1942,2026-09-21,2026-09-26,0.1942,0.1408,,,,0.1408,0.1683,,,,0.1683,0.0829,,,,0.0829
facial-tissues,Facial Tissues,each,,,,,,0.0087,,,,0.0087,0.0124,,,,0.0124,0.0181,0.012,2026-09-17,2026-10-17,0.012,0.0124,,,,0.0124,0.01,,,,0.01,0.0137,,,,0.0137
flour,All-Purpose Flour,lb,,,,,,0.39,,,,0.39,0.5596,,,,0.5596,0.628,0.499,2026-09-17,2026-10-17,0.499,0.479,0.949,2026-09-09,2026-11-03,0.479,0.4072,,,,0.4072,0.4328,,,,0.4328
baby-formula,Baby Formula,oz,1.9192,,,,1.9192,,,,,,1.1533,,,,1.1533,2.0792,1.9192,2026-09-21,2026-09-26,1.9192,0.9409,,,,0.9409,0.7704,,,,0.7704,0.7313,,,,0.7313
vanilla-extract,Vanilla Extract,floz,2.985,,,,2.985,1.745,,,,1.745,3.495,,,,3.495,,,,,,1.4994,2.495,2026-09-02,2026-10-06,1.4994,1.1225,,,,1.1225,2.44,,,,2.44
raisins,Raisins,oz,,,,,,0.1995,,,,0.1995,0.2995,,,,0.2995,,,,,,0.2408,,,,0.2408,0.3878,,,,0.3878,0.219,,,,0.219
tampons,Tampons,each,0.2827,,,,0.2827,,,,,,0.1998,,,,0.1998,,,,,,0.1886,,,,0.1886,0.1769,,,,0.1769,0.1495,,,,0.1495
heavy-cream,Heavy Whipping Cream,floz,0.2184,,,,0.2184,0.1434,,,,0.1434,0.2184,,,,0.2184,,,,,,0.1716,,,,0.1716,0.1162,,,,0.1162,0.1475,,,,0.1475
hot-cocoa,Hot Cocoa Mix,each,0.249,,,,0.249,0.279,,,,0.279,0.369,,,,0.369,,,,,,0.333,,,,0.333,0.1956,,,,0.1956,0.299,,,,0.299
toothbrushes,Toothbrushes,each,,,,,,0.975,,,,0.975,0.9317,,,,0.9317,,,,,,0.9225,3.995,2026-09-09,2026-10-06,0.9225,1.8712,,,,1.8712,0.5,,,,0.5
bleach,Bleach,floz,0.0309,,,,0.0309,0.0483,,,,0.0483,0.074,,,,0.074,,,,,,0.0311,,,,0.0311,0.0523,,,,0.0523,0.0514,,,,0.0514
shaved-beef-steak,Shaved Beef Steak,lb,,,,,,7.3714,,,,7.3714,,,,,,,,,,,8.66,5.7143,2026-09-23,2026-09-29,5.7143,8.735,,,,8.735,,,,,
ground-beef-9010,Ground Beef 90/10,lb,,,,,,6.99,,,,6.99,,,,,,,,,,,9.6633,,,,9.6633,5.86,,,,5.86,7.38,,,,7.38
ground-beef-93-7,93/7 Lean Ground Beef,lb,,,,,,7.39,,,,7.39,9.29,,,,9.29,7.49,,,,7.49,,,,,,6.17,,,,6.17,7.49,,,,7.49
canned-pasta,Canned Pasta (Ravioli / SpaghettiOs),oz,,,,,,,,,,,0.1082,,,,0.1082,0.264,0.2,2026-09-17,2026-10-17,0.2,0.1,,,,0.1,0.0688,,,,0.0688,0.079,,,,0.079
ground-beef-8020,80/20 Ground Beef,lb,6.99,,,,6.99,5.29,,,,5.29,7.33,,,,7.33,3.99,,,,3.99,6.6667,4.99,2026-09-23,2026-09-29,4.99,4.97,,,,4.97,4.943,,,,4.943
caesar-salad-kit,Caesar Salad Kit,oz,0.3973,,,,0.3973,0.2646,,,,0.2646,0.4467,,,,0.4467,0.3973,0.2549,2026-09-20,2026-09-26,0.2549,0.3169,0.3219,2026-08-29,2026-10-06,0.3169,0.2036,,,,0.2036,0.2027,,,,0.2027
half-and-half,Half & Half,floz,0.1091,,,,0.1091,0.0747,,,,0.0747,0.0934,,,,0.0934,0.1047,,,,0.1047,0.078,,,,0.078,0.2367,,,,0.2367,0.0775,,,,0.0775
corned-beef-brisket,Corned Beef Brisket (raw),lb,,,,,,6.29,,,,6.29,8.99,,,,8.99,,,,,,6.99,,,,6.99,8.34,,,,8.34,4.9807,,,,4.9807
avocado-oil,Avocado Oil,floz,,,,,,0.4582,,,,0.4582,0.6675,,,,0.6675,0.7033,0.6293,2026-09-17,2026-10-17,0.6293,0.4436,0.6503,2026-09-11,2026-09-29,0.4436,0.3965,,,,0.3965,0.4112,,,,0.4112
ground-ginger,Ginger (ground),oz,,,,,,,,,,,2.8062,,,,2.8062,5.7,,,,5.7,2.8298,,,,2.8298,0.7971,,,,0.7971,1.6867,,,,1.6867
lotion,Body Lotion,floz,0.4994,,,,0.4994,0.2217,,,,0.2217,0.4757,,,,0.4757,,,,,,0.2064,,,,0.2064,0.2196,,,,0.2196,0.1244,,,,0.1244
lemon-juice,Lemon Juice,floz,0.1184,,,,0.1184,0.0684,,,,0.0684,0.1247,,,,0.1247,,,,,,0.1028,0.1667,2026-09-02,2026-10-20,0.1028,0.0675,,,,0.0675,0.07,,,,0.07
onion-soup-mix,Onion Soup Mix (dry packets),oz,,,,,,,,,,,0.645,,,,0.645,,,,,,,,,,,0.665,,,,0.665,0.49,,,,0.49
microwave-popcorn,Microwave Popcorn,each,,,,,,,,,,,0.5633,,,,0.5633,,,,,,0.3883,0.665,2026-09-16,2026-10-13,0.3883,0.3119,,,,0.3119,0.3767,,,,0.3767
instant-coffee,Instant Coffee,oz,,,,,,0.6988,,,,0.6988,1.1326,,,,1.1326,,,,,,0.7129,1.1414,2026-09-09,2026-10-06,0.7129,0.705,,,,0.705,0.7067,,,,0.7067
almonds,Almonds,oz,0.7483,,,,0.7483,0.425,,,,0.425,0.5408,,,,0.5408,,,,,,0.6869,,,,0.6869,0.3098,,,,0.3098,0.4192,,,,0.4192
brown-gravy-mix,Brown Gravy Mix (dry packet),oz,,,,,,0.5517,,,,0.5517,0.6782,,,,0.6782,,,,,,0.5431,,,,0.5431,0.2562,,,,0.2562,0.4605,,,,0.4605
cajun-seasoning,Cajun / Creole Seasoning,oz,,,,,,0.4829,,,,0.4829,0.3738,,,,0.3738,,,,,,0.3222,1.6622,2026-08-19,2026-09-29,0.3222,0.4536,,,,0.4536,0.3088,,,,0.3088
papaya,Papaya,each,,,,,,,,,,,,,,,,,,,,,,,,,,3.27,,,,3.27,,,,,
quart-storage-bags,Food Storage Bags (quart),each,,,,,,0.0438,,,,0.0438,0.0848,,,,0.0848,0.1192,0.0992,2026-09-21,2026-09-26,0.0992,0.0895,,,,0.0895,0.0647,,,,0.0647,0.0489,,,,0.0489
brown-sugar,Brown Sugar,lb,0.925,,,,0.925,0.925,,,,0.925,,,,,,1.495,1.195,2026-09-23,2026-09-26,1.195,1.145,,,,1.145,0.9971,,,,0.9971,0.99,,,,0.99
razors,Razors (disposable),each,2.2475,2.115,,,2.115,0.7475,,,,0.7475,0.3317,,,,0.3317,,,,,,0.2245,,,,0.2245,0.4804,,,,0.4804,0.1633,,,,0.1633
sandwich-bags,Sandwich Bags,each,0.0366,,,,0.0366,0.016,,,,0.016,0.0186,,,,0.0186,0.0596,0.0496,2026-09-21,2026-09-26,0.0496,0.0099,,,,0.0099,0.0215,,,,0.0215,0.0098,,,,0.0098
watermelon,Whole Watermelon,each,4.67,,,,4.67,4.65,,,,4.65,6.99,,,,6.99,7.99,,,,7.99,6.99,5.99,2026-09-19,2026-10-06,5.99,6.97,,,,6.97,4.64,,,,4.64
worcestershire,Worcestershire Sauce,floz,0.112,,,,0.112,,,,,,0.169,,,,0.169,,,,,,0.146,,,,0.146,0.2345,,,,0.2345,0.1,,,,0.1
powdered-sugar,Powdered Sugar,lb,0.925,,,,0.925,0.925,,,,0.925,1.795,,,,1.795,,,,,,1.145,4.464,2026-09-16,2026-09-29,1.145,0.9971,,,,0.9971,0.99,,,,0.99
pizza-sauce,Pizza Sauce,oz,0.1193,,,,0.1193,0.0779,,,,0.0779,0.0993,,,,0.0993,,,,,,0.0993,0.0921,2026-09-14,2026-11-01,0.0921,0.0569,,,,0.0569,0.0653,,,,0.0653
mixed-nuts,Mixed Nuts,oz,1.0274,,,,1.0274,0.3654,,,,0.3654,0.533,,,,0.533,,,,,,0.4279,0.4059,2026-09-09,2026-11-03,0.4059,0.4406,,,,0.4406,0.3548,,,,0.3548
toaster-pastries,Toaster Pastries,each,0.3738,,,,0.3738,0.1692,,,,0.1692,0.2325,,,,0.2325,,,,,,0.3122,,,,0.3122,0.2079,,,,0.2079,0.21,,,,0.21
garlic-herb-seasoning,Garlic Herb Seasoning,oz,,,,,,,,,,,1.2327,,,,1.2327,0.5369,0.46,2026-09-21,2026-09-26,0.46,1.0259,,,,1.0259,0.698,,,,0.698,0.6879,,,,0.6879
tomatillos,Tomatillos (fresh),lb,4.99,,,,4.99,,,,,,2.49,,,,2.49,2.49,,,,2.49,2.99,,,,2.99,2.96,,,,2.96,1.8182,,,,1.8182
mini-sweet-peppers,Mini Sweet Peppers,oz,,,,,,0.1994,,,,0.1994,,,,,,,,,,,0.1875,,,,0.1875,0.2146,,,,0.2146,0.205,,,,0.205
smoked-turkey-sausage,Smoked Turkey Sausage,lb,,,,,,3.68,,,,3.68,5.32,,,,5.32,,,,,,4.2954,4.0492,2026-09-16,2026-10-13,4.0492,2.8838,,,,2.8838,5.241,,,,5.241
mouthwash,Mouthwash,floz,,,,,,0.147,,,,0.147,0.0885,,,,0.0885,,,,,,0.0766,,,,0.0766,0.0885,,,,0.0885,0.0785,,,,0.0785
frozen-meatballs,Frozen Meatballs,oz,0.4575,,,,0.4575,0.2184,,,,0.2184,,,,,,,,,,,0.1875,0.2664,2026-09-23,2026-10-06,0.1875,0.2393,,,,0.2393,0.234,,,,0.234
sweet-corn,Sweet Corn (ear),each,1.2475,,,,1.2475,0.7375,,,,0.7375,1.4975,,,,1.4975,,,,,,0.33,0.9975,2026-09-23,2026-09-29,0.33,0.7462,,,,0.7462,0.995,,,,0.995
ribeye-steak,Ribeye Steak,lb,15.99,,,,15.99,10.99,,,,10.99,18.49,,,,18.49,,,,,,17.99,19.99,2026-09-09,2026-10-13,17.99,13.84,,,,13.84,14.8727,17.972,2026-08-31,2026-09-30,14.8727
hand-soap,Hand Soap (liquid),floz,0.1198,,,,0.1198,0.0558,,,,0.0558,0.0998,,,,0.0998,0.1398,0.1194,2026-09-17,2026-10-17,0.1194,0.0658,0.1056,2026-09-14,2026-10-11,0.0658,0.1712,,,,0.1712,0.055,,,,0.055
