"ticket","found_product","found_price","found_pack","availability","reachable","note"
"AD60F99BF3","Clancy's Corn Chips, 9.25 oz","0.2043","$1.89 / 9.25 oz","sold","yes","In-Store mode. Fritos-class corn chip. Clancy's Original Corn Chip Dippers 9.25 oz and Mexican Style Street Corn Chip Dippers 9.25 oz are the same $1.89 (exact tie). TORTILLA chips deliberately excluded as a different commodity even though Clancy's Gluten Free Nacho Cheese Tortilla Chips 9.25 oz $1.79 is nominally cheaper. URL: https://www.aldi.us/store/aldi/products/ (slug: clancy-s-corn-chips-9-25-oz)"
"0316659340","Burman's Steak Sauce, 10 oz","0.1990","$1.99 / 10 oz","sold","yes","In-Store mode. Only steak sauce in the catalog - no national-brand A.1. stocked. BASIS NOTE: Aldi's size field reads ""10 oz"" with no ""fl"" anywhere in the product HTML, matching A.1.'s own 10 oz net-weight labeling, while the ticket unit is floz. I priced against the printed 10, so this is dollars per labeled oz; a true per-fl-oz figure would need the bottle volume, which is not published. URL: https://www.aldi.us/store/aldi/products/19915871-burman-s-steak-sauce-10-oz"
"28E505026A","Baker's Corner Light Brown Sugar, 32 oz","0.9250","$1.85 / 2 lb (32 oz)","sold","yes","In-Store mode. Only other brown sugar is Simply Nature Organic Light Brown Sugar Pouch 24 oz $3.09 = $2.06/lb. No dark brown sugar stocked online. URL: https://www.aldi.us/store/aldi/products/ (slug: baker-s-corner-light-brown-sugar-32-oz)"
"E3B5EDA8C5","Boulder Quart Slider Storage Bags, 40 ct","0.0648","$2.59 / 40 ct","sold","yes","In-Store mode. Basis = per bag. Cheapest QUART storage bag; Boulder Quart Slider FREEZER Bags are also $2.59 but only 35 ct = $0.0740 each (freezer, different item anyway). Gallon and sandwich sizes excluded as wrong size. This store stocks no plain zipper (non-slider) quart bag online, so 40 ct slider is the only quart storage option. URL: https://www.aldi.us/store/aldi/products/ (slug: boulder-quart-slider-storage-bags)"
"F35122ACDF","Cucumber, each","0.7500","$0.75 / 1 each","sold","yes","In-Store mode. Basis = per cucumber (single loose slicing cucumber, size field ""1 each"", flat price, NOT a by-weight estimate - the product page carries no ""each (est.)"" and no ""$X / lb"" line). Confirmed twice: search tile and the fresh-produce category page. Alternatives: Seedless (English) Cucumber $0.95 each; Mini Cucumbers 14 oz $1.69 (bag, not each). URL: https://www.aldi.us/store/aldi/products/3253345-cucumber-each"
"05B923EE1E","","","","not-sold","yes","In-Store mode. No dried oregano in this store's catalog. Searched ""oregano"", ""oregano leaves"", ""stonemill oregano"" and enumerated the full 66-item spice result set: the Stonemill line runs garlic powder, onion powder, paprika, minced onion, Italian seasoning, parsley flakes, cumin, chili powder, crushed red pepper, lemon pepper, cinnamon, cajun, black pepper, salts and grilling blends - no oregano SKU. Only fresh herbs are rosemary and thyme 0.5 oz $1.59 and cilantro/parsley bunches."
"B4C7861F05","Kroger(R) Nectarines 2 Pound Bag - 2 lb","2.9950","$5.99 / 2 lb","sold","yes","REGULAR price (no promo field). Kroger API locationId 61500319 = Baker's Saddlecreek, 888 S Saddle Creek Rd, Omaha NE. Cheapest per lb of the genuine nectarine SKUs. Loose Fresh Yellow/White Nectarine are $3.99/lb (soldBy=WEIGHT). Simple Truth Organic 2 lb bag ties at $5.99 but is organic. Organic Yellow Nectarine loose is $4.99/lb reg (a $2.99 promo was live and was NOT used). https://www.bakersplus.com/p/kroger-nectarines-2-pound-bag/0001111018177"
"2DF21A11AF","Kroger(R) 4% Milkfat Small Curd Cottage Cheese BIG DEAL! - 48 oz","0.1206","$5.79 / 48 oz","sold","yes","REGULAR price, no promo on this SKU. ""BIG DEAL!"" is Kroger's large-pack line name, not a temporary promo. Next best per oz: Kroger 24 oz $3.19 = $0.1329/oz (that one had a $2.50 promo which I did NOT use); Kroger 16 oz $2.59 = $0.1619/oz. Ricotta hits were excluded as not cottage cheese. https://www.bakersplus.com/p/kroger-4-milkfat-small-curd-cottage-cheese-big-deal-/0001111044217"
"86F3FA63A2","Kroger(R) Mini Sweet Peppers BIG DEAL! - 32 oz","0.1875","$6.00 / 32 oz","sold","yes","REGULAR price, no promo. Only 3 mini-sweet-pepper SKUs exist at this store: Kroger 32 oz $6.00 = $0.1875/oz (cheapest), Kroger 16 oz $3.99 = $0.2494/oz, Simple Truth Organic 16 oz $4.99 = $0.3119/oz. Private Selection Seedless Sweet Peppers 1 lb $4.99 excluded - not labeled mini. Jarred/pickled sweet peppers excluded. https://www.bakersplus.com/p/kroger-mini-sweet-peppers-big-deal-/0001111018182"
"2B92362166","Kroger(R) Whole Garlic Bulbs - 5 ct","0.4980","$2.49 / 5 ct bulbs","sold","yes","BASIS: each = one head/bulb of fresh garlic. REGULAR price, no promo. $2.49 for a 5-bulb bag = $0.498 per head, cheaper than loose single Garlic bulb (PLU 4608) at $0.89 each and Simple Truth Organic 3 ct $1.99 = $0.663 each. netWeight 0.47 lb / 5 bulbs = ~1.5 oz per head, consistent with a real garlic head. Jarred/minced/powdered garlic excluded as not fresh. https://www.bakersplus.com/p/kroger-whole-garlic-bulbs/0001111002824"
"6B90307BAD","Kroger(R) Original Medium Roast Ground Coffee - 29 oz","0.4997","$14.49 / 29 oz","sold","yes","REGULAR shelf price $14.49; a $13.99 promo was live on this SKU and was NOT used. Cheapest per oz across ground and whole-bean at this store. Comparables: Kroger Classic Blend 29 oz $14.49 same rate; Maxwell House 27.5 oz $15.49 = $0.5633/oz; Folgers 40.3 oz $23.99 = $0.5953/oz; Kroger 24 oz $14.49 = $0.6038/oz; Kroger 11 oz $6.99 = $0.6355/oz. No Smart Way ground coffee exists (only Smart Way Instant, excluded). K-Cup pods excluded. https://www.bakersplus.com/p/kroger-original-medium-roast-ground-coffee/0001111015000"
"DF293B6EE7","Kroger(R) Vegetable Beef Condensed Soup - 10.5 oz","0.1190","$1.25 / 10.5 oz","sold","yes","REGULAR price, no promo. Cheapest canned vegetable/vegetable beef soup at this store. Campbell's Condensed Vegetable Beef and Vegetarian Vegetable are both $1.99 / 10.5 oz = $0.1895/oz; Progresso/Campbell's Chunky vegetable soups run $2.99 / 18.5-19 oz = ~$0.1616/oz. Broths, stocks and Kroger Frozen Vegetable Soup Mix (a dry/frozen vegetable blend, not soup) were excluded per the commodity note. Priced on the can's as-sold net weight, not reconstituted volume. https://www.bakersplus.com/p/kroger-vegetable-beef-condensed-soup/0001111083710"
"535132E556","Our Family Protein Peanut Almond Dark Chocolate Chewy Bars 5 Ea","0.7980","$3.99 / 5 ea","sold","yes","Per-each basis: $3.99 box divided by 5 bars (Freshop servings_per_container=5, serving_size=1). Store private label; listed in dept protein_energy_meal_bars, Aisle 8. Next cheapest per bar was Kind Protein Bars Breakfast PB Banana Dark Chocolate 6 Ea $5.29 = $0.8817/bar. Single bars run $2.39-$3.69 each. https://www.shopfamilyfare.com/shop/health_beauty/adult_nutrition/protein_energy_meal_bars/our_family_protein_peanut_almond_dark_chocolate_chewy_bars_5_ea/p/7081195"
"27C1EC1E18","Our Family Seasoning Mix, Taco 1.25 Oz","0.7920","$0.99 / 1.25 oz","sold","yes","Cheapest true PACKET. Tied on shelf price with Taco Bell Original Taco 1 Oz $0.99 but that is $0.99/oz. Excluded taco dinner kits. NOTE: a non-packet 6 oz Our Family taco seasoning pouch exists at $3.49 = $0.5817/oz, cheaper per oz but not a packet, so not used. https://www.shopfamilyfare.com/shop/pantry/mixes_spices_seasoning/mixes_for_meats/our_family_seasoning_mix_taco_1_25_oz/p/6787111"
"B253C54413","Our Family Black Beans 15.25 Oz","0.0649","$0.99 / 15.25 oz","sold","yes","Store private label, Aisle 5 canned beans. Our Family No Salt Added Black 15.25 Oz is the same $0.99. Next cheapest was Full Circle Organic Spicy Black Beans 15 oz $1.59 = $0.1060/oz. Excluded the 1 lb DRY Our Family bag ($2.29) and refried/chili-sauce beans. https://www.shopfamilyfare.com/shop/pantry/canned_goods/beans/our_family_black_beans_15_25_oz/p/7081218"
"D993A3C519","Sugar 'N Spice Fennel Seed Whole 5.6 Oz","0.6232","$3.49 / 5.6 oz","sold","yes","Bulk-spice rack (Aisle 300 fresh_spices_herbs). Only 4 fennel SKUs carried; the 2 oz same-brand jar is $1.89 = $0.9450/oz and McCormick 0.85 oz is $4.29 = $5.0471/oz. Spice only, no fennel bulb in the results. https://www.shopfamilyfare.com/shop/fresh_fruits_vegetables/fresh_spices_herbs/sugar_n_spice_fennel_seed_whole/p/5920282"
"B7327CD7D8","Joseph's Low Fat Whole Wheat Pita Bread 4 Ea","0.9975","$3.99 / 4 ea","sold","yes","Per-each basis: $3.99 bag divided by 4 pitas (Freshop product_size 4 ea; nutrition 8 servings at 1/2 pita = 4 pitas). This is the ONLY pita bread SKU the store lists - a full q=pita sweep returned only pita chips, naan and pita pocket sandwiches otherwise. https://www.shopfamilyfare.com/shop/bakery/wraps_pitas_flatbreads/joseph_s_low_fat_whole_wheat_pita_bread_4_ea/p/521386"
"FAF111D7D4","Mennen Speed Stick Men's Deodorant, Regular 3 Oz","1.0633","$3.19 / 3 oz","sold","yes","Cheapest solid stick per oz with a stated ounce size, swept all 141 deodorant SKUs. Ties with Speed Stick Power Fresh 3 Oz, Power Sport 3 Oz and Ocean Surf 3 Oz, all $3.19. Excluded aerosols/dry sprays/body sprays and roll-ons per stick-only rule (e.g. Brut 6 oz $3.99 is aerosol). CAVEAT: twin packs Speed Stick Irish Spring 2 Ea $5.99 and Mennen Regular 2 Ea $5.99 could beat this if each stick is 3 oz ($0.9983/oz), but Freshop states no ounce size for them so I did not compute it. No Our Family/Full Circle deodorant is carried. https://www.shopfamilyfare.com/shop/health_beauty/grooming_hygiene/deodorant_personal_scents/mennen_speed_stick_men_s_deodorant_regular_3_oz/p/18155"
"6493413440","Alessi Tomatoes, Sun Dried, Julienne Cut 7 Oz","0.7557","$5.29 / 7 oz","sold","yes","Only 3 real sun-dried-tomato SKUs carried. Alessi Sun Dried in Extra Virgin Olive Oil 7 Oz is the same $5.29 (oil-packed, so I cited the dry julienne pack). California Sun Dry Julienne 3 Oz is $3.99 = $1.3300/oz. Excluded sun-dried-tomato dip, sausage and crackers. https://www.shopfamilyfare.com/shop/pantry/canned_goods/tomatoes/alessi_tomatoes_sun_dried_julienne_cut_7_oz/p/528394"
"B106317542","Sloppy Joe Sauce Our Family 15 Oz","0.0927","$1.39 / 15 oz","sold","yes","Store private label beats Manwich on every size: Manwich Original 15 Oz $1.69 = $0.1127/oz and Manwich 24 Oz $2.79 = $0.1163/oz. Excluded dry sloppy joe seasoning mixes. https://www.shopfamilyfare.com/shop/pantry/condiments_dressing/other_sauce/sloppy_joe_sauce_our_family/p/6787011"
"A11200BE90","Lender's Pre Sliced Plain Bagels 6 Ea","0.5983","$3.59 / 6 ea","sold","yes","Per-each basis: $3.59 for a 6-count 17.1 oz bag (nutrition confirms 6 servings of 1 bagel). Lender's onion and cinnamon-raisin are the same $3.59. Next cheapest Bubba's 6 Ea $4.29 = $0.7150 and Thomas' 6 Ea $4.99 = $0.8317. No in-store bakery bagel appears in the Freshop catalog, so a fresh-bakery single could be cheaper and unlisted. https://www.shopfamilyfare.com/shop/dairy/breads_rolls_bagels/lender_s_pre_sliced_plain_bagels_6_ea/p/296709"
"82AB38C4C7","Fresh Express Salad, Spring Mix 10 Oz","0.4990","$4.99 / 10 oz","sold","yes","Cheapest plain spring mix per oz. Full Circle Organic Spring Mix 10 Oz is $5.99 = $0.5990/oz; Revol Greens Spring Mix 4 Oz $3.49 = $0.8725/oz. Excluded Fresh Express Salad Spring Mix 1 Ea $3.99 - its nutrition panel (160 cal / 13 g fat per 2 cups) shows it is a DRESSED salad kit, not plain greens, and it carries no stated ounce size. https://www.shopfamilyfare.com/shop/fresh_fruits_vegetables/salad_mixes_kits/fresh_express_salad_spring_mix_10_oz/p/268916"
"53D1462274","Dole Garden Salad 12 oz","0.2075","$2.49 / 12 oz","sold","yes","Store confirmed 17070 Audrey Street, Omaha NE 68136 (Apollo cache). Plain bagged garden blend; cheapest of the plain bagged blends. Close calls EXCLUDED: Dole Classic Coleslaw 14 oz $2.49 (0.1779/oz, coleslaw not garden), Fareway Spring Salad Deli Style 1 lb $2.99 (0.1869/oz, deli prepared salad not bagged), Dole Greener Selection 11 oz $2.77 (0.2518/oz), Dole American Blend 12 oz $3.99, all Dole/Taylor Farms kits (dressing included). /store/fareway-meat-grocery/products/17915540-dole-garden-salad-12-oz"
"643EA3C603","Shultz Mini Pretzel Twists 16 oz","0.1556","$2.49 / 16 oz","sold","yes","Plain hard pretzels. Close call EXCLUDED: Fareway Peanut Butter Filled Pretzels 44 oz $8.99 (0.2043/oz) is a filled snack, and it is dearer anyway. Next plain: ROLD GOLD Tiny Twists 16 oz $3.99 (0.2494/oz). /store/fareway-meat-grocery/products/20207086-shultz-mini-pretzel-twists-16-oz"
"BE91E86E5F","Corner Store Bread, Original, White 20 oz","1.6900","$1.69 / 1 loaf","sold","yes","Standard 20 oz sliced white sandwich loaf, full loaf (not a half loaf). Next: Fareway Split Top Sandwich Bread 20 oz $1.97. Village Hearth/Sara Lee $1.99-$2.37 entries are 12 oz HALF loaves and were not treated as a standard loaf. /store/fareway-meat-grocery/products/70454139-corner-store-bread-original-white-20-oz"
"81AAB21B83","Tomatillo (fresh, sold by weight)","2.4900","$2.49 / lb","sold","yes","Produce dept. Tile reads 'Current price: $0.31 each (estimated)' with shelf basis '$2.49 / lb' and 'About 0.13 lb each' - the per-lb shelf price is the one recorded. Only fresh tomatillo item carried. /store/fareway-meat-grocery/products/16382470-tomatillo-1-lb"
"E88CAD1131","Raspberries 12 oz","0.5733","$6.88 / 12 oz","sold","yes","FRESH (Produce dept), on sale from $7.99. Cheaper per oz than the fresh 6 oz at $3.88 (0.6467/oz). FROZEN alternatives are cheaper per oz if the commodity admits frozen: Fareway Raspberries 12 oz $4.49 (0.3742/oz, Aisle 19) and Columbia Fruit Raspberries 40 oz $11.99 (0.2998/oz, Aisle 19). Recorded fresh because the sibling rows name fresh produce; flagging the ambiguity. /store/fareway-meat-grocery/products/72391-raspberries-12-oz"
"CCCB72B591","Rhubarb (fresh, sold by weight)","3.9900","$3.99 / lb","sold","yes","Produce dept. Tile reads 'Current price: $0.44 each (estimated)', shelf basis '$3.99 / lb', 'About 0.11 lb each'. Only fresh rhubarb item carried; all other rhubarb hits are pies/cider/ice cream. /store/fareway-meat-grocery/products/345497-rhubarb-1-lb"
"24EE40431A","Fareway Sweet Peas 15 oz","0.0520","$0.78 / 15 oz","sold","yes","Canned (Aisle 1), on sale from $1.12. An identical unbranded tile 'Sweet Peas' 15 oz is also $0.78 (same item, Aisle 1). Priced on the can's stated net weight, not drained weight. Next: Green Giant Sweet Peas 15 oz $1.48. /store/fareway-meat-grocery/products/20576568-fareway-sweet-peas-15-oz"
"BAFB8A1769","Bright Essentials Parchment Paper 1 each","2.9900","$2.99 / 1 roll","sold","yes","BASIS = per ROLL. Aisle 14, on sale from $3.99. Same price as Bright Essentials Pop-Up Pre-Cut Parchment Sheets 25 ct $2.99 (per box). Reynolds Parchment Paper 45 sq ft roll is $3.99. /store/fareway-meat-grocery/products/41458026-bright-essentials-parchment-paper-1-each"
"87CBBE539D","SKIPPY Creamy Peanut Butter 16.3 oz","0.1190","$1.94 / 16.3 oz","sold","yes","Aisle 2, deep sale from $3.49 (44% off); all SKIPPY 16.3 oz variants at $1.94. Fareway store-brand 64 oz is $8.99 (0.1405/oz), so the sale jar is genuinely cheapest per oz. Tile is a grouped '3 sizes' listing (16.3/28/40 oz); only the 16.3 oz price is shown on the grid, so larger-size per-oz was not read. /store/fareway-meat-grocery/products/285601-skippy-creamy-peanut-butter-16-3-oz"
"229CA0DA09","Totino's Party Pizza Pepperoni Thin Crust Frozen Pizza 10.2 oz","1.7900","$1.79 / 1 pizza","sold","yes","Cheapest frozen pizza on the site; all eight Totino's Party/Ultimate varieties are $1.79 each. No frozen pizza item priced under $1.79. Next: Jack's Thin Crust Pepperoni 15.4 oz $3.33. /store/fareway-meat-grocery/products/42556-totino-s-pepperoni-party-pizza-frozen-pizza-10-200-oz"
"BF3396F5F7","Blackberries 6 oz","0.6467","$3.88 / 6 oz","sold","yes","FRESH (Produce dept), on sale from $4.99. Only fresh blackberry item carried - no 12 oz fresh clamshell and no plain frozen blackberry listing found on the site (all other blackberry hits are jams, preserves or whiskey). /store/fareway-meat-grocery/products/17327025-blackberries-6-oz"
"A6887344DC","Fareway Wide Egg Noodles 12 oz","0.2325","$2.79 / 12 oz","sold","yes","Store brand; Wide, Extra Wide and Broad all $2.79 / 12 oz. Next: Creamette Egg Noodles 12 oz $2.99. Cheaper 'noodle' hits in the search (chicken noodle soup, ramen) are not egg noodles and were excluded. /store/fareway-meat-grocery/products/25446742-fareway-enriched-egg-noodle-product-wide-12-oz"
"C5B62FB908","Fareway Apple Cider Vinegar 128 fl oz","0.0507","$6.49 / 128 fl oz","sold","yes","Cheapest per fl oz. Close call EXCLUDED: 'Fareway Apple Cider FLAVORED Vinegar' 128 fl oz $4.99 (0.0390/floz) - a flavored distilled vinegar, sold as a separate SKU alongside the real ACV, so not the commodity. Fareway ACV also at 32 fl oz $2.79 (0.0872) and 16 fl oz $1.99 (0.1244). /store/fareway-meat-grocery/products/55441263-fareway-apple-cider-vinegar-128-fl-oz"
"58BBF9AD08","The Works Toilet Bowl Cleaner 1 qt (32 fl oz)","0.1059","$3.39 / 32 fl oz","sold","yes","REGULAR price (GraphQL storeProducts storeId 1465: price 3.39 = basePrice 3.39, onSale false). Cheapest liquid toilet bowl cleaner at Omaha #1. No Hy-Vee or That's Smart! own-brand toilet bowl cleaner exists in the catalog. Next cheapest is the 24 fl oz tier at $3.69 (Clorox / Lysol, 0.1538/floz). Excluded: tablets/discs/stamps (2000 Flushes, Scrubbing Bubbles gel stamps, Soft Scrub cubes) - sold by net weight oz, not a pourable floz cleaner - and all brushes/wands. https://www.hy-vee.com/aisles-online/p/22816"
"7EF91645E3","Suave Essentials Daily Clarifying Cleansing Shampoo 22.5 fl oz","0.0876","$1.97 / 22.5 fl oz","sold","yes","REGULAR price (price 1.97 = basePrice 1.97, onSale false). Two sibling SKUs tie exactly: Suave Ocean Breeze Refreshing Shampoo Family Size 22.5 fl oz $1.97 (id 4185468) and Suave Sun-Ripened Strawberry 22.5 fl oz $1.97 (id 4188655) - all verified regular. Next: Alberto VO5 15 fl oz $1.99 = 0.1327/floz. Excluded dry shampoos (sold by weight oz) and 2-in-1 shampoo+conditioner/body-wash combos. https://www.hy-vee.com/aisles-online/p/4185809"
"3A39978065","Hy-Vee Original Baked Beans 28 oz","0.0757","$2.12 / 28 oz","sold","yes","REGULAR price (2.12 = basePrice, onSale false). Four Hy-Vee 28 oz baked-bean variants all price at $2.12 (Original 58078, Country Style 58081, Homestyle 24691, Maple Cured Bacon 24692, Brown Sugar Hickory 4113327) so 0.0757/oz is the store-brand floor. CLOSE CALL: Hy-Vee Pork & Beans in Tomato Sauce 16 oz $0.89 = 0.0556/oz (id 58076) and Van Camp's Pork and Beans 15 oz $1.08 = 0.0720/oz are cheaper, but pork-and-beans in tomato sauce is a distinct product from baked beans, so I excluded them. No That's Smart! baked bean SKU. https://www.hy-vee.com/aisles-online/p/58078"
"D4FAEE4569","Asparagus (fresh, bulk, sold by the pound)","4.9900","$4.99 / lb","sold","yes","REGULAR price. GraphQL confirms isWeighted true / soldByUnitOfMeasure LB, price 4.99 = basePrice 4.99, onSale false, department Fresh/Produce/Fresh Vegetables. Search card renders '1 lbs ($4.99/lb)'. Only fresh asparagus SKU in the store; the alternatives are prepared (Parmesan Asparagus $7.99/lb) or frozen packs (Hy-Vee Cut Asparagus Spears 14.5 oz $4.99 = $5.51/lb), both excluded. https://www.hy-vee.com/aisles-online/p/37264"
"C30F21CB4D","Lysol Disinfectant Spray, Crisp Linen Scent, 12.5 oz aerosol","0.6152","$7.69 / 12.5 oz","sold","yes","REGULAR price (7.69 = basePrice, onSale false). UNIT-CLASS CLOSE CALL, read this: the ticket unit is 'oz' (net weight) while the sibling toilet-bowl-cleaner ticket in this same batch uses 'floz', so I read this row as the AEROSOL disinfectant spray class, which Hy-Vee sells by weight oz. All four Lysol aerosol scents price identically at $7.69/12.5 oz (ids 5271, 5283, 213525, 40891); there is no cheaper aerosol disinfectant and no Hy-Vee/That's Smart! own-brand. If the row instead means any trigger-spray liquid disinfectant, the cheaper answers are Clorox Disinfecting All Purpose Cleaner 32 fl oz $4.99 = 0.1559/oz (id 3294720, regular) and Windex Multi Surface Disinfectant Spray 23 fl oz $3.98 = 0.1730/oz (id 2144798, regular); Scrubbing Bubbles Disinfectant Bathroom Cleaner Foam 20 oz aerosol $5.69 = 0.2845/oz (id 2133573, regular) is an aerosol but is a bathroom cleaner, not a general disinfectant spray. https://www.hy-vee.com/aisles-online/p/5271"
"9E4EE82B63","That's Smart! Crushed Red Pepper 2 oz","0.6250","$1.25 / 2 oz","sold","yes","REGULAR price used per price-mode rule: GraphQL basePrice 1.25 / basePriceMultiple 1 = $1.25 each. The item is CURRENTLY ON SALE (onSale true, price 1.25 with priceMultiple 3; the search API tag price is $1.00) - the whole That's Smart! spice line is running a 3/$3 promo right now, so the shelf tag today reads $1.00 = 0.5000/oz. Board should carry 0.6250/oz if it publishes regular, 0.5000/oz if it followed the promo. Next cheapest genuine crushed red pepper: Hy-Vee Crushed Red Pepper 1.5 oz $2.99 = 1.9933/oz (regular) - a 3x gap, so the winner is not in doubt, only its price mode. https://www.hy-vee.com/aisles-online/p/3225646"
"6839BC38AE","Acorn Squash (fresh, bulk, sold by the pound)","1.4900","$1.49 / lb","sold","yes","REGULAR price. GraphQL confirms isWeighted true / soldByUnitOfMeasure LB, price 1.49 = basePrice 1.49, onSale false, department Fresh/Produce/Fresh Vegetables. Search card renders '1.3 lbs ($1.49/lb)' - $1.94 is the per-piece estimate, not the unit price. Same $1.49/lb applies to spaghetti and butternut squash. Only acorn squash SKU. https://www.hy-vee.com/aisles-online/p/37453"
