"pid","origin","top","start","end","outcome","workerTicks","maxWorkers","dirtyStart","keyStart","keyEnd","logState","logVerdict","claudePid","wrapperPushes"
"47964","hook","C:\Codex\ThriftyCrew\.claude\worktrees\elated-mayer-f9e113","2026-09-11T16:32:06.5148870-05:00","2026-09-11T16:52:19.7677513-05:00","slot-timeout","0","0",,"647def6ca5a8316aa8e92f89aee94a476b1c7651","647def6ca5a8316aa8e92f89aee94a476b1c7651","kept","run-gates: COULD NOT EVALUATE - waited 1,200s and every one of the 10 machine-wide gate worker slots stayed held by other gate runs. Nothing was run; that is not a pass.","25464","False"
"145120","hook","C:\Codex\ThriftyCrew\.claude\worktrees\sweet-merkle-4703a3","2026-09-11T16:33:32.4155070-05:00","2026-09-11T16:53:34.8273289-05:00","slot-timeout","0","0",,"071ce9195389991a2d7ab0d0781de7a675dc93d0","071ce9195389991a2d7ab0d0781de7a675dc93d0","kept","run-gates: COULD NOT EVALUATE - waited 1,200s and every one of the 10 machine-wide gate worker slots stayed held by other gate runs. Nothing was run; that is not a pass.","60364","False"
"79992","hook","C:\Codex\ThriftyCrew\.claude\worktrees\elegant-hertz-785a49","2026-09-11T16:37:55.4543090-05:00","2026-09-11T16:53:49.8410601-05:00","evaluated","21","2",,"54e5ea10924bed4cc87e640b0adfff5992cff01b","54e5ea10924bed4cc87e640b0adfff5992cff01b","deleted-by-hook-rc0",,"42284","False"
"100132","hook","C:\Codex\ThriftyCrew\.claude\worktrees\interesting-mendel-9b234d","2026-09-11T16:34:26.5343410-05:00","2026-09-11T16:54:34.8954370-05:00","slot-timeout","0","0",,"cc4a1169789f2734927df8badb7ccb40ae71a463","cc4a1169789f2734927df8badb7ccb40ae71a463","kept","run-gates: COULD NOT EVALUATE - waited 1,200s and every one of the 10 machine-wide gate worker slots stayed held by other gate runs. Nothing was run; that is not a pass.","121472","False"
"41904","hook","C:\Codex\ThriftyCrew\.claude\worktrees\vigilant-goldberg-60a2df","2026-09-11T16:35:03.2804990-05:00","2026-09-11T16:55:19.9198284-05:00","slot-timeout","0","0",,"e4006e067fe41a716dc95f4f7ba4325d3cd57f78","e4006e067fe41a716dc95f4f7ba4325d3cd57f78","kept","run-gates: COULD NOT EVALUATE - waited 1,200s and every one of the 10 machine-wide gate worker slots stayed held by other gate runs. Nothing was run; that is not a pass.","22792","False"
"105632","manual","C:\Codex\ThriftyCrew\.claude\worktrees\beautiful-taussig-495355","2026-09-11T16:52:28.2033000-05:00","2026-09-11T16:56:04.9505201-05:00","short-no-workers","0","0",,"a69c16eda2f62063093998459c81b915ca590a72","e864a9880bdbe5fb779f60e22b2f06bcce6d9a48",,,"31448","False"
"9460","manual","C:\Codex\ThriftyCrew\.claude\worktrees\beautiful-taussig-495355","2026-09-11T16:52:28.6377750-05:00","2026-09-11T16:56:04.9505201-05:00","short-no-workers","0","0",,"a69c16eda2f62063093998459c81b915ca590a72","e864a9880bdbe5fb779f60e22b2f06bcce6d9a48",,,"31448","False"
"137264","manual","C:\Codex\ThriftyCrew\.claude\worktrees\agitated-kowalevski-0c4367","2026-09-11T16:46:36.9651420-05:00","2026-09-11T16:56:49.9807775-05:00","short-no-workers","0","0",,"680fb730f4a4db91e123f832f60e23f883739656","680fb730f4a4db91e123f832f60e23f883739656",,,"93320","False"
"97460","manual","C:\Codex\ThriftyCrew\.claude\worktrees\nervous-franklin-f35b9d","2026-09-11T16:36:05.1005150-05:00","2026-09-11T16:56:49.9807775-05:00","slot-timeout","0","0",,"c5e6579bc7cdda791aa24a6723c067d120bb525a","c5e6579bc7cdda791aa24a6723c067d120bb525a",,,"71068","False"
"141188","manual","C:\Codex\ThriftyCrew\.claude\worktrees\blissful-carson-414570","2026-09-11T16:36:32.3588570-05:00","2026-09-11T16:56:49.9807775-05:00","slot-timeout","0","0",,"5ff1edcb2106c3164b4121d2173b60bac45673f3","5ff1edcb2106c3164b4121d2173b60bac45673f3",,,"104080","False"
"124228","manual","C:\Codex\ThriftyCrew\.claude\worktrees\blissful-carson-414570","2026-09-11T16:36:32.7692100-05:00","2026-09-11T16:56:49.9807775-05:00","slot-timeout","0","0",,"5ff1edcb2106c3164b4121d2173b60bac45673f3","5ff1edcb2106c3164b4121d2173b60bac45673f3",,,"104080","False"
"102180","manual","C:\Codex\ThriftyCrew\.claude\worktrees\agitated-kowalevski-0c4367","2026-09-11T16:46:37.3114510-05:00","2026-09-11T16:56:49.9807775-05:00","evaluated","31","2",,"680fb730f4a4db91e123f832f60e23f883739656","680fb730f4a4db91e123f832f60e23f883739656",,,"93320","False"
"54344","manual","C:\Codex\ThriftyCrew\.claude\worktrees\nervous-franklin-f35b9d","2026-09-11T16:36:05.5636470-05:00","2026-09-11T16:56:49.9807775-05:00","evaluated","30","1",,"c5e6579bc7cdda791aa24a6723c067d120bb525a","c5e6579bc7cdda791aa24a6723c067d120bb525a",,,"71068","False"
"25016","hook","C:\Users\Owner\AppData\Local\Temp\tc-prepush-selftest-138012-cb9fb460\linked","2026-09-11T16:56:50.9206780-05:00","2026-09-11T16:57:04.9947513-05:00","short-no-workers","0","0",,"980058bb1b1753763343658bf49bd51a4283697a","980058bb1b1753763343658bf49bd51a4283697a","kept","(no verdict line)",,"False"
"95708","hook","C:\Codex\ThriftyCrew\.claude\worktrees\competent-morse-c506af","2026-09-11T16:37:29.8889070-05:00","2026-09-11T16:57:35.0191732-05:00","slot-timeout","0","0",,"4103231d3e6a43fa36ac84183590f2a30853f3da","4103231d3e6a43fa36ac84183590f2a30853f3da","kept","run-gates: COULD NOT EVALUATE - waited 1,200s and every one of the 10 machine-wide gate worker slots stayed held by other gate runs. Nothing was run; that is not a pass.","147780","False"
"137084","hook","C:\Codex\ThriftyCrew\.claude\worktrees\angry-stonebraker-744cfe","2026-09-11T16:38:11.0264080-05:00","2026-09-11T16:58:20.0990796-05:00","slot-timeout","0","0",,"a8501a1aa96bf86e00cd151743c08ce44b2cb4ee","a8501a1aa96bf86e00cd151743c08ce44b2cb4ee","kept","run-gates: COULD NOT EVALUATE - waited 1,200s and every one of the 10 machine-wide gate worker slots stayed held by other gate runs. Nothing was run; that is not a pass.","151700","False"
"63092","manual","C:\Codex\ThriftyCrew\.claude\worktrees\cool-cohen-96c1d3","2026-09-11T16:40:36.8258350-05:00","2026-09-11T16:59:20.1480811-05:00","short-no-workers","0","0",,"913632de38027670d349d31ecdead5b804f0bf55","913632de38027670d349d31ecdead5b804f0bf55",,,"64624","False"
"126920","manual","C:\Codex\ThriftyCrew\.claude\worktrees\cool-cohen-96c1d3","2026-09-11T16:40:37.4887870-05:00","2026-09-11T16:59:20.1480811-05:00","evaluated","42","2",,"913632de38027670d349d31ecdead5b804f0bf55","913632de38027670d349d31ecdead5b804f0bf55",,,"64624","False"
"32144","hook","C:\Codex\ThriftyCrew\.claude\worktrees\elated-taussig-920e38","2026-09-11T16:32:58.8465790-05:00","2026-09-11T16:59:20.1480811-05:00","evaluated","41","2",,"43eb7a2f973288944e25bd07500373a59d3bdeb6","43eb7a2f973288944e25bd07500373a59d3bdeb6","deleted-by-hook-rc0",,"51012","False"
"99912","hook","C:\Codex\ThriftyCrew\.claude\worktrees\hungry-bardeen-e6f3e3","2026-09-11T16:39:40.3421000-05:00","2026-09-11T16:59:50.2155388-05:00","slot-timeout","0","0",,"b6dda2bb39bca2ae130e445c7171392092b574b0","b6dda2bb39bca2ae130e445c7171392092b574b0","kept","run-gates: COULD NOT EVALUATE - waited 1,200s and every one of the 10 machine-wide gate worker slots stayed held by other gate runs. Nothing was run; that is not a pass.","101720","False"
"158052","hook","C:\Users\Owner\AppData\Local\Temp\tc-prepush-selftest-128500-cae51f2e\main","2026-09-11T17:00:51.1117390-05:00","2026-09-11T17:01:05.2617335-05:00","short-no-workers","0","0",,"110a64aa9c99e715728f3c06d70b82860fede002","7ddf96a3a00f6291562090f52e557e6ca411bb90","ambiguous-0",,,"False"
"40920","hook","C:\Codex\ThriftyCrew\.claude\worktrees\goofy-borg-f06aff","2026-09-11T16:37:08.9820570-05:00","2026-09-11T17:01:20.2731965-05:00","evaluated","47","2",,"de8c731eec52d2b8d507ed6c2d46fb7c034a8435","de8c731eec52d2b8d507ed6c2d46fb7c034a8435","deleted-by-hook-rc0",,"66948","False"
"69136","hook","C:\Codex\ThriftyCrew\.claude\worktrees\hopeful-pike-642f22","2026-09-11T16:41:49.3387570-05:00","2026-09-11T17:02:05.3008429-05:00","slot-timeout","0","0",,"ab8624bbffff04dcc17a3fe42335a3217fd0c6bc","ab8624bbffff04dcc17a3fe42335a3217fd0c6bc","kept","run-gates: COULD NOT EVALUATE - waited 1,200s and every one of the 10 machine-wide gate worker slots stayed held by other gate runs. Nothing was run; that is not a pass.",,"False"
"86392","hook","C:\Users\Owner\AppData\Local\Temp\tc-prepush-selftest-123504-6246bacf\main","2026-09-11T17:03:20.9598920-05:00","2026-09-11T17:03:35.3369775-05:00","short-no-workers","0","0",,"67738c84d62ebd324d8a5733820cd415b8cee2f2",,"ambiguous-0",,,"False"
"31520","hook","C:\Codex\ThriftyCrew\.claude\worktrees\inspiring-pare-c40423","2026-09-11T16:43:16.1183860-05:00","2026-09-11T17:03:35.3369775-05:00","slot-timeout","0","0",,"fa7376163a616478a20db64c485d578bcae65d9d","fa7376163a616478a20db64c485d578bcae65d9d","ambiguous-2",,"135620","False"
"83012","hook","C:\Codex\ThriftyCrew\.claude\worktrees\goofy-franklin-9b668f","2026-09-11T16:43:36.7530400-05:00","2026-09-11T17:03:50.3486268-05:00","slot-timeout","0","0",,"5e901b09de5e1f0ea8c599c67ff0e1e9dcaab959","5e901b09de5e1f0ea8c599c67ff0e1e9dcaab959","kept","run-gates: COULD NOT EVALUATE - waited 1,200s and every one of the 10 machine-wide gate worker slots stayed held by other gate runs. Nothing was run; that is not a pass.","48172","False"
"121460","hook","C:\Codex\ThriftyCrew\.claude\worktrees\friendly-gould-3e85d4","2026-09-11T16:32:17.7906960-05:00","2026-09-11T17:05:50.4452592-05:00","evaluated","53","1",,"9a3a6327d5a1bdb99657861c75b11f7bb74c5fd7","9a3a6327d5a1bdb99657861c75b11f7bb74c5fd7","deleted-by-hook-rc0",,"56820","False"
"112348","hook","C:\Codex\ThriftyCrew\.claude\worktrees\vigorous-gould-f87ef1","2026-09-11T16:50:12.0635160-05:00","2026-09-11T17:06:20.4579845-05:00","evaluated","60","1",,"1bc57ec0e21541c8d4433489614061f4c375ae20","1bc57ec0e21541c8d4433489614061f4c375ae20","deleted-by-hook-rc0",,"81732","False"
"94324","hook","C:\Codex\ThriftyCrew\.claude\worktrees\agitated-kowalevski-0c4367","2026-09-11T16:57:31.1572480-05:00","2026-09-11T17:07:20.5024599-05:00","evaluated","32","2",,"680fb730f4a4db91e123f832f60e23f883739656","680fb730f4a4db91e123f832f60e23f883739656","deleted-by-hook-rc0",,"93320","False"
"66944","hook","C:\Codex\ThriftyCrew\.claude\worktrees\wizardly-northcutt-e464dd","2026-09-11T16:52:20.7865480-05:00","2026-09-11T17:07:50.5384569-05:00","evaluated","54","2",,"96a99eb08772a0b0edee539d51432d2edc2270d6","96a99eb08772a0b0edee539d51432d2edc2270d6","deleted-by-hook-rc0",,"124264","False"
"90880","manual","C:\Codex\ThriftyCrew\.claude\worktrees\nervous-swirles-9a52aa","2026-09-11T16:48:23.0544980-05:00","2026-09-11T17:08:35.5890704-05:00","slot-timeout","0","0",,"3694f6c0c454012b28320f4121472e2e476eb65d","a9c380e7fcfd0df64127a835e8ea1f72bdc66a53",,,"34888","False"
"78008","hook","C:\Codex\ThriftyCrew\.claude\worktrees\silly-chatelet-89982c","2026-09-11T16:48:30.4563470-05:00","2026-09-11T17:08:35.5890704-05:00","slot-timeout","0","0",,"8bbc90ea9b14826933adef9dd17f133e8bd416c5","8bbc90ea9b14826933adef9dd17f133e8bd416c5","kept","run-gates: COULD NOT EVALUATE - waited 1,200s and every one of the 10 machine-wide gate worker slots stayed held by other gate runs. Nothing was run; that is not a pass.","51660","False"
"155912","manual","C:\Codex\ThriftyCrew\.claude\worktrees\nervous-swirles-9a52aa","2026-09-11T16:48:22.7242170-05:00","2026-09-11T17:08:35.5890704-05:00","slot-timeout","0","0",,"3694f6c0c454012b28320f4121472e2e476eb65d","a9c380e7fcfd0df64127a835e8ea1f72bdc66a53",,,"34888","False"
"61820","hook","C:\Codex\ThriftyCrew\.claude\worktrees\frosty-wozniak-b1741e","2026-09-11T16:43:13.8683020-05:00","2026-09-11T17:10:35.6629476-05:00","evaluated","53","1",,"e65bec7bb6710e29f6e45c9884a0b4e95da6e8b5","e65bec7bb6710e29f6e45c9884a0b4e95da6e8b5","ambiguous-2",,"44684","False"
"152364","hook","C:\Codex\ThriftyCrew","2026-09-11T16:42:44.2645720-05:00","2026-09-11T17:11:20.7049913-05:00","evaluated","69","3",,"97c9ea760d4a8c0a7c90265718f53901addafe22","97c9ea760d4a8c0a7c90265718f53901addafe22","deleted-by-hook-rc0",,"57504","False"
"154116","hook","C:\Codex\ThriftyCrew\.claude\worktrees\admiring-euler-cbfb1a","2026-09-11T16:52:56.9702110-05:00","2026-09-11T17:13:05.7930360-05:00","slot-timeout","0","0",,"aebc17e8a9b9ead4aa92bc9d369949c32f59ce52","aebc17e8a9b9ead4aa92bc9d369949c32f59ce52","ambiguous-2",,"37420","False"
"56256","hook","C:\Codex\ThriftyCrew\.claude\worktrees\cool-driscoll-d8fbb7","2026-09-11T16:52:57.7874450-05:00","2026-09-11T17:13:05.7930360-05:00","slot-timeout","0","0",,"439890cf4d9fbd92ac279269b7686700ca7d29b5","439890cf4d9fbd92ac279269b7686700ca7d29b5","ambiguous-2",,"121068","False"
"96760","hook","C:\Codex\ThriftyCrew\.claude\worktrees\inspiring-tesla-4b33ea","2026-09-11T16:47:37.3335900-05:00","2026-09-11T17:14:35.8490080-05:00","evaluated","33","2",,"25e9bddabd90c5a66ec5106cc9b380c57e701777","25e9bddabd90c5a66ec5106cc9b380c57e701777","deleted-by-hook-rc0",,"55244","False"
"47452","manual","C:\Codex\ThriftyCrew\.claude\worktrees\priceless-noyce-dfd1e7","2026-09-11T16:59:28.7611480-05:00","2026-09-11T17:14:50.8701175-05:00","evaluated","53","1",,"41c8eee3398a831c666a420e840be75582d207ac","41c8eee3398a831c666a420e840be75582d207ac",,,"35372","False"
"46672","manual","C:\Codex\ThriftyCrew\.claude\worktrees\priceless-noyce-dfd1e7","2026-09-11T16:59:27.5649610-05:00","2026-09-11T17:14:50.8701175-05:00","short-no-workers","0","0",,"41c8eee3398a831c666a420e840be75582d207ac","41c8eee3398a831c666a420e840be75582d207ac",,,"35372","False"
"108904","hook","C:\Codex\ThriftyCrew\.claude\worktrees\beautiful-taussig-495355","2026-09-11T16:56:51.2108790-05:00","2026-09-11T17:16:20.9347493-05:00","evaluated","36","2",,"e864a9880bdbe5fb779f60e22b2f06bcce6d9a48","e864a9880bdbe5fb779f60e22b2f06bcce6d9a48","deleted-by-hook-rc0",,"31448","False"
"85396","manual","C:\Codex\ThriftyCrew\.claude\worktrees\festive-almeida-4805f2","2026-09-11T17:05:05.5958490-05:00","2026-09-11T17:16:20.9347493-05:00","evaluated","39","2",,"3c00b457aab8b66ab8c0864dc47c62b039e923d3","3c00b457aab8b66ab8c0864dc47c62b039e923d3",,,"110072","False"
"154948","manual","C:\Codex\ThriftyCrew\.claude\worktrees\festive-almeida-4805f2","2026-09-11T17:05:05.2381800-05:00","2026-09-11T17:16:20.9347493-05:00","short-no-workers","0","0",,"3c00b457aab8b66ab8c0864dc47c62b039e923d3","3c00b457aab8b66ab8c0864dc47c62b039e923d3",,,"110072","False"
"103432","manual","C:\Codex\ThriftyCrew\.claude\worktrees\nervous-franklin-f35b9d","2026-09-11T16:58:01.0492820-05:00","2026-09-11T17:18:05.9975593-05:00","slot-timeout","0","0",,"bd4cce388183316a72e8552013b24b4dcc40eb4d","bd4cce388183316a72e8552013b24b4dcc40eb4d",,,"71068","False"
"79328","manual","C:\Codex\ThriftyCrew\.claude\worktrees\nervous-franklin-f35b9d","2026-09-11T16:58:00.5861220-05:00","2026-09-11T17:18:05.9975593-05:00","slot-timeout","0","0",,"bd4cce388183316a72e8552013b24b4dcc40eb4d","bd4cce388183316a72e8552013b24b4dcc40eb4d",,,"71068","False"
"49380","hook","C:\Codex\ThriftyCrew\.claude\worktrees\goofy-borg-f06aff","2026-09-11T17:01:47.8007470-05:00","2026-09-11T17:19:51.0682248-05:00","evaluated","30","2",,"9a2ba04c4c35aeb81abe5513ccff7c2db3a4fe6f","9a2ba04c4c35aeb81abe5513ccff7c2db3a4fe6f","deleted-by-hook-rc0",,"66948","False"
"83528","hook","C:\Codex\ThriftyCrew\.claude\worktrees\cool-cohen-96c1d3","2026-09-11T17:02:46.8004060-05:00","2026-09-11T17:21:36.1375712-05:00","evaluated","50","1",,"9f19576fe645dbff236866c925457a1cceeca08d","9f19576fe645dbff236866c925457a1cceeca08d","deleted-by-hook-rc0",,"64624","False"
"120124","hook","C:\Codex\ThriftyCrew\.claude\worktrees\silly-chatelet-89982c","2026-09-11T17:09:33.2798780-05:00","2026-09-11T17:21:51.1491088-05:00","evaluated","29","2",,"412ab6f0398286c8343470a18008e193a85ccadb","412ab6f0398286c8343470a18008e193a85ccadb","deleted-by-hook-rc0",,"51660","False"
"37600","manual","C:\Codex\ThriftyCrew\.claude\worktrees\festive-allen-56f7b8","2026-09-11T16:36:35.1688600-05:00","2026-09-11T17:22:36.2133384-05:00","slot-timeout","0","0",,"98a33dd65f96636bf639bba7daa7b76f27868d31","98a33dd65f96636bf639bba7daa7b76f27868d31",,,"50568","False"
"33468","manual","C:\Users\Owner\AppData\Local\Temp\claude\C--Codex-ThriftyCrew--claude-worktrees-bold-chebyshev-3ae243\c17c39fb-7bad-49ed-aec7-bf20b33cb68b\scratchpad\rg-sandbox-6ec398fe","2026-09-11T17:22:52.3851540-05:00","2026-09-11T17:23:06.2259427-05:00","short-no-workers","0","0",,"5e66f333b3a7a1e1e7968053d64a8a34371046d0",,,,"93876","False"
"93364","manual","C:\Codex\ThriftyCrew\.claude\worktrees\jolly-pasteur-8828ac","2026-09-11T17:08:13.5607250-05:00","2026-09-11T17:23:21.2332494-05:00","short-no-workers","0","0",,"000504ace15148991bc6ef3621617e94b078349d","9f3fac15a7045f032c49c51e09d00be86965bf59",,,"103144","False"
"118028","manual","C:\Codex\ThriftyCrew\.claude\worktrees\jolly-pasteur-8828ac","2026-09-11T17:08:13.9390890-05:00","2026-09-11T17:23:21.2332494-05:00","evaluated","29","2",,"000504ace15148991bc6ef3621617e94b078349d","9f3fac15a7045f032c49c51e09d00be86965bf59",,,"103144","False"
"82356","hook","C:\Codex\ThriftyCrew\.claude\worktrees\practical-hypatia-083434","2026-09-11T17:03:50.7224380-05:00","2026-09-11T17:24:06.2685939-05:00","slot-timeout","0","0",,"49ae93b3373567cc30062cee7cb6315d1e25a0cb","e2a76813a411908f8bc402bd0ea32b5da1f2f4ea","kept","run-gates: COULD NOT EVALUATE - waited 1,200s and every one of the 10 machine-wide gate worker slots stayed held by other gate runs. Nothing was run; that is not a pass.","119256","False"
"138352","hook","C:\Codex\ThriftyCrew\.claude\worktrees\gallant-wescoff-f98c34","2026-09-11T16:53:37.0245370-05:00","2026-09-11T17:24:06.2685939-05:00","evaluated","54","1",,"898df934baa35343c19d175881092c472171befc","898df934baa35343c19d175881092c472171befc","kept","run-gates: FAILED - 1 gate(s) did not pass. This tree must not be pushed until they do; fix the cause, never the gate.","133436","False"
"63000","hook","C:\Codex\ThriftyCrew\.claude\worktrees\friendly-gould-3e85d4","2026-09-11T17:06:09.6808810-05:00","2026-09-11T17:27:51.4149399-05:00","evaluated","52","1",,"64a8b5a3b5fec2a616ca5622ffce5192a9864740","64a8b5a3b5fec2a616ca5622ffce5192a9864740","deleted-by-hook-rc0",,"56820","False"
"99844","hook","C:\Codex\ThriftyCrew\.claude\worktrees\hungry-bardeen-e6f3e3","2026-09-11T16:59:53.6931000-05:00","2026-09-11T17:28:36.4408516-05:00","evaluated","35","2",,"b6dda2bb39bca2ae130e445c7171392092b574b0","b6dda2bb39bca2ae130e445c7171392092b574b0","deleted-by-hook-rc0",,"101720","False"
"51900","hook","C:\Codex\ThriftyCrew\.claude\worktrees\elated-taussig-920e38","2026-09-11T17:08:37.6043450-05:00","2026-09-11T17:28:51.4631861-05:00","slot-timeout","0","0",,"f2a944e2f404ef62cb5383c4fbfe5cb82ccb9150","f2a944e2f404ef62cb5383c4fbfe5cb82ccb9150","kept","run-gates: COULD NOT EVALUATE - waited 1,200s and every one of the 10 machine-wide gate worker slots stayed held by other gate runs. Nothing was run; that is not a pass.","51012","False"
"41264","hook","C:\Codex\ThriftyCrew\.claude\worktrees\goofy-borg-f06aff","2026-09-11T17:21:25.8774680-05:00","2026-09-11T17:29:36.4825863-05:00","evaluated","31","2",,"9251cdb237db84bf7511062048308ab260f0e895","9251cdb237db84bf7511062048308ab260f0e895","ambiguous-2",,"66948","False"
"88108","manual","C:\Codex\ThriftyCrew\.claude\worktrees\nervous-swirles-9a52aa","2026-09-11T17:09:33.3035670-05:00","2026-09-11T17:29:51.4965141-05:00","slot-timeout","0","0",,"a9c380e7fcfd0df64127a835e8ea1f72bdc66a53","a9c380e7fcfd0df64127a835e8ea1f72bdc66a53",,,"34888","False"
"159376","manual","C:\Codex\ThriftyCrew\.claude\worktrees\nervous-swirles-9a52aa","2026-09-11T17:09:32.8825370-05:00","2026-09-11T17:29:51.4965141-05:00","slot-timeout","0","0",,"a9c380e7fcfd0df64127a835e8ea1f72bdc66a53","a9c380e7fcfd0df64127a835e8ea1f72bdc66a53",,,"34888","False"
"139688","manual","C:\Codex\ThriftyCrew\.claude\worktrees\blissful-carson-414570","2026-09-11T16:56:58.9452890-05:00","2026-09-11T17:31:51.5832255-05:00","slot-timeout","0","0",,"5ff1edcb2106c3164b4121d2173b60bac45673f3","a70ac5e3110a3fe89c7b447d01bf8b27bd6a0010",,,"104080","False"
"140200","manual","C:\Codex\ThriftyCrew\.claude\worktrees\blissful-carson-414570","2026-09-11T16:56:59.3874540-05:00","2026-09-11T17:31:51.5832255-05:00","evaluated","60","1",,"5ff1edcb2106c3164b4121d2173b60bac45673f3","a70ac5e3110a3fe89c7b447d01bf8b27bd6a0010",,,"104080","False"
"115708","hook","C:\Codex\ThriftyCrew\.claude\worktrees\inspiring-tesla-4b33ea","2026-09-11T17:17:50.7957050-05:00","2026-09-11T17:32:36.6228305-05:00","evaluated","43","2",,"1a6316a6f9bc32306505b3a4cbcbf0b8d30cf738","1a6316a6f9bc32306505b3a4cbcbf0b8d30cf738","deleted-by-hook-rc0",,"55244","False"
"62064","hook","C:\Codex\ThriftyCrew\.claude\worktrees\priceless-noyce-dfd1e7","2026-09-11T17:17:55.4329490-05:00","2026-09-11T17:34:06.6782739-05:00","evaluated","48","2",,"fe319bd272781bb770dc5296051425a2053d5405","fe319bd272781bb770dc5296051425a2053d5405","deleted-by-hook-rc0",,"35372","False"
"115852","hook","C:\Codex\ThriftyCrew\.claude\worktrees\frosty-wozniak-b1741e","2026-09-11T17:14:09.4550560-05:00","2026-09-11T17:34:21.6951048-05:00","slot-timeout","0","0",,"307549c667880aaea77664792cda58898684e65b","307549c667880aaea77664792cda58898684e65b","kept","run-gates: COULD NOT EVALUATE - waited 1,200s and every one of the 10 machine-wide gate worker slots stayed held by other gate runs. Nothing was run; that is not a pass.","44684","False"
