ticket,seq,verdict,found_product,found_price,note
376624730E,51,ok,"Freshness Guaranteed Mini Croissants, 10 oz, 12 Count",0.332,"12 ct 10 oz $3.98 = $0.332 each; cheapest WHOLE croissant is Marketside All Butter 9.5 oz 6 ct $4.98 = 0.83 ea"
B6404F0A5A,53,ok,"Great Value Original Cooking Spray, 8 oz",0.315,"8 oz can $2.52; PDP 31.5c/oz; GV canola and butter same price"
940745591B,58,ok,"Great Value Frozen Whipped Topping, White, 16 oz",0.135,"16 oz tub $2.16; PDP 13.5c/oz; GV 8 oz $1.22 = 0.153; Cool Whip 16 oz $3.94 = 0.246"
93AE3622E8,60,ok,"Great Value Mixed Vegetables, 15 oz",0.064,"15 oz can $0.96; PDP 6.4c/oz; Del Monte 14.5 oz $1.67 = 0.115"
171AFD7659,61,ok,"Mizkan Rice Vinegar for Cooking, 12 fl oz",0.2433,"12 fl oz $2.92; PDP 24.3c/fl oz; no store-brand rice vinegar; cheaper only as 6-pk $16.64 = 0.231"
3CBD682A0E,67,ok,"Weber Roasted Garlic & Herb Seasoning, 5.5 oz",0.3636,"5.5 oz $2.00; PDP 36.4c/oz; next Grill Mates 5.64 oz $3.84 = 0.681; GV Salt-Free Garlic & Herb 2.5 oz $1.96 = 0.784"
22B75EBDB4,71,ok,"Great Value Instant Mashed Potatoes 13.75 oz Box",0.1367,"13.75 oz $1.88; PDP 13.6c/oz; GV 26.7 oz $3.67 = 0.137"
1056FB538F,74,ok,"Great Value Frosted Cherry Toaster Pastries, 20.3 oz, 12 Count",0.1692,"12 ct $2.03 = $0.169 each; GV 6 ct 10.1 oz $1.16 = 0.193 ea; Pop-Tarts 16 ct $4.97 = 0.311 ea"
1A4E8F4398,77,ok,"McCormick Gourmet Kosher Chinese Five Spice Blend, 1.75 oz",4.794,"1.75 oz $8.39; PDP $4.79/oz; seller Walmart.com. Cheaper Frontier Co-op 1.92 oz $4.38 is a 3rd-party marketplace seller (K Boone Enterprise), excluded"
A2374053D9,80,ok,"Fresh Green Beans, Bag",1.62,"bag $2.67; PDP reads $1.62/lb; Marketside Fresh Green Beans 32 oz $6.18 = $3.09/lb"
C7F8443776,90,ok,"Welch's 100% Grape Juice, Concord Grape, 96 fl oz Bottle",0.0726,"96 fl oz $6.97; PDP 7.3c/fl oz; 64 fl oz $4.98 = 0.078. Hawaiian Punch 1 gal $3.22 = 0.025 is a juice DRINK, not grape juice - excluded"
8836E0F124,92,ok,"Butterball Lower Sodium Smoke-Cured Turkey Bacon, 12 oz",0.3267,"12 oz $3.92; PDP $5.23/lb; only 2 turkey bacon SKUs stocked, other is Oscar Mayer 12 oz $4.48 = 0.373"
256F852E7B,93,ok,"Great Value Heavy Whipping Cream, 64 fl oz",0.1475,"64 fl oz $9.44; PDP 14.8c/fl oz; GV 32 oz $4.74 = 0.148; GV 16 oz $2.96 = 0.185"
6C3E29EBE5,97,ok,"Great Value Jellied Cranberry Sauce, 14 oz",0.1186,"14 oz can $1.66; PDP 11.9c/oz; Ocean Spray 14 oz $2.47 = 0.176"
